"taxonID","weight"
"PELE",24
"PEMA",26
"PEMA",21
"NAIN",24
"PELE",22
"PELE",21
"PELE",22
"PEMA",22
"PELE",27
"NAIN",21
"PELE",23
"NAIN",18
"NAIN",21
"NAIN",25
"NAIN",24
"PEMA",20
"PEMA",20
"NAIN",21
"PEMA",22
"NAIN",22
"NAIN",23
"PEMA",22
"MYGA",33
"PEMA",21
"NAIN",20
"PELE",20
"NAIN",23
"NAIN",21
"NAIN",19
"NAIN",29
"PEMA",17
"NAIN",23
"NAIN",20
"NAIN",22
"NAIN",19
"NAIN",23
"PELE",21
"NAIN",24
"NAIN",21
"PELE",19
"NAIN",19
"NAIN",18
"NAIN",17
"PEMA",13
"PEMA",18
"PEMA",18
"PEMA",16
"MYGA",28
"PEMA",14
"PELE",13
"NAIN",25
"PEMA",14
"PEMA",18
"PEMA",14
"PEMA",13
"PEMA",17
"PEMA",20
"PEMA",20
"PELE",19
"PEMA",15
"PEMA",14
"PEMA",15
"PELE",34
"PEMA",13
"PEMA",19
"PELE",19
"NAIN",27
"PELE",15
"PEMA",15
"NAIN",26
"PEMA",16
"PEMA",23
"PEMA",13
"PELE",15
"PEMA",16
"PEMA",28
"NAIN",32
"PEMA",20
"NAIN",24
"PELE",21
"PEMA",13
"NAIN",30
"PEMA",16
"NAIN",34
"PEMA",20
"PEMA",17
"NAIN",38
"NAIN",30
"PEMA",17
"PELE",14
"PELE",21
"PELE",27
"PEMA",15
"NAIN",29
"PEMA",18
"NAIN",39
"NAIN",27
"PELE",17
"PEMA",10
"NAIN",25
"PEMA",24
"PEMA",14
"PEMA",18
"PELE",15
"PEMA",17
"PEMA",24
"NAIN",13
"PEMA",14
"NAIN",24
"PELE",24
"NAIN",23
"PEMA",16
"PEMA",7
"PEMA",14
"NAIN",23
"PEMA",15
"PELE",34
"PEMA",17
"PEMA",12
"PEMA",22
"PELE",18
"PEMA",12
"NAIN",24
"PEMA",13
"MYGA",18
"PELE",14
"PELE",18
"PELE",17
"NAIN",36
"PELE",21
"NAIN",39
"PELE",14
"PEMA",13
"PELE",20
"PELE",20
"PEMA",13
"PELE",18
"PEMA",18
"PELE",16
"PELE",13
"PELE",20
"PEMA",19
"PELE",31
"PEMA",19
"PELE",15
"PELE",21
"PEMA",12
"PEMA",13
"NAIN",38
"PELE",17
"PEMA",17
"PEMA",17
"NAIN",30
"PELE",16
"NAIN",22
"PELE",13
"PELE",22
"PEMA",19
"MYGA",20
"PELE",20
"PEMA",16
"PEMA",18
"PEMA",13
"PEMA",18
"NAIN",29
"PELE",13
"PELE",13
"PELE",18
"PELE",13
"PEMA",17
"PELE",16
"PELE",19
"PEMA",18
"PEMA",12
"PELE",11
"PEMA",24
"PEMA",14
"NAIN",27
"PEMA",13
"PEMA",18
"PEMA",18
"PEMA",19
"PEMA",13
"PEMA",17
"PEMA",16
"PELE",17
"PELE",18
"PEMA",20
"PEMA",14
"PELE",16
"NAIN",26
"PELE",21
