"taxonID","weight"
"PELE",27
"PELE",25
"PELE",28
"PELE",29
"PELE",22
"PELE",27
"PELE",27
"PELE",25
"PELE",26
"PELE",25
"PELE",24
"PELE",34
"PELE",25
"PELE",26
"PELE",24
"PELE",30
"PELE",22
"PELE",29
"PELE",26
"PELE",30
"PELE",22
"PELE",24
"PELE",27
"PELE",19
"MUMU",20
"PELE",26
"PELE",22
"PELE",23
"PELE",25
"PELE",22
"PELE",26
"PELE",28
"PELE",23
"PELE",23
"PELE",24
"PELE",28
"PELE",22
"PELE",10
"PELE",23
"PELE",24
"PELE",23
"PELE",29
"PELE",22
"PELE",26
"PELE",24
"PELE",27
"PELE",21
"PELE",25
"PELE",23
"PELE",24
"PELE",29
"PELE",31
"PELE",28
"PELE",28
"PELE",24
"PELE",19
"PELE",24
"PELE",22
"MUMU",18
"MUMU",14
"MIPI",13
"PELE",25
"PELE",24
"PELE",18
"MUMU",19
"PELE",21
"PELE",17
"PELE",21
"PELE",20
"PELE",29
"PELE",25
"PELE",26
"PELE",25
"PELE",22
"PELE",30
"PELE",32
"PELE",24
"PELE",25
"PELE",10
"PELE",17
"PELE",26
"PELE",21
"MUMU",19
"MUMU",14
"PELE",29
"PELE",27
"PELE",32
"PELE",23
"PELE",25
"PELE",25
"PELE",26
"PELE",26
"PELE",26
"PELE",20
"PELE",24
"PELE",25
"MUMU",15
"MUMU",19
"MUMU",11
"MUMU",24
"MUMU",12
"PELE",25
"PELE",13
"PELE",24
"PELE",24
"PELE",21
"PELE",28
"PELE",20
"PELE",27
"PELE",25
"PELE",25
"PELE",13
"PELE",22
"PELE",23
"PELE",26
"PELE",24
"PELE",24
"PELE",20
"PELE",24
"PELE",24
"PELE",15
"PELE",23
"PELE",28
"PELE",31
"PELE",24
"PELE",25
"PELE",25
"PELE",24
"PELE",23
"PELE",24
"PELE",25
"PELE",26
"PELE",10
"PELE",22
"MUMU",19
"MUMU",12
"PELE",22
"PELE",21
"MUMU",14
"PELE",13
"PELE",24
"PELE",14
"PELE",17
"PELE",18
"PELE",24
"PEMA",26
"PELE",27
"PELE",21
"PELE",23
"PELE",25
"PELE",16
"PEMA",29
"PELE",21
"PELE",24
"PELE",20
"PELE",20
"PELE",13
"PELE",16
"PELE",16
"PELE",16
"PELE",21
"PELE",24
"PELE",21
"PELE",16
"PELE",14
"PELE",25
"PELE",15
"PELE",20
"PELE",18
"PEMA",17
"PELE",24
"PELE",20
"PELE",21
"PELE",16
"PELE",16
"PELE",22
"PELE",15
"PELE",20
"PELE",18
"PELE",24
"PELE",16
"PELE",22
"PELE",20
"PELE",18
"PELE",23
"PELE",16
"PELE",18
"PELE",20
"PELE",18
"PELE",12
"PELE",18
"PELE",16
"PELE",14
"PELE",22
"PELE",15
"PELE",20
"PELE",17
"PELE",18
"PELE",26
"PELE",20
"PELE",19
"PELE",18
"PELE",16
"PELE",18
"PELE",19
"PELE",16
"PELE",11
"MIPE",31
"PELE",24
"PELE",14
"PELE",15
"PEMA",16
"PELE",20
"PELE",21
"PELE",16
"PELE",15
"PELE",18
"PELE",22
"PELE",23
"PELE",17
"PELE",20
"PELE",17
"PELE",17
"PELE",15
"PELE",18
"PELE",20
"PELE",20
"MIPE",32
"PELE",16
"PELE",14
"PELE",25
"PELE",13
"PELE",20
"PELE",18
"PELE",15
"PELE",14
"PEMA",26
"PELE",25
"PELE",20
"PELE",21
"PELE",20
"PELE",26
"PELE",25
"PELE",26
"PELE",19
"PELE",18
"PELE",24
"PELE",23
"PELE",26
"PELE",21
"PELE",20
"PEMA",21
"PELE",24
"PELE",26
"PELE",16
"PELE",20
"PEMA",20
"PELE",23
"PELE",22
"PELE",24
"PELE",25
"PELE",19
"PELE",20
"PELE",17
"PELE",24
"PELE",24
"PELE",25
"PELE",27
"PELE",26
"PELE",21
"PELE",28
"ZAHU",21
"PELE",28
"PELE",22
"PELE",26
"PELE",21
"PELE",20
"PELE",22
"PELE",24
"PELE",22
"PELE",26
"PELE",20
"PELE",22
"PELE",21
"PELE",23
"PEMA",20
"PELE",16
"PELE",24
"PELE",18
"PELE",17
"PELE",19
"PELE",17
"PELE",24
"PELE",22
"PELE",27
"PELE",23
"PELE",32
"PELE",26
"PELE",21
"PELE",25
"PELE",21
"PELE",26
"PELE",20
"PELE",24
"PEMA",22
"ZAHU",15
"ZAHU",19
"PELE",18
"PELE",22
"PELE",23
"PELE",27
"PELE",24
"PELE",17
"PELE",20
"PELE",19
"PELE",24
"PELE",27
"PELE",22
"PELE",28
"PELE",17
"PELE",24
"PELE",22
"PELE",21
"PELE",19
"PELE",18
"PELE",16
"PELE",16
"PEMA",22
"PELE",22
"PELE",21
"PELE",19
"PELE",22
"PELE",28
"PELE",20
"PELE",17
"PELE",21
"PELE",21
"PELE",19
"PELE",15
"PELE",16
"PELE",21
"PEMA",18
"PELE",17
"PELE",24
"PELE",17
"PELE",24
"PELE",19
"PELE",21
"PELE",24
"PELE",19
"PELE",22
"PELE",21
"PELE",21
"PELE",17
"PELE",17
"MUMU",16
"PELE",22
"PELE",19
"PELE",18
"PELE",17
"PELE",21
"PELE",21
"PELE",21
"PELE",21
"PELE",18
"PELE",20
"PELE",18
"PELE",20
"PELE",24
"PELE",15
"PELE",22
"PELE",20
"PELE",23
"PELE",14
"PELE",12
"PELE",27
"PELE",21
"PELE",25
"PELE",19
"PELE",14
"PELE",13
"PELE",21
"PELE",24
"PELE",23
"PELE",23
