"taxonID","weight"
"SIHI",37
"SIHI",40
"PEMA",19
"SIHI",105
"PEMA",19
"SIHI",39
"PEMA",20
"SIHI",130
"SIHI",140
"PEMA",15
"SIHI",95
"SIHI",27
"SIHI",58
"PEMA",19
"PEMA",20
"PEMA",22
"PEMA",20
"PEMA",23
"PELE",19
"PEMA",26
"SIHI",58
"SIHI",49
"SIHI",105
"SIHI",233
"SIHI",80
"NEMI",215
"PEMA",22
"PEMA",27
"PEMA",23
"NEMI",196
"PEMA",20
"NEMI",196
"SIHI",70
"PEMA",21
"PEMA",24
"PELE",20
"SIHI",87
"PEMA",25
"NEMI",250
"PEMA",24
"PEMA",25
"NEMI",90
"PEMA",17
"PEMA",23
"PEMA",16
"PEMA",18
"PEMA",27
"PELE",17
"PEMA",19
"PEMA",24
"PEMA",25
"PEMA",26
"PEMA",22
"PEMA",16
"PEMA",23
"SIHI",86
"NEMI",216
"PEMA",25
"NEMI",226
"PEMA",19
"SIHI",56
"PEMA",15
"SIHI",120
"NEMI",186
"PEMA",17
"PEMA",25
"PELE",19
"SIHI",100
"SIHI",135
"SIHI",80
"PELE",14
"PEMA",16
"REFU",10
"PEMA",17
"PELE",21
"PELE",22
"PELE",22
"SIHI",99
"PELE",22
"PEMA",17
"PELE",22
"PELE",24
"NEMI",236
"PEMA",17
"PELE",19
"PELE",18
"PEMA",15
"PELE",22
"REFU",9
"PELE",24
"SIHI",65
"PEMA",12
"SIHI",115
"SIHI",115
"SIHI",125
"SIHI",140
"PEMA",17
"SIHI",110
"PELE",22
"REFU",13
"PELE",24
"PELE",22
"PELE",23
"PELE",27
"PELE",18
"REMO",20
"PELE",25
"PELE",22
"PELE",15
"PELE",25
"PEMA",19
"NEMI",236
"PELE",27
"PEMA",19
"PEMA",18
"PELE",24
"REFU",10
"PELE",21
"SIHI",112
"PEMA",15
"PELE",23
"PEMA",15
"PEMA",18
"NEMI",360
"PEMA",17
"NEMI",260
"SIHI",75
"REFU",10
"REFU",12
"REFU",9
"SIHI",80
"SIHI",125
"PEMA",16
"PELE",25
"PEMA",17
"PELE",23
"PELE",24
"NEMI",260
"SIHI",135
"SIHI",55
"SIHI",180
"SIHI",23
"SIHI",110
"SIHI",135
"SIHI",90
"SIHI",155
"SIHI",72
"SIHI",125
"SIHI",50
"SIHI",61
"SIHI",100
"SIHI",80
"PELE",17
"SIHI",62
"SIHI",40
"PELE",20
"REFU",11
"SIHI",115
"SIHI",52
"SIHI",25
"PELE",24
"PEMA",15
"PEMA",16
"PELE",27
"PELE",25
"PELE",27
"PELE",15
"SIHI",60
"PELE",27
"PELE",22
"SIHI",115
"SIHI",36
"PEMA",16
"SIHI",50
"PEMA",12
"SIHI",35
"SIHI",25
"PELE",20
"NEMI",260
"SIHI",25
"SIHI",80
"SIHI",135
"SIHI",165
"SIHI",100
"SIHI",135
"SIHI",62
"PEMA",14
"PEMA",22
"PEMA",20
"PELE",25
"NEMI",236
"PELE",22
"PELE",23
"PELE",22
"SIHI",180
"SIHI",45
"SIHI",140
"SIHI",125
"PELE",18
"PELE",18
"PELE",30
"PELE",27
"PELE",21
"PELE",27
"PEMA",19
"PEMA",16
"PELE",23
"PELE",26
"PELE",23
"PELE",17
"PELE",17
"PELE",19
"PELE",21
"PELE",24
"PELE",15
"SIHI",110
"PELE",25
"PELE",24
"PELE",24
"REFU",11
"PELE",25
"PELE",26
"PELE",22
"PELE",26
"PELE",28
"PELE",22
"SIHI",94
"PELE",29
"SIHI",88
"SIHI",55
"SIHI",110
"SIHI",100
"NEMI",410
"SIHI",120
"SIHI",62
"NEMI",220
"NEMI",216
"PELE",19
"PELE",25
"SIHI",135
"SIHI",150
"SIHI",115
"SIHI",100
"SIHI",130
"SIHI",120
"SIHI",59
"REFU",15
"SIHI",95
"SIHI",35
"SIHI",55
"SIHI",190
"SIHI",37
"REFU",10
"PEMA",20
"NEMI",271
"NEMI",276
"PELE",27
"PELE",24
"SIHI",110
"SIHI",75
"SIHI",76
"PELE",21
"PELE",20
"PEMA",17
"REFU",10
"REFU",16
"SIHI",115
"SIHI",130
"SIHI",85
"SIHI",83
"SIHI",75
"SIHI",76
"REFU",12
"SIHI",190
"PEMA",20
"SIHI",150
"SIHI",100
"SIHI",165
"SIHI",110
"BATA",9
"SIHI",80
"SIHI",42
"SIHI",59
"NEMI",220
"SIHI",55
"SIHI",100
"SIHI",75
"SIHI",55
"SIHI",25
"PELE",26
"NEMI",436
"PELE",22
"NEMI",211
"SIHI",105
"SIHI",110
"NEMI",306
"REFU",10
"PELE",18
"MIPI",27
"PELE",19
"PELE",28
"SIHI",115
"MIPI",29
"SIHI",130
"SIHI",190
"SIHI",49
"SIHI",110
"PELE",20
"SIHI",150
"NEMI",246
"PELE",19
"PELE",25
"SIHI",120
"NEMI",220
"SIHI",90
"PELE",17
"PELE",25
"PELE",29
"SIHI",100
"NEMI",296
"MIPI",25
"SIHI",110
"SIHI",130
"SIHI",55
"SIHI",59
"SIHI",135
"PELE",30
"NEMI",231
"SIHI",130
"PEMA",19
"PELE",27
"SIHI",125
"SIHI",115
"PELE",30
"REMO",14
"SIHI",100
"SIHI",115
"SIHI",65
"NEMI",350
"SIHI",115
"PELE",29
"NEMI",256
"PELE",28
"SIHI",65
"SIHI",185
"SIHI",170
"SIHI",95
"SIHI",48
"NEMI",296
"PELE",22
"NEMI",321
"PELE",29
"NEMI",271
"SIHI",50
"PELE",23
"SIHI",100
"SIHI",130
"PELE",20
"NEMI",356
"PELE",27
"SIHI",81
"PELE",28
"NEMI",350
"SIHI",16
"SIHI",40
"SIHI",185
"SIHI",38
"SIHI",90
"PEMA",20
"SIHI",90
"SIHI",190
"SIHI",155
"NEMI",346
"PELE",27
"SIHI",170
"SIHI",105
"PELE",22
"PELE",24
"PELE",23
"SIHI",135
"PELE",29
"SIHI",180
"SIHI",48
"REMO",14
"SIHI",100
"SIHI",90
"SIHI",50
"SIHI",70
"SIHI",110
"SIHI",110
"SIHI",100
"CHHI",38
"SIHI",140
"SIHI",145
"SIHI",82
"SIHI",170
"PELE",22
"SIHI",140
"SIHI",70
"SIHI",120
"PEMA",16
"PEMA",15
"PEMA",23
"PEMA",14
"PEMA",16
"PEMA",12
"PELE",30
"PELE",24
"PEMA",20
"PEMA",20
"NEMI",87
"PELE",30
"PEMA",13
"REMO",15
"PEMA",24
"PELE",25
"PEMA",17
"PEMA",22
"PEMA",10
"REFU",13
"PEMA",23
"PEMA",20
"REFU",10
"SIHI",110
"REFU",15
"SIHI",160
"REFU",13
"PELE",20
"PEMA",20
"PELE",20
"PELE",31
"PEMA",12
"REFU",10
"REFU",17
"PEMA",16
"REFU",14
"REFU",13
"PELE",13
"PEMA",13
"REFU",15
"REFU",17
"SIHI",51
"PEMA",16
"SIHI",140
"PEMA",20
"SIHI",70
"SIHI",80
"PEMA",20
"REFU",9
"REFU",14
"PEMA",20
"REFU",12
"REFU",14
"PEMA",23
"PEMA",17
"PEMA",20
"PEMA",20
"SIHI",70
"REFU",13
"SIHI",110
"SIHI",85
"REFU",14
"SIHI",110
"REFU",9
"SIHI",160
"PEMA",12
"PEMA",21
"REMO",9
"SIHI",105
"SIHI",115
"SIHI",85
"REMO",9
"REMO",9
"PEMA",15
"REMO",8
"SIHI",100
"PEMA",20
"PELE",17
"PELE",19
"PEMA",9
"PEMA",11
"REMO",6
"PEMA",20
"PELE",21
"PELE",14
"PELE",24
"PELE",27
"NEMI",85
"PELE",27
"PELE",27
"PELE",26
"PELE",27
