"taxonID","weight"
"REME",17
"REME",15
"CHHI",48
"PEFL",9
"PEFL",10
"PEFL",11
"PEFL",10
"PEFL",8
"REME",17
"PEFL",9
"PEFL",9
"PEFL",8
"PEFL",8
"PEFL",7
"PEFL",9
"PEFL",9
"PEFL",8
"PEFL",8
"PEFL",9
"PEFL",9
"PEFL",10
"PEFL",8
"PEMA",18
"REME",14
"PEFL",9
"PEFL",8
"ONLE",30
"DIOR",65
"PEFL",8
"REME",12
"PEFL",9
"REMO",11
"REME",11
"REME",16
"CHHI",75
"REMO",12
"PEFL",9
"PEFL",12
"REME",17
"ONLE",29
"CHHI",54
"DIOR",65
"CHHI",61
"PEFL",7
"REME",7
"REME",11
"PEFL",9
"PEFL",6
"PEFL",10
"ONLE",19
"REMO",9
"PEFL",9
"REME",11
"CHHI",53
"PEMA",16
"REME",11
"REME",13
"PEFL",7
"ONLE",27
"ONLE",26
"CHHI",66
"REME",10
"PEFL",6
"PEFL",9
"REMO",11
"CHHI",53
"REME",16
"CHHI",64
"REME",9
"REME",13
"PEMA",15
"REME",16
"PEFL",9
"REMO",14
"REMO",12
"CHHI",57
"REMO",11
"CHHI",65
"PEFL",7
"PEFL",9
"PEMA",15
"CHHI",55
"REME",9
"REMO",11
"REME",10
"REME",9
"CHHI",57
"REMO",9
"REMO",11
"PEFL",12
"REME",5
"ONLE",29
"CHHI",64
"CHHI",54
"REMO",11
"REMO",9
"REME",11
"PEFL",8
"PEFL",7
"PEMA",13
"PEMA",13
"PEFL",8
"MIPE",33
"PEFL",9
"REME",9
"CHHI",55
"REMO",12
"PEMA",18
"REMO",11
"CHHI",66
"MIPE",34
"PEFL",14
"PEFL",11
"REME",13
"REME",16
"REMO",16
"DIOR",70
"PEFL",10
"MIPE",44
"REME",12
"ONLE",35
"DIOR",67
"ONLE",32
"REME",19
"ONLE",40
"PEFL",6
"DIOR",57
"PEFL",8
"PEFL",9
"REME",17
"REME",17
"REMO",18
"PEFL",8
"MIPE",44
"DIOR",68
"ONLE",38
"PEFL",13
"REME",14
"REME",14
