"taxonID","weight"
"MIPE",32
"PEMA",23
"MIPE",33
"PEMA",21
"PEMA",17
"PEMA",19
"MIPE",34
"PEMA",17
"PEMA",21
"PEMA",25
"PEMA",24
"PEMA",14
"PEMA",14
"PEMA",22
"MIPE",10
"PEMA",18
"MIPE",27
"PEMA",15
"PEMA",12
"PEMA",21
"PEMA",19
"PEMA",19
"PEMA",25
"MIPE",9
"MIPE",36
"PEMA",21
"MIPE",35
"MIPE",41
"MIPE",20
"MIPE",25
"PEMA",26
"MIPE",25
"MIPE",21
"PEMA",21
"PEMA",15
"MIPE",19
"PEMA",19
"MIPE",41
"MIPE",32
"MIPE",35
"MIPE",12
"MIPE",36
"MIPE",36
"PEMA",16
"PEMA",20
"PEMA",16
"PEMA",17
"MIPE",20
"PEMA",14
"PEMA",12
"MIPE",44
"MIPE",28
"PEMA",22
"PEMA",14
"PEMA",14
"MIPE",14
"MIPE",23
"MIPE",53
"PEMA",19
"PEMA",16
"MIPE",10
"MIPE",28
"MIPE",28
"PEMA",18
"PEMA",18
"MIPE",38
"MIPE",25
"MIPE",33
"PEMA",25
"PEMA",18
"PEMA",14
"MIPE",31
"PEMA",14
"MIPE",47
"MIPE",12
"PEMA",23
"MIPE",30
"MIPE",35
"MIPE",27
"MIPE",40
"MIPE",45
"MIPE",40
"PEMA",18
"MIPE",31
"MIPE",43
"PEMA",18
"PEMA",23
"MIPE",36
"PEMA",14
"MIPE",32
"PEMA",18
"PEMA",17
"MIPE",32
"PEMA",18
"MIPE",30
"PEMA",18
"PEMA",20
"PEMA",24
"MIPE",35
"MIPE",33
"MIPE",25
"MIPE",32
"MIPE",30
"PEMA",23
"PEMA",25
"PEMA",20
"MIPE",21
"PEMA",21
"MIPE",32
"MIPE",33
"MIPE",35
"MIPE",35
"MIPE",33
"PEMA",20
"PEMA",19
"PEMA",12
"MIPE",23
"MIPE",38
"PEMA",18
"PEMA",14
"MIPE",37
"MIPE",30
"MIPE",42
"MIPE",44
"MIPE",50
"MIPE",37
"MIPE",30
"MIPE",20
"MIPE",28
"MIPE",21
"MIPE",38
"PEMA",22
"MIPE",17
"PEMA",18
"MIPE",28
"MIPE",19
"MIPE",17
"MIPE",38
"PEMA",22
"MIPE",35
"MIPE",38
"MIPE",29
"PEMA",14
"MIPE",26
"MIPE",40
"MIPE",30
"PEMA",18
"MIPE",34
"MIPE",29
"MIPE",33
"MIPE",27
"MIPE",17
"MIPE",19
"PEMA",20
"MIPE",50
"MIPE",36
"MIPE",33
"MIPE",40
"MIPE",31
"PEMA",25
"MIPE",37
"MIPE",31
"PEMA",20
"PEMA",18
"PEMA",21
"PEMA",19
"MIPE",32
"PEMA",16
"MIPE",28
"PEMA",17
"PEMA",13
"MIPE",22
"PEMA",11
"MIPE",18
"MIPE",33
"PEMA",13
"PEMA",19
"MIPE",26
"PEMA",15
"MIPE",44
"MIPE",17
"PEMA",9
"PEMA",20
"PEMA",21
"MIPE",34
"MIPE",19
"PEMA",22
"PEMA",14
"PEMA",24
"PEMA",8
"MIPE",14
"MIPE",33
"MIPE",32
"MIPE",29
"MIPE",30
"MIPE",35
"MIPE",40
"MIPE",10
"PEMA",8
"MIPE",9
"PEMA",20
"PEMA",18
"MIPE",35
"MIPE",17
"MIPE",30
"PEMA",13
"PEMA",17
"PEMA",16
"PEMA",17
"PEMA",15
"PEMA",19
"PEMA",19
"PEMA",15
"PEMA",13
"PEMA",14
"PEMA",14
"PEMA",11
"PEMA",10
"PEMA",17
"PEMA",12
"PEMA",21
"PEMA",20
"PEMA",15
"PEMA",14
"PEMA",16
"PEMA",12
"PEMA",16
"MIPE",19
"PEMA",15
"PEMA",16
"PEMA",15
"PEMA",12
"PEMA",19
"PEMA",15
"PEMA",13
"PEMA",11
"PEMA",9
"PEMA",11
"PEMA",17
"PEMA",20
"PEMA",12
"PEMA",12
"PEMA",15
"PEMA",10
"PEMA",14
"PEMA",16
"PEMA",14
"PEMA",14
"PEMA",19
"PEMA",9
"REME",9
"PEMA",10
"PEMA",16
"MIPE",25
"PEMA",16
"PEMA",12
"MIPE",25
"PEMA",19
"PEMA",13
"PEMA",17
"PEMA",16
"MIPE",20
"PEMA",19
"PEMA",15
"PEMA",11
"PEMA",18
"MIPE",24
"PEMA",13
"PEMA",9
"PEMA",18
"PEMA",16
"PEMA",14
"MIPE",14
"PEMA",10
"MIPE",23
"PEMA",9
"MIPE",16
"PEMA",20
"PEMA",11
"MIPE",17
"PEMA",9
"PEMA",11
"PEMA",16
"MIPE",18
"MIPE",33
"PEMA",20
"MIPE",29
"MIPE",25
"MIPE",26
"PEMA",22
"MIPE",34
"PEMA",24
"PEMA",20
"PEMA",17
"PEMA",21
"MIPE",29
"MIPE",33
"PEMA",21
"PEMA",19
"PEMA",17
"PEMA",22
"PEMA",17
"PEMA",17
"ONLE",35
"PEMA",24
"MIPE",25
"MIPE",23
"PEMA",21
"PEMA",16
"PEMA",21
"PEMA",20
"PEMA",15
"MIPE",43
"PEMA",17
"PEMA",19
"MIPE",11
"PEMA",21
"MIPE",28
"MIPE",28
"PEMA",21
"MIPE",33
"PEMA",20
"MIPE",23
"PEMA",22
"MIPE",30
"MIPE",9
"PEMA",18
"PEMA",22
"ONLE",39
"MIPE",35
"MIPE",10
"PEMA",21
"PEMA",19
"PEMA",22
"MIPE",26
"PEMA",19
"PEMA",24
"PEMA",22
"MIPE",13
"MIPE",10
"PEMA",30
"MIPE",14
"PEMA",17
"PEMA",19
"ZAHU",16
"ZAHU",14
"MIPE",32
"PEMA",25
"ONLE",19
"MIPE",11
"PEMA",22
"PEMA",20
"PEMA",21
"ONLE",21
"PEMA",23
"MIPE",16
"MIPE",35
"PEMA",15
"PEMA",16
"MIPE",30
"PEMA",25
"MIPE",22
"MIPE",26
"MIPE",27
"PEMA",18
"PEMA",23
"PEMA",20
"MIPE",40
"MIPE",23
"MIPE",20
"MIPE",32
"MIPE",26
"ONLE",34
"PEMA",21
"ZAPR",17
"PEMA",19
"MIPE",20
"MIPE",37
"PEMA",15
"MIPE",19
"ONLE",57
"PEMA",17
"MIPE",37
"PEMA",20
"PEMA",21
"PEMA",15
"PEMA",16
"MIPE",25
"MIPE",23
"MIPE",20
"MIPE",23
"MIPE",32
"MIPE",25
"ONLE",26
"ONLE",33
"MIPE",43
"PEMA",25
"ZAHU",25
"ONLE",30
"PEMA",18
"PEMA",16
"MIPE",16
"ZAPR",24
"PEMA",17
"MIPE",27
"MIPE",25
"MIPE",16
"MIPE",21
"MIPE",16
"ZAHU",24
"MIPE",27
"ZAHU",17
"PEMA",21
"ONLE",30
"ONLE",31
"MIPE",12
"PEMA",22
"MIPE",29
"MIPE",30
"MIPE",44
"PEMA",15
"ONLE",30
"MIPE",34
"MIPE",33
"MIPE",20
"ONLE",56
"PEMA",15
"ONLE",31
"ONLE",26
"MIPE",35
"MIPE",27
"PEMA",16
"MIPE",20
"PEMA",16
"MIPE",18
"PEMA",20
"PEMA",15
"MIPE",22
"MIPE",28
