"taxonID","weight"
"PELE",29
"PELE",19
"PEGO",32
"PELE",17
"OCNU",27
"OCNU",17
"PEMA",17
"PELE",15
"PELE",16
"PEMA",19
"PEMA",18
"PELE",19
"PELE",18
"PEMA",19
"PELE",19
"PEMA",22
"PELE",14
"PEMA",15
"PELE",25
"PEMA",15
"PEGO",29
"PEGO",17
"PEMA",16
"PEMA",14
"PELE",13
"PEMA",18
"PEMA",19
"PELE",17
"PEMA",17
"PEMA",15
"PELE",18
"PEMA",14
"PEMA",15
"PEMA",17
"PEMA",16
"PEMA",16
"PELE",22
"PELE",25
"PELE",16
"PELE",19
"PELE",14
"PEMA",20
"PELE",15
"PEMA",13
"PEMA",15
"PELE",23
"PEMA",12
"PEMA",18
"PEMA",14
"PELE",12
"PEMA",16
"PEMA",19
"PEMA",14
"OCNU",22
"PELE",21
"PELE",20
"PELE",18
"PELE",19
"PELE",18
"OCNU",20
"PEMA",16
"PELE",15
"PEMA",14
"PEMA",21
"PEGO",17
"PEGO",26
"OCNU",20
"PELE",20
"PELE",20
"PEMA",16
"PELE",20
"OCNU",17
"PEMA",15
"PELE",17
"PELE",15
"PELE",15
"PELE",18
"PEMA",16
"PEMA",14
"PELE",13
"PELE",18
"PEMA",17
"PELE",21
"PELE",16
"PELE",18
"PEMA",18
"PELE",21
"PELE",19
"PELE",19
"PELE",19
"PELE",20
"PELE",18
"OCNU",16
"PELE",18
"OCNU",18
"PEMA",15
"PELE",19
"PELE",20
"PEMA",24
"PEMA",15
"PELE",14
"OCNU",17
"PELE",17
"PEMA",15
"PELE",18
"PELE",22
"PELE",22
"PEMA",16
"PEMA",17
"PELE",20
"PEMA",17
"PELE",20
"OCNU",18
"PELE",14
"PELE",15
"PEMA",17
"PEMA",15
"PELE",19
"PELE",19
"PEMA",18
"OCNU",21
"PEMA",15
"PELE",20
"OCNU",20
"PELE",16
"PELE",19
"PELE",23
"PEMA",20
"PEMA",17
"PELE",16
"PEGO",26
"PELE",17
"PEMA",15
"PEMA",17
"PEMA",16
"OCNU",15
"PELE",17
"PEMA",17
"PEMA",15
"PELE",19
"PELE",18
"PEMA",17
"PELE",16
"PEMA",19
"PELE",19
"PEMA",17
"PEMA",17
"OCNU",20
"OCNU",24
"PELE",21
"PELE",17
"PEMA",16
"PEMA",16
"PELE",20
"PEMA",15
"PEMA",14
"PELE",22
"PELE",17
"PEMA",17
"PELE",20
"PELE",22
"PELE",21
"PELE",17
"PELE",19
"PELE",17
"PELE",16
"PELE",24
"PELE",20
"PEMA",18
"PELE",20
"PELE",16
"PEMA",20
"PEMA",17
"PELE",20
"PELE",20
"PELE",21
"PEMA",17
"PELE",23
"PELE",20
"PEMA",22
"PELE",13
"PEMA",17
"PELE",22
"PELE",19
"PELE",20
"PELE",17
"PEMA",17
"PELE",15
"PELE",15
"PELE",16
"PEMA",17
"PELE",17
"PEMA",18
"PEMA",16
"PEMA",21
"PELE",17
"PEMA",21
"PEMA",16
"PELE",18
"PEMA",16
"PELE",23
"PELE",24
"PELE",20
"PELE",25
"PELE",19
"PELE",21
"PEMA",20
"PELE",18
"PEMA",14
"OCNU",26
"PEMA",23
"PEMA",16
"OCNU",25
"PEMA",19
"PEMA",14
"PEMA",15
"PELE",21
"OCNU",19
"PEMA",17
"PEMA",15
"PELE",20
"PELE",18
"PEMA",16
"PELE",19
"PELE",19
"PELE",14
"PELE",22
"PEMA",17
"PEMA",15
"PELE",17
"PEMA",13
"OCNU",15
"PELE",25
"PELE",17
"PEMA",10
"PELE",20
"PELE",17
"PELE",15
"PEMA",17
"PELE",20
"PELE",18
"PELE",16
"PELE",22
"PELE",21
"PELE",19
"PELE",15
"PELE",16
"PELE",18
"PELE",14
"PEMA",20
"PELE",22
"PEMA",16
"PEMA",15
"PELE",18
"PEMA",11
"PELE",17
"PEMA",15
"PELE",17
"PELE",20
"PELE",15
"PELE",18
"OCNU",19
"PEMA",19
"PELE",22
"PEMA",16
"PEMA",17
"PELE",19
"PEMA",14
"PEMA",16
"PEMA",21
"PEMA",19
"PEMA",21
"PEMA",14
"PELE",16
"PEMA",17
"PELE",20
"PEMA",14
"PEMA",19
"PELE",19
"PELE",14
"PEMA",14
"PELE",16
"PELE",25
"PELE",21
"PEMA",26
"PEMA",16
"PEMA",15
"PEMA",14
"OCNU",17
"PEMA",21
"PEMA",17
"PELE",17
"PELE",19
"PEMA",15
"PEMA",16
"PELE",20
"PEMA",17
"PEMA",16
"PELE",18
"PEMA",21
"PEMA",19
"PEMA",18
"PELE",18
"PELE",23
"PEMA",16
"PEMA",17
"PELE",17
"PELE",19
"PEMA",14
"PEMA",17
"PEMA",16
"OCNU",23
"PELE",24
"PEMA",18
"PELE",13
