"taxonID","weight"
"RARA",50
"RARA",147
"RARA",117
"RARA",147
"RARA",95
"RARA",64
"RARA",94
"RARA",94
"RARA",114
"RARA",144
"RARA",120
"RARA",95
"RARA",130
"RARA",95
"RARA",120
"RARA",50
"RARA",13
"RARA",100
"RARA",150
"RARA",130
"RARA",110
"RARA",120
"RARA",60
"RARA",150
"RARA",100
"RARA",100
"RARA",80
"RARA",110
"RARA",150
"RARA",100
"RARA",100
"RARA",130
"RARA",140
"RARA",160
"RARA",95
"RARA",110
"RARA",110
"RARA",100
"RARA",120
"RARA",90
"RARA",50
"RARA",130
"RARA",115
"RARA",100
"RARA",110
"RARA",110
"RARA",100
"RARA",60
"RARA",100
"RARA",120
"RARA",100
"RARA",90
"RARA",130
"RARA",120
"RARA",65
"RARA",80
"RARA",140
"RARA",110
"RARA",50
"RARA",130
"RARA",120
"MUMU",20
"RARA",140
"RARA",130
"RARA",115
"RARA",120
"RARA",130
"RARA",12
"RARA",90
"RARA",130
"RARA",110
"RARA",130
"RARA",124
"RARA",149
"RARA",40
"RARA",150
"RARA",150
"RARA",80
"RARA",150
"RARA",134
"RARA",170
"RARA",150
"RARA",129
"RARA",140
"RARA",94
"RARA",150
"RARA",134
"RARA",38
"RARA",155
"RARA",139
"RARA",139
"RARA",169
"RARA",35
"RARA",35
"RARA",29
"RARA",34
"RARA",120
"RARA",116
"RARA",149
"RARA",128
"RARA",125
"RARA",39
"RARA",139
"RARA",30
"RARA",119
"RARA",25
"RARA",115
"RARA",109
"RARA",99
"RARA",19
"RARA",119
"RARA",89
"RARA",129
"RARA",115
"RARA",105
"RARA",139
"RARA",130
"RARA",45
"RARA",140
"RARA",140
"RARA",30
"RARA",70
"RARA",50
"RARA",89
"RARA",39
"RARA",46
"RARA",149
"RARA",28
"RARA",119
"RARA",98
"RARA",100
"RARA",30
"RARA",40
"RARA",130
"RARA",3
"RARA",70
"RARA",110
"RARA",119
"RARA",110
"RARA",120
"RARA",120
"RARA",120
"RARA",129
"RARA",120
"RARA",30
"RARA",50
"RARA",47
"RARA",50
"RARA",40
"RARA",132
"RARA",90
"RARA",100
"RARA",110
"RARA",50
"RARA",40
"RARA",112
"RARA",102
"RARA",40
"RARA",30
"RARA",50
"RARA",110
"RARA",129
"RARA",120
"RARA",91
"RARA",121
"RARA",46
"RARA",121
"RARA",111
"RARA",131
"RARA",130
"RARA",140
"RARA",140
"RARA",30
"RARA",50
"RARA",30
"RARA",115
"RARA",149
"RARA",195
"RARA",50
"RARA",47
"RARA",100
"RARA",130
"RARA",70
"RARA",140
"RARA",40
"RARA",45
"RARA",130
"RARA",110
"RARA",25
"RARA",139
"RARA",39
"RARA",99
"RARA",139
"RARA",125
"RARA",109
"RARA",38
"RARA",119
"RARA",40
"RARA",19
"RARA",119
"RARA",149
"RARA",98
"RARA",128
"RARA",115
"RARA",110
"RARA",100
"RARA",35
"RARA",60
"RARA",50
"RARA",60
"RARA",60
"RARA",100
"RARA",30
"RARA",120
"RARA",50
"RARA",20
"RARA",50
"RARA",40
"RARA",40
"RARA",110
"RARA",110
"RARA",120
"RARA",50
"RARA",60
"RARA",120
"RARA",130
"MUMU",13
"RARA",20
"RARA",130
"RARA",25
"RARA",35
"RARA",109
"RARA",119
"RARA",23
"MUMU",15
"RARA",130
"RARA",130
"RARA",26
"RARA",130
"RARA",140
"RARA",34
"RARA",45
"RARA",150
"MUMU",5
"RARA",125
"RARA",135
"RARA",100
"MUMU",14
"RARA",125
"RARA",105
"MUMU",5
"RARA",125
"RARA",135
"RARA",95
"RARA",75
"RARA",140
"RARA",115
"MUMU",11
"MUMU",14
"MUMU",11
"MUMU",4
"RARA",110
"RARA",130
"RARA",135
"RARA",95
"RARA",60
"RARA",115
"RARA",65
"RARA",85
"RARA",55
"RARA",45
"RARA",105
"MUMU",9
"RARA",119
"MUMU",11
"RARA",89
