"taxonID","weight"
"SIHI",103
"PEPO",19
"PEPO",21
"SIHI",93
"PEPO",19
"PEGO",28
"PEGO",27
"SIHI",94
"SIHI",108
"PEPO",11
"PEPO",12
"PEPO",20
"PEGO",19
"PEPO",17
"PEPO",14
"PEPO",20
"PEGO",29
"PEGO",20
"PEPO",11
"PEPO",18
"PEGO",15
"MUMU",17
"PEGO",20
"PEGO",16
"PEGO",20
"PEPO",15
"PEGO",20
"PEPO",12
"PEGO",27
"PEGO",28
"PEGO",25
"PEGO",20
"SIHI",100
"SIHI",120
"SIHI",120
"SIHI",95
"PEGO",25
"PEPO",29
"PEGO",21
"SIHI",90
"PEGO",23
"PEGO",18
"SIHI",90
"PEGO",25
"PEGO",19
"SIHI",100
"SIHI",110
"SIHI",97
"PEGO",21
"PEGO",22
"PEGO",19
"SIHI",104
"SIHI",90
"PEGO",19
"SIHI",110
"PEGO",26
"PEGO",14
"MUMU",16
"PEGO",20
"PEPO",11
"PEGO",18
"PEPO",14
"SIHI",97
"SIHI",140
"PEGO",28
"PEGO",29
"PEGO",20
"PEGO",27
"PEGO",22
"PEPO",14
"SIHI",92
"PEPO",12
"PEPO",12
"PEGO",20
"PEGO",20
"PEPO",12
"PEGO",33
"PEGO",26
"PEGO",23
"PEGO",32
"PEGO",26
"PEGO",21
"PEGO",28
"PEGO",28
"PEGO",28
"SIHI",102
"PEGO",22
"PEGO",21
"PEGO",22
"PEGO",20
"PEGO",22
"PEGO",31
"PEGO",15
"PEPO",13
"PEGO",27
"PEGO",22
"PEGO",21
"PEGO",26
"PEGO",21
"PEGO",22
"PEGO",23
"PEGO",26
"PEGO",29
"PEPO",19
"PEPO",13
"PEPO",12
"MUMU",13
"PEGO",29
"PEGO",23
"PEGO",26
"PEPO",14
"PEGO",24
"PEGO",20
"PEGO",20
"PEGO",25
"PEGO",26
"PEGO",21
"SIHI",102
"PEGO",25
"PEGO",24
"PEGO",25
"PEGO",21
"PEGO",29
"PEGO",27
"NEFL",213
"PEGO",27
"PEGO",22
"PEGO",24
"PEGO",20
"PEGO",23
"PEGO",25
"PEGO",31
"PEGO",33
"PEGO",29
"PEGO",21
"MUMU",18
"PEGO",21
