"taxonID","weight"
"CHPE",13
"DIME",38
"DIME",41
"CHPE",11
"CHPE",16
"DIME",35
"CHPE",17
"DISP",83
"DIOR",45
"CHPE",14
"PEFL",15
"DISP",100
"PELE",39
"DIME",43
"CHPE",14
"SIHI",130
"SIHI",82
"DIME",52
"DIME",40
"DIME",48
"DISP",50
"PEFA",6
"DIOR",39
"DIME",38
"ONLE",44
"CHPE",14
"DIOR",55
"DISP",130
"PEFA",7
"PEFL",7
"DIOR",42
"DISP",140
"DIOR",39
"CHPE",13
"DIME",25
"DIOR",52
"DIME",41
"DIME",42
"DISP",145
"CHPE",15
"PEFL",15
"DIME",40
"DIOR",44
"CHPE",15
"CHPE",14
"DISP",135
"PEFL",6
"CHPE",14
"PEFA",7
"PEFL",7
"ONAR",16
"PEFA",6
"DIME",45
"CHPE",14
"DIME",43
"CHPE",16
"PEFA",7
"PEFL",7
"PEFA",21
"CHPE",16
"DIME",39
"PEFL",7
"DIME",47
"NEMI",143
"PEFL",7
"DIME",47
"CHPE",14
"ONLE",29
"CHPE",17
"CHPE",14
"ONAR",16
"DIME",40
"CHPE",14
"PEFL",7
"CHPE",14
"CHPE",17
"DISP",140
"CHPE",14
"ONLE",34
"DIOR",50
"PEFL",6
"CHPE",17
"CHPE",17
"SIHI",100
"DIOR",52
"CHPE",146
"PEFL",7
"PEFL",7
"PEFL",6
"PEFL",7
"CHPE",16
"DIOR",54
"DIOR",49
"DIME",44
"DIOR",32
"DIOR",53
"DIOR",51
"PEFL",7
"CHPE",14
"DIME",47
"DIME",42
"CHPE",14
"PEFL",9
"DIME",36
"DIME",45
"DIOR",47
"DIOR",44
"CHPE",17
"ONAR",26
"CHPE",13
"DISP",95
"DISP",105
"DIME",45
"PEFA",7
"DIME",42
"CHPE",14
"DIME",40
"DIOR",32
"DIOR",49
"CHPE",12
"DIME",46
"DIOR",45
"DIME",46
"PEFL",6
"DIOR",47
"DIME",29
"DIOR",51
"DIME",43
"CHPE",14
"DIOR",41
"CHPE",14
"PEFL",6
"DIME",47
"DIME",40
"DIOR",47
"DIOR",51
"PEFL",6
"CHPE",14
"DIOR",48
"CHPE",14
"DIOR",48
"DIOR",51
"DIME",48
"DIME",38
"DIOR",49
"PEFL",8
"DIME",43
"DIME",38
"DIME",45
"DIME",46
"PEFL",7
"DIME",39
"PELE",10
"DIME",48
"DIME",41
"DIME",45
"CHPE",13
"DIOR",50
"DIOR",52
"ONLE",23
"DIOR",40
"DIOR",45
"ONAR",33
"DISP",140
"DIOR",50
"DIME",40
"DIME",39
"DIME",40
"DIME",43
"CHPE",13
"DIOR",44
"DIOR",52
"DIOR",51
"DIOR",56
"DIOR",54
"DIOR",49
"DIOR",50
"DIOR",51
"DIME",46
"DIOR",54
"DIME",44
"DIME",46
"DIME",49
"CHPE",14
"ONLE",23
"CHPE",7
"DIOR",62
"DIME",40
"DISP",110
"DIME",44
"DIME",41
"DIME",38
"DIOR",50
"DIOR",46
"DIME",44
"DIME",43
"DIME",44
"CHPE",15
"PEFL",6
"DIOR",54
"CHPE",17
"CHPE",14
"CHPE",16
"PELE",15
"CHPE",13
"DIOR",43
"DIME",47
"CHPE",17
"CHPE",14
"DIME",41
"PEFL",5
"PEFL",6
"CHPE",15
"CHPE",13
"DIOR",51
"DIME",40
"CHPE",15
"DIME",45
"CHPE",17
"CHPE",15
"MUMU",11
"SIHI",185
"ONAR",30
"CHPE",16
"CHPE",15
"DISP",132
"CHPE",15
"DISP",75
"CHPE",14
"CHPE",17
"DIOR",42
"DIME",45
"DIME",43
"PEFL",8
"PEFL",7
"CHPE",17
"CHPE",16
"DIME",44
"DISP",145
"PEFL",8
"CHPE",16
"CHPE",16
"CHPE",20
"CHPE",16
"DIME",48
"CHPE",16
"CHPE",17
"NEMI",235
"CHPE",20
"CHPE",16
"DIOR",51
"CHPE",16
"DIOR",52
"CHPE",18
"DIME",40
"ONLE",30
"DIOR",52
"PEFL",8
"ONLE",36
"CHPE",16
"PEFL",8
"CHPE",17
"DIME",42
"CHPE",16
"PEFL",7
"CHPE",16
"DISP",130
"ONLE",22
"DIME",45
"DIOR",52
"DIOR",55
"DIME",50
"DIME",46
"CHPE",18
"PEFL",7
"CHPE",16
"CHPE",18
"DIME",42
"DIOR",58
"CHPE",17
"ONLE",25
"DIME",46
"DIME",44
"DIOR",59
"CHPE",17
"DIME",50
"ONLE",40
"DIME",45
"DIME",45
"CHPE",16
"CHPE",16
"PEFL",7
"DIOR",60
"CHPE",16
"CHPE",20
"DIOR",47
"PEFL",8
"CHPE",18
"ONLE",42
"DIME",47
"CHPE",17
"PEFL",7
"DIME",31
"DIME",47
"CHPE",17
"PEFL",8
"CHPE",16
"PEFL",7
"CHPE",17
"CHPE",16
"DIME",40
"PEFL",8
"PEFL",9
"DISP",140
"DISP",135
"DIME",44
"DIOR",65
"DIOR",41
"CHPE",15
"CHPE",15
"DISP",135
"CHPE",17
"DIOR",62
"DIME",43
"PEFL",18
"PEFL",7
"DIME",45
"DIME",29
"PEFL",8
"PEFL",7
"CHPE",16
"DISP",125
"PEFL",7
"CHPE",19
"CHPE",17
"CHPE",15
"CHPE",16
"CHPE",15
"CHPE",14
"DIOR",62
"DISP",130
"ONLE",31
"CHPE",15
"SIHI",45
"SIHI",185
"ONLE",23
"CHPE",14
"ONLE",28
"PEFL",6
"CHPE",16
"DIME",43
"ONLE",20
"ONLE",32
"PEFL",8
"PEFL",7
"DIME",40
"DIOR",44
"CHPE",16
"DIOR",47
"CHPE",17
"DIOR",51
"DIOR",56
"DIME",49
"DIOR",57
"CHPE",16
"DIME",39
"CHPE",18
"CHPE",17
"DIME",43
"DIME",47
"DIME",49
"CHPE",16
"DIOR",45
"CHPE",16
"CHPE",15
"DIOR",39
"CHPE",16
"CHPE",15
"DIOR",53
"PEFL",7
"CHPE",14
"DIOR",50
"DIME",47
"PEFL",6
"CHPE",15
"DIME",42
"PEFL",7
"CHPE",17
"CHPE",17
"CHPE",15
"DIOR",53
"PEFL",7
"DIME",49
"NEMI",235
"CHPE",16
"DIME",44
"DIME",46
"ONLE",38
"PEFL",8
"CHPE",20
"DIOR",50
"CHPE",17
"DIOR",50
"CHPE",14
"CHPE",17
"DIME",42
"CHPE",19
"DIOR",57
"DIME",40
"DIME",46
"DIOR",48
"CHPE",15
"PEFL",7
"CHPE",15
"DIOR",52
"PEFL",7
"DIOR",40
"DIME",45
"DIOR",49
"CHPE",17
"DIME",48
"CHPE",14
"DIOR",51
"SIHI",50
"DIME",40
"CHPE",17
"CHPE",16
"DIME",44
"DIOR",54
"CHPE",17
"CHPE",17
"CHPE",14
"CHPE",15
"DIME",46
"CHPE",15
"CHPE",13
"CHPE",16
