"taxonID","weight"
"PEMA",20
"PEMA",18
"PEMA",17
"PEMA",18
"MIOC",46
"PEMA",30
"PEMA",19
"MIOC",42
"CHHI",52
"PEMA",18
"PELE",32
"PEMA",21
"PEMA",21
"MIOC",31
"REME",12
"PEMA",19
"PEMA",30
"PEMA",20
"PEMA",18
"PEMA",17
"PEMA",15
"PEMA",15
"PEMA",22
"PEMA",25
"PEMA",17
"PEMA",18
"MIOC",37
"PEMA",21
"PEMA",19
"SIHI",102
"SIHI",62
"PEMA",29
"PEMA",15
"MIOC",25
"SIHI",76
"PEMA",19
"PEMA",16
"SIHI",85
"PEMA",19
"PEMA",22
"MUMU",23
"PEMA",15
"SIHI",79
"PEMA",14
"PEMA",19
"PEMA",20
"MUMU",20
"PEMA",18
"PEMA",18
"PEMA",19
"MUMU",19
"PEMA",25
"PEMA",17
"PEMA",15
"MUMU",26
"PEMA",9
"PEMA",30
"PEMA",16
"PEMA",20
"PEMA",20
"PEMA",20
"PEMA",20
"PEMA",26
"PEMA",18
"PEMA",16
"PEMA",18
"PEMA",17
"PEMA",20
"MIOC",25
"PEMA",20
"PELE",26
"PEMA",20
"PEMA",14
"PEMA",21
"PEMA",16
"PEMA",21
"PEMA",18
"PEMA",18
"PEMA",14
"PEMA",19
"PEMA",17
"PEMA",15
"PEMA",18
"PEMA",18
"PEMA",17
"PEMA",20
"PEMA",23
"CHHI",35
"PEMA",24
"PEMA",22
"PEMA",24
"MUMU",25
"PEMA",18
"PEMA",20
"PEMA",17
"PEMA",14
"PEMA",14
"SIHI",60
"SIHI",63
"MUMU",9
"PEMA",25
"MUMU",21
"SIHI",39
"PEMA",9
"PEMA",19
"PEMA",19
"PEMA",17
"MUMU",20
"SIHI",92
"MUMU",19
"MUMU",13
"SIHI",159
"REME",13
"PEMA",24
"SIHI",34
"MUMU",31
"PEMA",15
"PEMA",18
"PEMA",16
"PEMA",16
"PEMA",14
"MUMU",20
"PEMA",19
"PEMA",20
"PEMA",18
"PEMA",17
"PEMA",16
"PEMA",18
"PEMA",19
"PEMA",18
"CHHI",34
"PEMA",19
"PEMA",13
"PEMA",16
"PEMA",25
"PELE",31
"PEMA",14
"PELE",26
"PEMA",19
"MUMU",16
"PEMA",20
"SIHI",85
"PEMA",10
"PEMA",16
"PEMA",19
"PEMA",16
"PEMA",13
"PEMA",28
"SIHI",116
"PEMA",16
"PEMA",21
"PEMA",21
"PEMA",19
"PEMA",19
"PEMA",20
"PEMA",20
"SIHI",65
"PEMA",23
"PEMA",23
"PEMA",26
"PEMA",21
"PEMA",21
"PEMA",31
"SIHI",129
"PEMA",19
"PEMA",31
"PEMA",25
"PEMA",20
"PEMA",22
"SIHI",122
"PEMA",23
"SIHI",68
"REME",13
"PEMA",21
"PEMA",26
"PEMA",30
"SIHI",190
"SIHI",100
"PELE",34
"PEMA",20
"SIHI",92
"PEMA",21
"SIHI",110
"PELE",32
"PEMA",20
"SIHI",165
"PELE",25
"PEMA",24
"PELE",29
"SIHI",66
"SIHI",26
"PEMA",26
"PELE",31
"PELE",30
"PELE",28
"PEMA",18
"PELE",33
"PELE",31
"PEMA",15
"MUMU",23
"REME",8
"PELE",27
"PELE",25
"SIHI",70
"PEMA",20
"PEMA",25
"SIHI",27
"PEMA",24
"PEMA",21
"PEMA",22
"PEMA",23
"PEMA",25
"PEMA",14
"SIHI",102
"PEMA",22
"SIHI",100
"PEMA",17
"REME",17
"PEMA",30
"PEMA",20
"PEMA",18
"PEMA",20
"PEMA",24
"PEMA",19
"SIHI",30
"PEMA",19
"SIHI",65
"PEMA",26
"SIHI",165
"PEMA",21
"PEMA",18
"PEMA",21
"SIHI",29
"PELE",34
"SIHI",45
"PEMA",29
"CHHI",23
"PELE",33
"SIHI",100
