"taxonID","weight"
"PELE",20
"PELE",35
"PELE",38
"PELE",34
"MIOC",44
"MIOC",39
"PELE",42
"MIOC",46
"PELE",16
"NEFL",163
"CHHI",63
"PEMA",17
"MIOC",28
"NEFL",203
"PELE",19
"PELE",29
"CHHI",62
"PELE",28
"CHHI",61
"PELE",21
"PELE",19
"PELE",25
"PELE",20
"PELE",24
"PELE",25
"PELE",22
"MIOC",43
"MIOC",44
"SIHI",125
"MIOC",16
"PELE",18
"MIOC",22
"SIHI",134
"PELE",39
"MIOC",40
"MIOC",31
"MIOC",34
"PELE",19
"PELE",28
"PELE",29
"PELE",30
"PELE",19
"PELE",28
"NEFL",164
"PELE",30
"PELE",22
"PELE",32
"MIOC",46
"PELE",19
"MIOC",48
"PELE",23
"PELE",32
"REME",13
"MIOC",32
"CHHI",29
"PEMA",16
"CHHI",42
"PEMA",11
"PEMA",18
"PEMA",18
"PEMA",17
"PELE",28
"PELE",23
"PELE",21
"PELE",27
"PELE",18
"PELE",27
"PELE",22
"PELE",20
"PELE",26
"PELE",19
"MIOC",32
"PEMA",19
"MIOC",33
"PELE",25
"PEMA",18
"PELE",19
"PEMA",14
"PEMA",14
"PEMA",13
"PEMA",18
"PEMA",15
"REME",16
"MIOC",34
"MIOC",40
"PEMA",18
"PELE",26
"PELE",31
"PEMA",17
"MIOC",24
"PELE",26
"CHHI",34
"CHHI",31
"NEFL",183
"PELE",26
"CHHI",64
"PEMA",17
"PEMA",15
"PELE",26
"PELE",21
"PELE",24
"PEMA",17
"NEFL",194
"MIOC",34
"PELE",30
"PELE",34
"MIOC",41
"PELE",26
"PELE",33
"MIOC",24
"MIOC",32
"MIOC",45
"MIOC",29
"PELE",25
"PELE",34
"MIOC",21
"PELE",37
"MIOC",42
"PELE",27
"SIHI",125
"MIOC",39
"MIOC",47
"PELE",19
"MIOC",28
"SIHI",131
"MIOC",40
"MIOC",40
"PELE",18
"MIOC",42
"MIOC",47
"MIOC",48
"MIOC",16
"PEMA",25
"SIHI",104
"PELE",20
"MIOC",46
"MIOC",52
"MIOC",24
"MIOC",29
"MIOC",22
"PELE",33
"MIOC",36
"PEMA",20
"MIOC",26
"MIOC",45
"PELE",26
"PELE",24
"PELE",19
"PELE",21
"PELE",21
"NEFL",199
"CHHI",44
"PELE",22
"PELE",26
"PELE",31
"SIHI",104
"NEFL",162
"SIHI",31
"SIHI",29
"SIHI",23
"NEFL",241
"NEFL",384
"NEFL",204
"NEFL",223
"SIHI",173
"SIHI",33
"NEFL",133
"PELE",34
"ZAHU",16
"NEFL",143
"PELE",31
"PELE",23
"NEFL",195
"ZAHU",16
"NEFL",204
"MIOC",36
"MIOC",41
"MIOC",42
"MIOC",42
"MIOC",34
"MIOC",35
"MIOC",40
"PELE",27
"MIOC",29
"MIOC",38
"MIOC",55
"MIOC",41
"PEMA",18
"MIOC",30
"MIOC",40
"MIOC",33
"MIOC",29
"MIOC",38
"PEMA",21
"PELE",26
"MIOC",42
"PELE",24
"MIOC",42
"MIOC",36
"MIOC",41
"NEFL",108
"PELE",27
"MIOC",31
"MIOC",43
"MIOC",18
"PELE",35
"MIOC",45
"MIOC",45
"MIOC",45
"PELE",22
"PELE",31
"MIOC",36
"NEFL",234
"PELE",35
"PEMA",20
"PELE",33
"MIOC",43
"PELE",30
"MIOC",41
"PELE",31
"MIOC",38
"PELE",24
"PELE",24
"MIOC",35
"PELE",30
"MIOC",26
"CHHI",36
"PEMA",11
"PEMA",14
"PELE",25
"PELE",25
"PELE",22
"PELE",27
"PELE",25
"PELE",34
"CHHI",26
"PELE",29
"PELE",25
"PELE",36
"PELE",25
"PELE",28
"PELE",26
"PELE",26
"PELE",21
"NEFL",222
"PELE",20
"ZAHU",21
"PELE",25
"PELE",22
"PELE",25
"PELE",24
"PELE",29
"PELE",21
"PELE",25
"PELE",23
"PELE",32
"PELE",24
"PELE",20
"MIOC",38
"MIOC",42
"PELE",24
"PELE",24
"MIOC",42
"MIOC",33
"MIOC",46
"NEFL",99
"PELE",20
"PELE",32
"MIOC",24
"MIOC",39
"MIOC",36
"MIOC",44
"MIOC",38
"PELE",24
"MIOC",42
"MIOC",29
"MIOC",37
"MIOC",28
"MIOC",42
"MIOC",27
"PEMA",15
"PELE",18
"MIOC",54
"MIOC",46
"MIOC",36
"PELE",34
"MIOC",33
"MIOC",38
"PELE",28
"PELE",28
"MIOC",40
"PEMA",17
"MIOC",33
"PELE",33
"PELE",28
"MIOC",29
"MIOC",37
"PELE",29
"MIOC",36
"MIOC",36
"REME",13
"MIOC",35
"MIOC",34
"MIOC",45
"MIOC",36
"MIOC",37
"PELE",29
"PEMA",18
"PEMA",15
"PELE",23
"PEMA",14
"PELE",31
"PELE",28
"CHHI",66
"PELE",26
"CHHI",37
"PEMA",12
"PELE",21
"PELE",31
"MIOC",37
"PEMA",20
"CHHI",27
"PELE",26
"MIOC",27
"MIOC",42
"MIOC",34
"MIOC",44
"MIOC",20
"PELE",22
"PELE",27
"PEMA",16
"MIOC",30
"NEFL",218
"MIOC",36
"MIOC",30
"NEFL",148
"PELE",28
"MIOC",39
"MIOC",28
"MIOC",32
"PELE",33
"PELE",29
"PELE",20
"PELE",30
"MIOC",42
"MIOC",33
"MIOC",36
"NEFL",98
"MIOC",17
"MIOC",36
"MIOC",31
"NEFL",97
"MIOC",36
"MIOC",44
"MIOC",33
"MIOC",26
"PELE",28
"MIOC",34
"MIOC",38
"PEMA",16
"MIOC",52
"MIOC",35
"MIOC",39
"MIOC",44
"PEMA",19
"MIOC",32
"PELE",19
"PELE",34
"PELE",26
"PEMA",23
"MIOC",36
"MIOC",34
"MIOC",40
"PELE",23
"MIPI",34
"PELE",21
"PELE",25
"PELE",30
"PELE",24
"PELE",23
"PELE",19
"PELE",24
"PELE",23
"PELE",23
"PEMA",15
"CHHI",36
"PEMA",12
"PELE",25
"PELE",22
"MIOC",34
"NEFL",289
"NEFL",217
"CHHI",57
"CHHI",65
"CHHI",24
"PEMA",12
"PELE",26
"PELE",25
"PEMA",15
"PELE",26
"PELE",28
"PELE",28
"PELE",26
"PEMA",11
"PELE",22
"PEMA",14
"MIOC",28
"PEMA",17
"MIOC",37
"PELE",20
"PEMA",16
"PEMA",15
"MIOC",46
"PEMA",12
"PEMA",17
"MIOC",44
"PEMA",16
"MIOC",41
"PEMA",17
"CHHI",36
"MIOC",32
"PEMA",14
"PEMA",15
"PEMA",19
"MIOC",38
"PELE",29
"MIOC",40
"PELE",20
"MIOC",40
"PEMA",18
"MIOC",42
"MIOC",36
"MIOC",42
"CHHI",59
"CHHI",34
"PEMA",23
"PEMA",18
"PEMA",18
"CHHI",44
"ZAHU",14
"CHHI",39
"CHHI",26
"SIHI",193
"PELE",32
"SIHI",149
"SIHI",22
"PELE",24
"SIHI",93
"SIHI",168
"SIHI",124
"SIHI",118
"PEMA",17
"PEMA",16
"CHHI",26
"PEMA",19
"SIHI",21
"NEFL",248
"NEFL",152
"SIHI",124
"SIHI",64
"SIHI",22
"NEFL",280
"SIHI",99
"SIHI",109
"PELE",28
"SIHI",214
"NEFL",167
"PELE",26
"PEMA",17
"PEMA",21
"PEMA",14
"CHHI",45
"PELE",32
"PELE",25
"PELE",26
"PELE",27
"PELE",27
"CHHI",23
"NEFL",175
"NEFL",174
"NEFL",152
"NEFL",288
"PELE",33
"SIHI",65
"PELE",27
"NEFL",188
"SIHI",57
"NEFL",207
"NEFL",188
"SIHI",74
"ZAHU",18
"NEFL",78
"SIHI",18
"PELE",29
"SIHI",194
"NEFL",148
"SIHI",133
"SIHI",19
"NEFL",227
"NEFL",332
"SIHI",17
"SIHI",132
"CHHI",22
"PEMA",16
"CHHI",46
"MIOC",42
"MIOC",36
"PEMA",18
"MIOC",34
"PELE",25
"NEFL",93
"PEMA",21
"MIOC",48
"CHHI",41
"PEMA",18
"MIOC",37
"MIOC",39
"MIOC",43
"ZAHU",10
"CHHI",63
"PEMA",18
"MIOC",39
"PELE",27
"PEMA",24
"MIOC",44
"NEFL",263
"PEMA",19
"PEMA",22
"PEMA",16
"MIOC",41
"PELE",34
"CHHI",30
"SIHI",212
"SIHI",19
"SIHI",141
"MIOC",40
"MIOC",44
"MIOC",36
"PEMA",15
"MIOC",33
"PEMA",29
"MIOC",52
"MIOC",37
"PELE",33
"MIOC",46
"MIOC",36
"MIOC",40
"NEFL",152
"PEMA",12
"MIOC",32
"PEMA",17
"MIOC",45
"PELE",32
"MIOC",42
"PELE",25
"PEMA",17
"MIOC",26
"PELE",26
"PEMA",20
"PEMA",15
"MIOC",43
"PELE",26
"MIOC",33
"PELE",25
"MIOC",36
"PELE",34
"PELE",26
"PELE",26
"PELE",26
"PELE",25
"PELE",27
"PELE",34
"PELE",29
"PELE",35
"PELE",29
"MIOC",39
"MIOC",49
"MIOC",45
"PELE",31
"MIOC",35
"PELE",36
"SIHI",234
"MIOC",55
"PEMA",19
"MIOC",30
"CHHI",30
"MIOC",36
"MIOC",40
"MIOC",41
"MIOC",45
"PELE",28
"PELE",24
"PELE",25
"PELE",24
"PELE",25
"PELE",29
"CHHI",36
"PELE",31
"PELE",30
"PELE",27
"PELE",27
"PELE",31
"PELE",24
"CHHI",56
"MIOC",29
"PELE",27
"PELE",30
"PEMA",19
"MIOC",32
"CHHI",65
"PELE",26
"PELE",18
"PELE",30
"PELE",89
"SIHI",57
"MIOC",33
"SIHI",114
"MIOC",22
"MIOC",36
"PELE",36
"MIOC",41
"MIOC",32
"PELE",26
"MIOC",37
"SIHI",87
"PELE",34
"NEFL",159
"MIOC",34
"MIOC",54
"MIOC",34
"MIOC",48
"PELE",26
"MIOC",29
"MIOC",47
"MIOC",44
"MIOC",55
"MIOC",37
"MIOC",40
"PELE",14
"MIOC",31
"MIOC",35
"MIOC",37
"MIOC",36
"NEFL",138
"MIOC",30
"NEFL",202
"PEMA",20
"SIHI",94
"SIHI",82
"PELE",32
"PELE",22
"MIOC",29
"MIOC",34
"MIOC",34
"MIOC",29
"PELE",27
"SIHI",93
"PELE",36
"PELE",35
"MIOC",32
"MIOC",49
"MIOC",38
"MIOC",30
"MIOC",38
"MIOC",44
"NEFL",156
"PELE",26
"PELE",25
"PEMA",21
"MIOC",36
"SIHI",58
"MIOC",42
"MIOC",40
"MIOC",34
"PELE",34
"MIOC",41
"MIOC",42
"PELE",12
"MIOC",37
"PELE",29
"MIOC",31
"MIOC",49
"PEMA",17
"PELE",39
"MIOC",34
"PELE",34
"PELE",35
"PEMA",17
"CHHI",24
"PELE",25
"PELE",26
"MIOC",36
"MIOC",26
"MIOC",32
"PELE",25
"PELE",24
"PELE",33
"PELE",26
"CHHI",60
"PELE",30
"PEMA",18
"PELE",30
"PELE",25
"NEFL",154
"PELE",23
"PELE",30
"PELE",31
"PEMA",19
"PELE",25
"MIOC",39
"MIOC",43
"CHHI",46
"CHHI",15
"PELE",29
"SIHI",112
"PELE",30
"PEMA",18
"PELE",26
"PELE",22
"PELE",30
"PELE",29
"NEFL",202
"PELE",24
"PELE",28
"PELE",26
"SIHI",18
"PELE",26
"SIHI",103
"PELE",25
"PELE",23
"PEMA",27
"PELE",26
"PEMA",25
"PELE",27
"PEMA",26
"PEMA",26
"PEMA",27
"PEMA",27
"PEMA",32
"PEMA",26
"PEMA",30
"PEMA",19
"MIOC",40
"MIOC",39
"PEMA",18
"PEMA",19
"PEMA",25
"REME",9
"PELE",27
"MIOC",32
"REME",11
"MIOC",44
"MIOC",22
"REME",11
"MIOC",53
"REME",12
"MIOC",54
"PEMA",17
"SIHI",72
"MIOC",41
"MIOC",53
"PEMA",17
"MIOC",22
"MIOC",40
"PEMA",18
"MIOC",44
"MIOC",12
"MIOC",12
"PEMA",18
"MIOC",19
"PEMA",18
"PEMA",19
"MIOC",32
