"taxonID","weight"
"MUMU",14
"MUMU",19
"MUMU",16
"MUMU",16
"MUMU",15
"MUMU",17
"MUMU",14
"MUMU",15
"MUMU",16
"MUMU",14
"MUMU",15
"MUMU",20
"MUMU",15
"MUMU",20
"MUMU",5
"MUMU",23
"MUMU",15
"MUMU",20
"MUMU",13
"MUMU",13
"MUMU",15
"MUMU",20
"MUMU",10
"MUMU",13
"MUMU",20
"RARA",25
"MUMU",15
"MUMU",14
"MUMU",18
"MUMU",11
"MUMU",10
"MUMU",14
"MUMU",10
"MUMU",8
"MUMU",12
"MUMU",9
"MUMU",11
"MUMU",12
"MUMU",11
"MUMU",12
"MUMU",7
"MUMU",14
"MUMU",12
"MUMU",12
"MUMU",7
"MUMU",13
"MUMU",9
"MUMU",9
"MUMU",12
"MUMU",7
"MUMU",11
"MUMU",12
"MUMU",10
"MUMU",15
"MUMU",15
"MUMU",10
"MUMU",8
"MUMU",7
"MUMU",12
"MUMU",7
"MUMU",11
"MUMU",23
"MUMU",9
"MUMU",9
"MUMU",10
"MUMU",12
"MUMU",12
"MUMU",10
"MUMU",6
"MUMU",12
"MUMU",12
"MUMU",17
"MUMU",14
"MUMU",18
"MUMU",14
"MUMU",13
"MUMU",14
"MUMU",13
"MUMU",16
"MUMU",9
"MUMU",13
"MUMU",11
"MUMU",16
"MUMU",9
"MUMU",14
"MUMU",15
"RARA",60
"MUMU",10
"MUMU",14
"MUMU",12
"MUMU",16
"MUMU",17
"MUMU",12
"RARA",14
"MUMU",17
"MUMU",11
"MUMU",10
"MUMU",16
"RARA",11
"MUMU",12
"MUMU",14
"MUMU",12
"MUMU",8
"MUMU",6
"MUMU",16
"MUMU",10
"MUMU",16
"RARA",130
"MUMU",12
"MUMU",12
"MUMU",6
"MUMU",12
"MUMU",9
"MUMU",5
"RARA",11
"MUMU",16
"MUMU",15
"MUMU",7
"MUMU",21
"MUMU",15
"MUMU",13
"MUMU",16
"MUMU",15
"MUMU",14
"MUMU",9
"MUMU",8
"MUMU",13
"MUMU",13
"MUMU",14
"MUMU",13
"MUMU",13
"MUMU",6
"RARA",130
"MUMU",8
"MUMU",13
"MUMU",8
"MUMU",9
"RARA",92
"MUMU",12
"MUMU",16
"MUMU",10
"MUMU",8
"MUMU",17
"MUMU",14
"MUMU",16
"MUMU",8
"MUMU",14
"MUMU",5
"MUMU",14
"MUMU",15
"RARA",12
"RARA",12
"MUMU",15
"MUMU",15
"MUMU",13
"MUMU",10
"MUMU",13
"MUMU",14
"RARA",13
"MUMU",24
"MUMU",17
"MUMU",14
"MUMU",18
"MUMU",13
"MUMU",11
"RARA",65
"MUMU",17
"MUMU",10
"MUMU",6
"MUMU",4
"MUMU",15
"MUMU",11
"MUMU",9
"MUMU",4
"MUMU",12
"MUMU",4
"MUMU",15
"MUMU",17
"MUMU",11
"MUMU",11
"MUMU",24
"MUMU",9
"MUMU",5
"MUMU",10
"MUMU",6
"MUMU",130
"MUMU",8
"MUMU",9
"MUMU",11
"MUMU",10
"MUMU",10
"MUMU",10
"MUMU",19
"MUMU",6
"MUMU",11
"MUMU",7
"MUMU",13
"MUMU",60
"MUMU",7
"MUMU",16
"MUMU",12
"MUMU",13
"MUMU",11
"MUMU",14
"MUMU",3
"MUMU",11
"MUMU",12
"MUMU",11
"MUMU",10
"MUMU",15
"MUMU",13
"MUMU",10
"MUMU",20
"MUMU",15
"MUMU",15
"MUMU",17
"MUMU",11
"MUMU",11
"MUMU",14
"MUMU",18
"MUMU",17
"MUMU",10
"MUMU",7
"MUMU",16
"MUMU",18
"MUMU",15
"MUMU",12
"MUMU",7
"MUMU",18
"MUMU",21
"MUMU",16
"MUMU",11
"MUMU",12
"MUMU",12
"MUMU",17
"MUMU",13
"MUMU",7
"MUMU",14
"MUMU",11
"MUMU",16
"MUMU",1
"MUMU",12
"MUMU",10
"MUMU",10
"MUMU",12
"MUMU",18
"MUMU",11
"MUMU",12
"MUMU",13
"MUMU",16
"MUMU",11
"MUMU",10
"MUMU",11
"MUMU",13
"MUMU",15
"MUMU",7
"MUMU",13
"MUMU",8
"MUMU",20
"MUMU",19
"MUMU",14
"MUMU",13
"MUMU",14
"MUMU",12
"MUMU",7
"MUMU",21
"MUMU",11
"MUMU",15
"MUMU",16
"MUMU",13
"MUMU",15
"MUMU",10
"MUMU",11
"MUMU",13
"RARA",131
"MUMU",10
"MUMU",17
"MUMU",14
"MUMU",10
"MUMU",12
"MUMU",18
"MUMU",17
"MUMU",14
"MUMU",11
"MUMU",13
"MUMU",12
"MUMU",12
"MUMU",17
"MUMU",14
"MUMU",12
"MUMU",16
"MUMU",11
"MUMU",12
"MUMU",11
"MUMU",11
"MUMU",12
"MUMU",15
"MUMU",14
"MUMU",17
"MUMU",15
"MUMU",11
"MUMU",12
"MUMU",9
"MUMU",7
"MUMU",11
"MUMU",13
"MUMU",10
"RARA",100
"MUMU",15
"MUMU",15
"MUMU",18
"MUMU",11
"MUMU",16
"MUMU",23
"MUMU",9
"MUMU",14
"MUMU",10
"MUMU",16
"MUMU",16
"MUMU",10
"MUMU",12
"MUMU",21
"MUMU",18
"MUMU",12
"MUMU",13
"MUMU",13
"MUMU",16
"MUMU",8
"MUMU",11
"MUMU",10
"MUMU",11
"MUMU",15
"MUMU",6
"MUMU",14
"MUMU",8
"MUMU",10
"MUMU",16
"MUMU",15
"MUMU",15
"MUMU",14
"MUMU",13
"MUMU",12
"MUMU",9
"MUMU",10
"MUMU",14
"MUMU",16
"MUMU",17
"MUMU",14
"MUMU",20
"MUMU",5
"MUMU",7
"MUMU",8
"MUMU",13
"MUMU",8
"MUMU",5
"MUMU",6
"MUMU",7
"MUMU",13
"MUMU",11
"RARA",100
"MUMU",13
"MUMU",15
"MUMU",15
"MUMU",15
"MUMU",11
"MUMU",10
"MUMU",15
"MUMU",11
"MUMU",15
"MUMU",14
"MUMU",12
"RARA",141
"RARA",30
"MUMU",7
"MUMU",10
"MUMU",17
"MUMU",13
"MUMU",16
"MUMU",16
"MUMU",11
"MUMU",7
"RARA",120
"RARA",40
"MUMU",15
"MUMU",11
"MUMU",11
"MUMU",15
"MUMU",11
"MUMU",11
"MUMU",11
"MUMU",13
"MUMU",13
"MUMU",9
"MUMU",13
"MUMU",18
"MUMU",13
"MUMU",15
"MUMU",16
"MUMU",15
"MUMU",13
"MUMU",15
"MUMU",13
"MUMU",13
"MUMU",8
"MUMU",17
"MUMU",9
"MUMU",12
"MUMU",11
"MUMU",6
"MUMU",8
"MUMU",13
"MUMU",15
"MUMU",13
"MUMU",8
"MUMU",15
"MUMU",8
"MUMU",14
"MUMU",8
"MUMU",15
"MUMU",16
"MUMU",15
"MUMU",13
"MUMU",12
"MUMU",17
"MUMU",16
"MUMU",12
"MUMU",17
"MUMU",14
"RARA",40
"MUMU",13
"MUMU",13
"MUMU",14
"MUMU",10
"MUMU",11
"MUMU",11
"MUMU",9
"RARA",35
"RARA",180
"MUMU",18
"MUMU",13
"MUMU",15
