"taxonID","weight"
"PEGO",30
"PEGO",21
"PEGO",24
"PEGO",27
"PEGO",33
"PEGO",21
"PEGO",25
"PEGO",23
"PEGO",32
"PEGO",24
"PEGO",27
"SIHI",66
"PEGO",24
"PEGO",28
"PEGO",20
"PEGO",24
"PEGO",25
"PEGO",26
"PEGO",34
"PEGO",29
"PEGO",27
"PEGO",28
"PEGO",35
"PEGO",33
"SIHI",86
"PEGO",23
"PEGO",23
"PEGO",23
"PEGO",26
"PEGO",26
"PEGO",34
"PEGO",35
"SIHI",29
"PEGO",38
"PEGO",27
"PEGO",32
"PEGO",34
"PEGO",27
"PEGO",30
"PEGO",26
"PEGO",26
"PEGO",26
"PEGO",33
"PEGO",30
"PEGO",28
"PEGO",35
"SIHI",30
"PEGO",30
"PEGO",31
"PEGO",23
"PEGO",21
"PEGO",30
"PEGO",31
"PEGO",30
"PEGO",24
"SIHI",81
"SIHI",33
"PEGO",27
"PEGO",35
"PEGO",26
"PEGO",31
"PEGO",24
"PEGO",31
"PEGO",33
"PEGO",25
"PEGO",31
"PEGO",40
"PEGO",24
"PEGO",31
"PEGO",30
"PEGO",31
"PEGO",27
"SIHI",44
"PEGO",22
"PEGO",27
"PEGO",29
"PEGO",30
"PEGO",30
"PEGO",30
"PEGO",36
"PEGO",35
"NEFL",175
"PEGO",31
"PEGO",34
"SIHI",7
"PEGO",33
"PEGO",35
"PEGO",37
"PEGO",34
"PEGO",35
"PEGO",29
"PEGO",32
"PEGO",26
"PEGO",28
"PEGO",34
"PELE",26
"PEGO",36
"PEGO",31
"PEGO",30
"PEGO",33
"PEGO",37
"PELE",37
"PEGO",28
"PEGO",25
"PEGO",33
"PEGO",35
"PEGO",39
"PEGO",35
"PEGO",31
"PEGO",35
"PEGO",31
"PEGO",36
"PEGO",34
"PEGO",34
"PEGO",32
"PEGO",32
"PEGO",34
"PEGO",35
"PEGO",33
"PEGO",29
"PEGO",43
"PEGO",26
"PEGO",47
"PEGO",33
"PEGO",27
"PEGO",28
"PEGO",34
"PEGO",31
"PEGO",28
"ORPA",52
"PEGO",36
"PEGO",28
"PEGO",25
"PEGO",27
"PEGO",34
"PEGO",31
"PEGO",35
"PEGO",35
"ORPA",78
"PEGO",31
"PEGO",32
"ORPA",67
"PEGO",31
"PEGO",31
"PEGO",27
"PEGO",16
"PEGO",32
"ORPA",52
"ORPA",50
"ORPA",47
"PEGO",33
"PEGO",30
"PEGO",32
"ORPA",64
"ORPA",49
"PEGO",35
"PEGO",26
"PEGO",33
"PEGO",32
"PEGO",27
"PEGO",32
"PEGO",28
"PEGO",30
"PEGO",29
"PEGO",27
"PEGO",32
"PEGO",29
"PEGO",33
"PEGO",35
"PEGO",31
"PEGO",28
"PEGO",31
"PEGO",26
"PEGO",30
"PEGO",29
"PEGO",31
"PEGO",36
"ORPA",41
"PEGO",22
"NEFL",216
"PEGO",18
"PEGO",37
