"taxonID","weight"
"PEMA",23
"PEMA",28
"PEMA",21
"PELE",17
"PEMA",22
"PEMA",20
"PELE",13
"PEMA",23
"PEMA",16
"PELE",20
"PEMA",26
"PELE",15
"PEMA",26
"PEMA",22
"PEMA",17
"PEMA",15
"PEMA",13
"PELE",36
"PELE",21
"PELE",31
"PELE",26
"PELE",14
"PELE",25
"PEMA",18
"PEMA",21
"PEMA",20
"PEMA",18
"PELE",16
"PELE",31
"PEMA",21
"PEMA",22
"PELE",23
"PEMA",26
"PEMA",29
"PEMA",21
"PEMA",20
"PELE",18
"PEMA",26
"PEMA",22
"PELE",23
"PELE",18
"MIPI",24
"PEMA",23
"PELE",24
"PELE",17
"PEMA",25
"PELE",13
"PEMA",23
"PEMA",22
"PEMA",23
"PEMA",25
"PEMA",23
"PELE",14
"MYGA",16
"PELE",22
"PEMA",17
"PEMA",22
"PEMA",17
"PELE",13
"PELE",25
"PEMA",24
"PEMA",20
"PELE",20
"PEMA",27
"PEMA",23
"PEMA",32
"PELE",35
"PELE",20
"PELE",15
"PELE",25
"PELE",15
"PEMA",23
"PEMA",21
"PEMA",22
"PELE",11
"PELE",36
"PEMA",25
"PELE",24
"PELE",23
"PEMA",15
"PEMA",22
"PELE",22
"PEMA",13
"PEMA",13
"PELE",12
"PEMA",21
"PELE",13
"PEMA",25
"PELE",26
"PEMA",20
"PEMA",20
"PEMA",19
"PEMA",25
"PELE",35
"PEMA",21
"PEMA",20
"PELE",21
"PELE",25
"PELE",25
"PELE",19
"PEMA",23
"PELE",19
"PELE",17
"NAIN",20
"PEMA",16
"PELE",20
"PEMA",16
"PELE",24
"PEMA",20
"PELE",15
"PELE",22
"PELE",20
"PEMA",24
"PELE",24
"PELE",18
"PELE",23
"PELE",23
"PELE",11
"PELE",25
"PELE",19
"PEMA",27
"PELE",22
"PELE",19
"PELE",23
"PEMA",26
"PELE",20
"NAIN",19
"PEMA",27
"PEMA",22
"PELE",21
"PEMA",15
"PEMA",22
"PELE",12
"PEMA",18
"PEMA",29
"PEMA",24
"MYGA",31
"PEMA",26
"PEMA",26
"PEMA",21
"NAIN",19
"PEMA",26
"PELE",8
"PEMA",23
"PEMA",25
"PEMA",27
"PELE",11
"PEMA",27
"PEMA",19
"PEMA",22
"PEMA",23
"PEMA",22
"PEMA",23
"PEMA",19
"PEMA",17
"PEMA",22
"PEMA",23
"PELE",22
"PEMA",19
"PEMA",24
"PEMA",27
"PEMA",26
"PELE",21
"PELE",25
"PEMA",12
"PEMA",24
"PEMA",22
"PEMA",20
"PEMA",18
"NAIN",20
"NAIN",21
"PEMA",21
"NAIN",19
"PELE",20
"PEMA",24
"PEMA",26
"MYGA",29
"PEMA",17
"PEMA",23
"PELE",23
"PEMA",20
"PEMA",29
"PEMA",26
"PEMA",23
"PEMA",23
"PEMA",24
"PEMA",33
"PEMA",28
"PEMA",16
"NAIN",20
"PEMA",27
"PEMA",18
"PEMA",23
"NAIN",17
"PEMA",22
"PEMA",30
"ZAHU",21
"PEMA",28
"PEMA",26
"PEMA",23
"PEMA",24
"PELE",26
"PELE",16
"PELE",19
"PELE",21
"PEMA",24
"MYGA",36
"PEMA",19
"NAIN",16
"NAIN",19
"PEMA",26
"PELE",9
"PEMA",21
"PEMA",29
"PEMA",23
"PELE",9
"PELE",23
"PEMA",24
"PEMA",29
"PEMA",18
"PEMA",21
"PEMA",14
"PELE",11
"PELE",16
"PEMA",19
"PEMA",23
"PELE",19
"PEMA",18
"PELE",23
"PELE",21
"PELE",19
"MYGA",33
"PEMA",22
"PEMA",23
"PELE",23
"PEMA",22
"PELE",23
"PEMA",17
"PEMA",16
"PELE",19
"PELE",22
"PELE",22
"PELE",22
"PELE",25
"PEMA",21
"PELE",20
"PELE",20
"PELE",23
"PELE",19
"PEMA",16
"PELE",19
"PELE",24
"PELE",17
"PEMA",17
"PELE",20
"PEMA",17
"PELE",11
"PELE",19
"NAIN",19
"PEMA",14
"NAIN",21
"NAIN",16
"PEMA",29
"PEMA",24
"PELE",10
"PEMA",24
"PEMA",18
"PELE",21
"PEMA",21
"PEMA",23
"MYGA",33
"PELE",15
"PEMA",13
"PEMA",13
"PEMA",19
"PEMA",22
"PEMA",15
"PELE",22
"PELE",18
"PEMA",26
"PELE",22
"PEMA",21
"PEMA",24
"PEMA",25
"PEMA",27
"PEMA",21
"PEMA",21
"PEMA",21
"PEMA",22
"PEMA",23
"PEMA",17
"PEMA",26
"PELE",16
"PELE",20
"PEMA",19
"PEMA",20
"PELE",18
"PELE",19
"PEMA",21
"PELE",25
"PELE",20
"PELE",19
"PELE",23
"PELE",11
"PELE",19
"PEMA",15
"PEMA",13
"PEMA",18
"PELE",19
"PEMA",20
"PEMA",17
"PEMA",19
"PEMA",22
"PELE",19
"PELE",23
"PEMA",22
"PELE",20
"PEMA",25
"PEMA",21
"PEMA",19
"PELE",19
"PELE",19
"PEMA",17
"PEMA",14
"NAIN",21
"PELE",14
"PEMA",21
"PEMA",23
"PELE",14
"PEMA",23
"NAIN",15
"NAIN",16
"PEMA",13
"PEMA",21
"PELE",23
"PELE",21
"PEMA",15
"PEMA",22
"PEMA",20
"PELE",13
"PEMA",23
"PEMA",24
"PELE",20
"NAIN",16
"NAIN",14
"PEMA",19
"PELE",14
"PELE",22
"PEMA",22
"PELE",20
"PELE",21
"PEMA",18
"PELE",17
"PELE",19
"PELE",11
"PELE",19
"PELE",16
"PELE",20
"PELE",22
"PELE",15
"PELE",15
"PELE",24
"PEMA",20
"PELE",22
"MYGA",33
"PELE",23
"PELE",18
"PELE",20
"PEMA",21
"PEMA",22
"NAIN",15
"NAIN",18
"PEMA",22
"PEMA",24
"PEMA",20
"PELE",20
"PELE",27
"PELE",26
"PEMA",14
"PEMA",15
"PELE",22
"PEMA",20
"PELE",17
"PEMA",26
"PELE",14
"PEMA",17
"NAIN",16
"PEMA",15
"PEMA",21
"PELE",22
"PELE",21
"ZAHU",18
"PEMA",21
"PELE",16
"PELE",21
"PEMA",21
"PELE",22
"PEMA",23
"PEMA",20
"PEMA",19
"PEMA",23
"PEMA",30
"PELE",19
"PELE",24
"PELE",22
"PELE",19
"PELE",24
"PEMA",20
"PEMA",20
"PEMA",20
"MYGA",32
"PELE",18
"PEMA",20
"PELE",16
"PEMA",20
"PELE",20
"PELE",20
"PELE",27
"PELE",13
"PELE",17
"PEMA",20
"MYGA",36
"PEMA",19
"PELE",25
"PELE",28
"PEMA",21
"PELE",24
"PELE",26
"PEMA",23
"PEMA",20
"PEMA",21
"PELE",21
"MYGA",30
"MYGA",37
"PELE",20
"PELE",22
"PELE",14
"PEMA",25
"PEMA",15
"PEMA",19
"PEMA",18
"PELE",15
"PELE",16
"NAIN",20
"NAIN",17
"PELE",10
"PELE",24
"PELE",18
"PEMA",19
"PELE",27
"PEMA",27
"PEMA",25
"PEMA",21
"PELE",25
"PELE",18
"PEMA",20
"PEMA",20
"NAIN",18
"PEMA",13
"PEMA",17
"PELE",15
"PELE",14
"PEMA",14
"PELE",20
"PEMA",17
"PEMA",18
"PELE",25
"MYGA",14
"PEMA",21
"PELE",20
"PELE",20
"PELE",21
"PELE",22
"PELE",18
"PELE",18
"PEMA",22
"PEMA",24
"PEMA",21
"PELE",10
"NAIN",18
"MYGA",33
"PELE",14
"PEMA",15
"PELE",23
"PELE",21
"PELE",28
"MYGA",32
"PEMA",19
"PELE",25
"PELE",28
"PELE",25
"PEMA",20
"MYGA",32
"MYGA",35
"PEMA",20
"PEMA",23
"PELE",26
"PELE",12
"PELE",27
"PELE",9
"PEMA",20
"MYGA",18
"PELE",16
"PEMA",27
"PEMA",20
"PEMA",16
"PELE",24
"MYGA",38
"PEMA",20
"PELE",29
"PELE",17
"ZAHU",16
"PELE",24
"NAIN",20
"PELE",18
"PEMA",18
"PELE",14
"PEMA",19
"NAIN",17
"PEMA",24
"PEMA",15
"PEMA",18
"PELE",24
"PELE",24
"PELE",28
"PEMA",15
"PELE",28
"PELE",25
"PEMA",23
"PEMA",27
"PEMA",15
"PEMA",17
"PEMA",18
"MYGA",20
"MYGA",20
"PELE",23
"PELE",23
"PELE",23
"PELE",21
"PELE",18
"PELE",23
"PEMA",21
"PELE",19
"PELE",21
"PELE",23
"PEMA",21
"PELE",19
"PELE",20
"PEMA",16
"PEMA",20
"PELE",22
"PELE",23
"PELE",20
"PELE",14
"PEMA",15
"PELE",20
"PELE",23
"PELE",19
"PELE",23
"PEMA",22
"PEMA",20
"MYGA",35
"PEMA",23
"MYGA",35
"PEMA",18
"PELE",21
"PELE",19
"PELE",20
"PELE",20
"PEMA",25
"PEMA",23
"PEMA",29
"PEMA",31
"PELE",12
"PELE",19
"PELE",23
"PELE",18
"PELE",22
"PELE",24
"PELE",19
"PELE",24
"PEMA",27
"PEMA",17
"PELE",16
"PEMA",13
"PELE",21
"PELE",13
"MYGA",38
"PEMA",19
"PELE",21
"PELE",14
"PEMA",18
"PELE",19
"MYGA",30
"PEMA",15
"PEMA",28
"PEMA",22
"PEMA",26
"PELE",19
"PEMA",22
"PELE",22
"PELE",18
"PELE",16
"PELE",25
"PEMA",14
"NAIN",17
"PEMA",18
"PEMA",14
"PEMA",13
"PELE",21
"PELE",14
"PELE",20
"PELE",21
"PELE",13
"PEMA",13
"PEMA",22
"PELE",20
"PELE",18
"PEMA",26
"PELE",23
"PELE",23
"MYGA",20
"MYGA",30
"MYGA",20
"NAIN",15
"PEMA",21
"MYGA",20
"PELE",20
"PEMA",24
"PEMA",19
"PEMA",18
"PEMA",29
"PELE",25
"PELE",23
"PEMA",29
"PELE",24
"MYGA",38
"PEMA",21
"PEMA",20
"PEMA",20
"PEMA",20
"PELE",20
"PELE",20
"PELE",28
"PEMA",26
"PEMA",24
"PELE",23
"PEMA",27
"PELE",24
"PELE",21
"MIPI",27
"PELE",21
"PEMA",31
"PEMA",20
"PELE",26
"PEMA",21
"PELE",24
"PEMA",21
"PELE",25
"PEMA",22
"MYGA",27
"PEMA",20
"PEMA",21
"PELE",15
"PEMA",15
"PEMA",20
"PELE",15
"PEMA",17
"MYGA",28
"PEMA",20
"PEMA",15
"PELE",16
"PEMA",24
"PEMA",13
"PELE",20
"PEMA",25
"PEMA",27
"PEMA",30
"PELE",23
"PELE",20
"PEMA",14
"PEMA",17
"PEMA",10
"PEMA",18
"PELE",20
"PEMA",18
"PEMA",13
"NAIN",11
"PELE",26
"PELE",22
"PEMA",28
"PEMA",27
"PEMA",17
"PELE",20
"PEMA",14
"PELE",15
"PEMA",25
"PEMA",24
"PELE",16
"PELE",14
"PELE",15
"PELE",18
"PEMA",17
"PELE",22
"PELE",15
"PEMA",19
"PEMA",19
"PELE",18
"PEMA",28
"MYGA",35
"PELE",23
"PEMA",20
"PEMA",16
"PEMA",19
"PEMA",15
"PEMA",16
"PEMA",13
"MYGA",24
"PELE",13
"PEMA",24
"PEMA",21
"PELE",24
"PELE",16
"PEMA",30
"PEMA",22
"PELE",23
"PELE",23
"PEMA",27
"PELE",18
"PELE",23
"PELE",18
"PEMA",22
"PELE",21
"PELE",19
"PELE",22
"PEMA",20
"PEMA",19
"PEMA",25
"PELE",22
"PELE",25
"PELE",19
"MIPI",33
"MIPI",26
"PELE",27
"PEMA",19
"PELE",27
"PEMA",20
"PEMA",21
