"taxonID","weight"
"DIOR",75
"DIOR",72
"DIOR",79
"PEFA",13
"DIOR",75
"DIOR",72
"DIOR",70
"DIOR",65
"DIOR",55
"DIOR",78
"DIOR",74
"DIOR",70
"DIOR",72
"DIOR",56
"DIOR",78
"DIOR",43
"DIOR",76
"DIOR",71
"DIOR",76
"ONLE",45
"DIOR",76
"DIOR",72
"DIOR",85
"ONLE",35
"DIOR",79
"DIOR",75
"DIOR",45
"ONLE",45
"ONLE",35
"DIOR",85
"DIOR",76
"DIOR",45
"DIOR",78
"PETR",36
"DIOR",75
"PEFV",10
"PETR",20
"PEMA",24
"PETR",25
"DIOR",45
"DIOR",80
"REME",13
"REME",12
"PEMA",25
"DIOR",76
"NEME",211
"PEMA",20
"PETR",27
"DIOR",70
"NEAL",180
"PEMA",14
"NEAL",123
"DIOR",75
"DIOR",80
"DIOR",68
"DIOR",75
"DIOR",79
"DIOR",65
"DIOR",76
"DIOR",53
"DIOR",63
"DIOR",75
"DIOR",62
"DIOR",75
"DIOR",65
"DIOR",65
"PEFV",12
"DIOR",55
"PEFV",14
"DIOR",71
"DIOR",84
"DIOR",56
"DIOR",78
"DIOR",50
"DIOR",50
"DIOR",81
"DIOR",46
"DIOR",68
"NEAL",181
"DIOR",69
"NEAL",80
"PEMA",16
"NEME",125
"PEMA",22
"DIOR",74
"DIOR",52
"ONLE",16
"DIOR",62
"PETR",19
"PETR",25
"DIOR",79
"NEAL",90
"PETR",26
"DIOR",60
"DIOR",76
"DIOR",70
"DIOR",75
"DIOR",65
"DIOR",69
"DIOR",66
"DIOR",71
"DIOR",67
"DIOR",75
"DIOR",69
"DIOR",72
"DIOR",75
"DIOR",79
"DIOR",70
"NEME",130
"NEME",110
"NEAL",80
"NEAL",85
"NEME",85
"PETR",27
"PEMA",15
"PEMA",21
"DIOR",58
"DIOR",67
"PEMA",14
"PEMA",17
"DIOR",68
"DIOR",73
"DIOR",74
"DIOR",69
"DIOR",64
"DIOR",70
"DIOR",75
"DIOR",72
"DIOR",73
"PEMA",22
"ONLE",64
"DIOR",76
"PEMA",20
"PETR",10
"PEMA",10
"PETR",24
"PEMA",22
"PETR",23
"PETR",28
"PEMA",26
"PEMA",20
"PETR",23
"PETR",26
"PETR",20
"PETR",28
"PEMA",19
"DIOR",70
"PEMA",13
"DIOR",73
"DIOR",70
"DIOR",71
"PEMA",13
"DIOR",75
"DIOR",66
"PEMA",16
"PEMA",19
"DIOR",69
"DIOR",58
"DIOR",60
"DIOR",69
"ONLE",52
"DIOR",75
"ONLE",60
"PEMA",22
"DIOR",70
"DIOR",65
"PETR",17
"PETR",25
"PETR",23
"PEMA",22
"PETR",25
"PEMA",17
"PEMA",19
"PETR",23
"PEMA",24
"PETR",24
"PETR",17
"PETR",24
"PEMA",24
"PETR",25
"PETR",26
"DIOR",68
"PEMA",17
"ONLE",47
"PEMA",14
"PEMA",19
"DIOR",61
"DIOR",63
"PEMA",15
"DIOR",71
"DIOR",68
"DIOR",73
"DIOR",70
"DIOR",71
"DIOR",58
"PEMA",14
"DIOR",70
"PEMA",17
"PEMA",15
"PEMA",20
"PEMA",20
"ONLE",48
"DIOR",59
"DIOR",73
"DIOR",69
"PEMA",9
"PEMA",10
"PEMA",10
"DIOR",87
"DIOR",76
"DIOR",69
"PEMA",20
"PEMA",27
"DIOR",80
"DIOR",78
"DIOR",71
"DIOR",81
"PEMA",19
"DIOR",77
"DIOR",71
"DIOR",81
"DIOR",66
"DIOR",77
"DIOR",80
"DIOR",64
"DIOR",80
"DIOR",71
"DIOR",73
"DIOR",72
"DIOR",80
"DIOR",65
"DIOR",75
"DIOR",74
"DIOR",78
"DIOR",70
"DIOR",79
"DIOR",84
"DIOR",70
"DIOR",63
"DIOR",63
"DIOR",83
"DIOR",70
"DIOR",74
"PEMA",20
"ONLE",45
"DIOR",72
"DIOR",76
"PEMA",20
"DIOR",75
"PEMA",21
"DIOR",71
"DIOR",72
"PETR",16
"PETR",28
"PETR",18
"PETR",14
"PETR",16
"PETR",18
"PETR",16
"PETR",18
"PETR",19
"PETR",21
"PEMA",20
"NEAL",175
"PETR",21
"DIOR",74
"PEMA",23
"DIOR",77
"DIOR",49
"PEMA",15
"PEMA",16
"PEMA",17
"PETR",24
"PEMA",14
"PETR",25
"PETR",16
"DIOR",79
"DIOR",65
"PETR",21
"DIOR",75
"PEMA",23
"DIOR",74
"DIOR",75
"PETR",23
"PETR",17
"PEMA",11
"PETR",17
"PETR",19
"PETR",17
"PETR",33
"PEMA",20
"DIOR",59
"DIOR",47
"DIOR",63
"PETR",18
"PETR",22
"DIOR",72
"DIOR",51
"DIOR",72
"DIOR",65
"DIOR",72
"DIOR",78
"PETR",29
"PETR",18
"PETR",24
"PETR",12
"PEMA",20
"PETR",12
"PETR",15
"PEMA",18
"PEMA",19
"PETR",23
"PEMA",19
"PETR",11
"PETR",18
"PETR",23
"PEMA",15
"PEMA",17
"PETR",17
"PEMA",22
"NEAL",165
"PEMA",21
"PETR",15
"PEMA",19
"PETR",16
"PEMA",23
"PETR",16
"PETR",17
"PETR",22
"PEMA",16
"PETR",17
"PETR",17
"PETR",20
"PEMA",18
"PEMA",17
"PETR",31
"PETR",19
"PETR",21
"PETR",28
"PEMA",14
"PETR",18
"PETR",18
"PETR",18
"PETR",19
"DIOR",77
"DIOR",57
"DIOR",61
"PETR",18
"DIOR",72
"DIOR",64
"DIOR",70
"DIOR",74
"DIOR",46
"DIOR",70
"PETR",10
"PETR",16
"PEMA",14
"PETR",22
"PETR",23
"PETR",20
"PEMA",20
"PEMA",14
"PETR",18
"PETR",18
"PEMA",15
"PETR",16
"PETR",15
"PEMA",12
"PETR",16
"PETR",28
"PETR",21
"PEMA",18
"PEMA",17
