"taxonID","weight"
"PEMA",16
"PEMA",16
"PEMA",13
"PEMA",16
"PEMA",26
"PEMA",19
"PEMA",15
"PEMA",24
"PEMA",17
"PEMA",14
"PEMA",21
"PEMA",17
"PEMA",18
"PEMA",19
"PEMA",20
"PEMA",17
"PEMA",19
"PEMA",17
"PEMA",17
"PEMA",16
"PEMA",16
"PEMA",17
"PEMA",16
"PEMA",16
"PEMA",22
"PEMA",15
"PEMA",17
"PEMA",20
"PEMA",15
"PEMA",21
"PEMA",19
"PEMA",15
"PEMA",15
"PEMA",15
"PEMA",17
"PEMA",15
"PEMA",16
"PEMA",16
"PEMA",16
"PEMA",15
"PEMA",15
"PEMA",22
"MYGA",22
"PEMA",14
"PEMA",18
"MYGA",21
"PEMA",19
"PEMA",16
"PEMA",19
"PEMA",22
"PEMA",13
"PEMA",16
"PEMA",17
"PEMA",26
"MYGA",31
"MYGA",19
"PEMA",18
"PEMA",16
"PEMA",18
"PEMA",23
"PEMA",17
"PEMA",16
"PEMA",18
"PEMA",16
"PEMA",15
"PEMA",15
"PEMA",16
"PEMA",19
"ZAPR",24
"PEMA",18
"PEMA",20
"PEMA",17
"PEMA",24
"PEMA",23
"PEMA",17
"PEMA",18
"PEMA",12
"PEMA",17
"PEMA",17
"PEMA",19
"PEMA",16
"PEMA",14
"PEMA",16
"PEMA",17
"PEMA",20
"PEMA",17
"PEMA",17
"PEMA",15
"PEMA",22
"PEMA",21
"PEMA",18
"PEMA",16
"PEMA",17
"MYGA",24
"PEMA",20
"PHIN",30
"MYGA",24
"PEMA",20
"PEMA",19
"PEMA",22
"MYGA",26
"PEMA",17
"PEMA",21
"PEMA",18
"MIMO",33
"PEMA",13
"PEMA",17
"PEMA",21
"PEMA",25
"PEMA",20
"PEMA",17
"PEMA",21
"PEMA",30
"MIMO",12
"PEMA",22
"PEMA",14
"PEMA",20
"PEMA",17
"PEMA",18
"PEMA",15
"PEMA",17
"MYGA",20
"MYGA",13
"PEMA",22
"PEMA",16
"PEMA",14
"PEMA",18
"PEMA",17
"PEMA",25
"PEMA",17
"PEMA",19
"PEMA",17
"PEMA",18
"PEMA",18
"PEMA",17
"PEMA",21
"PEMA",18
"PEMA",21
"PEMA",16
"MILO",29
"PEMA",28
"PEMA",24
"PEMA",25
"PEMA",18
"PEMA",20
"PEMA",17
"MYGA",20
"PEMA",17
"PEMA",14
