"taxonID","weight"
"PEMA",20
"PEMA",18
"PEMA",20
"PEMA",22
"PEMA",10
"MIPE",17
"MIPE",14
"PEMA",10
"MIPE",14
"MIPE",17
"PEMA",20
"PEMA",18
"PEMA",20
"PEMA",22
"PEMA",20
"PEMA",24
"PEMA",13
"PEMA",18
"PEMA",18
"PEMA",12
"PEMA",20
"PEMA",14
"PEMA",31
"PEMA",29
"PEMA",27
"PEMA",23
"PEMA",23
"PEMA",19
"PEMA",25
"PEMA",24
"MIPE",16
"PEMA",27
"PEMA",25
"PEMA",23
"PEMA",24
"PEMA",23
"PEMA",31
"PEMA",14
"PEMA",29
"PEMA",27
"PEMA",19
"PEMA",18
"PEMA",24
"PEMA",12
"PEMA",20
"PEMA",20
"PEMA",13
"PEMA",18
"PEMA",27
"MIPE",16
"PEMA",17
"PEMA",23
"PEMA",12
"PEMA",13
"PEMA",19
"REME",13
"PEMA",24
"PEMA",15
"PEMA",28
"REME",13
"REME",8
"REME",9
"PEMA",20
"PEMA",17
"PEMA",28
"PEMA",23
"PEMA",16
"PEMA",12
"PEMA",17
"PEMA",16
"PEMA",17
"PEMA",19
"PEMA",28
"PEMA",23
"REME",8
"PEMA",15
"PEMA",20
"PEMA",24
"PEMA",13
"REME",9
"PEMA",23
"PEMA",28
"REME",9
"REME",8
"PEMA",20
"PEMA",19
"PEMA",20
"PEMA",30
"PEMA",26
"PEMA",22
"PEMA",21
"PEMA",23
"PEMA",24
"PEMA",22
"PEMA",16
"PEMA",12
"PEMA",33
"PEMA",11
"PEMA",23
"ZAHU",19
"PEMA",24
"PEMA",21
"PEMA",15
"PEMA",22
"PEMA",10
"PEMA",17
"REME",7
"REME",8
"ZAPR",18
"REME",7
"MIPE",33
"PEMA",17
"REME",12
"MIPE",28
"PEMA",11
"PEMA",18
"PEMA",21
"PEMA",18
"PEMA",17
"PEMA",24
"PEMA",18
"PEMA",16
"PEMA",20
"PEMA",17
"PEMA",18
"PEMA",21
"PEMA",16
"REME",7
"PEMA",26
"REME",14
"PEMA",18
"PEMA",17
"PEMA",17
"PEMA",16
"PEMA",19
"PEMA",20
"REME",11
"PEMA",18
"PEMA",21
"PEMA",19
"PEMA",19
"PEMA",20
"PEMA",21
"PEMA",25
"REME",16
"PEMA",24
"PEMA",8
"PEMA",19
"PEMA",28
"PEMA",15
"PEMA",25
"PEMA",19
"PEMA",20
"PEMA",16
"PEMA",14
"PEMA",20
"REME",12
"PEMA",19
"PEMA",24
"MIPE",32
"PEMA",28
"PEMA",20
"PEMA",22
"PEMA",25
"PEMA",16
"PEMA",17
"PEMA",22
"PEMA",21
"PEMA",21
"PEMA",23
"PELE",25
"PEMA",23
"PEMA",30
"PEMA",21
"PEMA",16
"PEMA",20
"MIOC",29
"MIPE",28
"MIPE",29
"PEMA",19
"MIPE",40
"PEMA",19
"PEMA",24
"PEMA",22
"MIOC",27
"PEMA",24
"MIPE",29
"MIPE",14
"PEMA",20
"PEMA",20
"PEMA",14
"REME",11
"MIPE",40
"PEMA",21
"PEMA",17
"PEMA",21
"PEMA",20
"PEMA",17
"REME",17
"PEMA",15
"REME",8
"REME",14
"REME",16
"REME",17
"PEMA",24
"REME",14
"REME",16
"REME",8
"REME",15
"REME",9
"MIPE",45
"PEMA",14
"REME",16
"REME",7
"REME",15
"REME",14
"REME",15
"REME",17
"PEMA",26
"PEMA",14
"MIPE",13
"MIPE",10
"PEMA",18
"PEMA",22
"MIPE",15
"PEMA",17
"MIPE",14
"MIPE",35
"PEMA",16
"PEMA",22
"MIPE",23
"MIPE",28
"MIPE",40
"MIPE",29
"MIPE",25
"MIPE",26
"PEMA",26
"PEMA",23
"PEMA",15
"PEMA",16
"MIPE",25
"MIPE",20
"PEMA",15
"MIPE",18
