"taxonID","weight"
"ONLE",38
"CHHI",56
"CHHI",47
"ONLE",40
"PEFL",9
"ONLE",47
"PEMA",15
"ONLE",43
"PEFL",6
"CHHI",35
"PEMA",18
"PEFL",7
"CHHI",45
"CHHI",41
"ONLE",38
"CHHI",49
"PEMA",19
"PEMA",17
"CHHI",41
"PEFV",9
"ONLE",41
"ONLE",43
"PEMA",24
"CHHI",59
"CHHI",42
"ONLE",36
"ONLE",42
"ONLE",41
"CHHI",56
"ONLE",33
"PEMA",18
"PEMA",18
"PEMA",16
"MIOC",37
"PEMA",15
"PEMA",14
"PEMA",15
"PEMA",17
"ONLE",37
"PEMA",19
"ONLE",43
"ONLE",40
"ONLE",35
"ONLE",20
"ONLE",37
"ONLE",32
"PEMA",27
"PEMA",13
"PEMA",13
"PEMA",13
"ONLE",25
"CHHI",40
"ONLE",39
"PELE",11
"PEFL",8
"ONLE",38
"PEMA",16
"CHHI",34
"PEMA",19
"PELE",18
"ONLE",42
"ONLE",45
"CHHI",48
"PEMA",13
"PEMA",17
"CHHI",53
"CHHI",55
"CHHI",42
"ONLE",40
"CHHI",50
"PEMA",20
"ONLE",41
"CHHI",44
"ONLE",44
"ONLE",36
"MIOC",49
"ONLE",35
"CHHI",50
"ONLE",42
"CHHI",40
"ONLE",32
"ONLE",34
"MIOC",25
"ONLE",47
"MIOC",19
"ONLE",50
"PEMA",22
"PEMA",17
"ONLE",40
"CHHI",31
"ONLE",40
"ONLE",41
"PEMA",19
"ONLE",42
"ONLE",25
"ONLE",43
"ONLE",23
"PEMA",17
"PEMA",18
"ONLE",48
"PEMA",17
"PEMA",18
"PEMA",15
"ONLE",36
"ONLE",39
"PEMA",14
"ONLE",34
"PEMA",21
"CHHI",44
"PEMA",17
"PEMA",18
"ONLE",37
"ONLE",41
"ONLE",41
"ONLE",45
"PEMA",17
"CHHI",48
"ONLE",38
"ONLE",39
"REMO",5
"PEMA",15
"ONLE",26
"ONLE",41
"CHHI",49
"CHHI",28
"CHHI",45
"ONLE",43
"CHHI",58
"ONLE",38
"ONLE",58
"PEFL",8
"ONLE",39
"PEMA",14
"ONLE",37
"ONLE",41
"ONLE",38
"CHHI",25
"PEMA",18
"ONLE",38
"ONLE",42
"REFU",6
"PELE",29
"PEMA",16
"ONLE",33
"ONLE",27
"SIHI",198
"CHHI",48
"CHHI",26
"CHHI",25
"SIHI",160
"MIOC",37
"SIHI",90
"ONLE",44
"PEMA",18
"CHHI",52
"MIOC",42
"ONLE",41
"CHHI",53
"PEMA",19
"CHHI",60
"CHHI",12
"ONLE",40
"ONLE",41
"ONLE",53
"PEMA",17
"SIHI",48
"PEMA",17
"MIOC",40
"PEMA",20
"MIOC",40
"PEMA",13
"CHHI",21
"CHHI",51
"MIOC",40
"ONLE",31
"CHHI",11
"PEMA",16
"CHHI",48
"CHHI",31
"ONLE",45
"ONLE",40
"CHHI",25
"PEFL",6
"ONLE",35
"ONLE",40
"ONLE",43
"ONLE",40
"MIOC",41
"SIHI",151
"PEFL",7
"MIOC",23
"CHHI",57
"ONLE",29
"CHHI",48
"ONLE",20
"PEMA",16
"CHHI",34
"PEMA",19
"PEMA",16
"CHHI",42
"CHHI",41
"PEMA",17
"CHHI",65
"REMO",13
"CHHI",20
"ONLE",40
"ONLE",38
"PELE",32
"ONLE",40
"SIHI",102
"PEMA",16
"ONLE",35
"NEMI",200
"PEFL",8
"PELE",11
"MIOC",45
"MIOC",45
"CHHI",50
"ONLE",31
"CHHI",47
"ONLE",48
"ONLE",34
"SIHI",74
"SIHI",150
"MIOC",41
"ONLE",30
"CHHI",31
"CHHI",43
"PEMA",14
"CHHI",50
"CHHI",50
"PEMA",19
"MIOC",35
"PEMA",16
"MIOC",38
"PEMA",14
"CHHI",17
"PEMA",20
"ONLE",42
"PEMA",17
"PEMA",16
"CHHI",49
"SIHI",50
"SIHI",90
"CHHI",18
"CHHI",60
"CHHI",50
"ONLE",34
"SIHI",110
"PELE",16
"ONLE",30
"ONLE",41
"CHHI",15
"ONLE",38
"CHHI",25
"ONLE",42
"ONLE",40
"ONLE",44
"ONLE",43
"PEMA",18
"ONLE",47
"CHHI",36
"PELE",30
"ONLE",40
"PELE",22
"PEFL",9
"ONLE",35
"SIHI",25
"ONLE",39
"PEMA",19
"ONLE",23
"ONLE",20
"ONLE",25
"CHHI",37
"PEMA",19
"CHHI",35
"CHHI",41
"CHHI",35
"CHHI",36
"CHHI",46
"SIHI",79
"ONLE",35
"SIHI",105
"SIHI",22
"ONLE",33
"SIHI",17
"PEFL",5
"MIOC",40
"ONLE",35
"CHHI",45
"SIHI",160
"ONLE",25
"SIHI",105
"NEMI",250
"PELE",23
"CHHI",44
"SIHI",80
"PELE",27
"ONLE",27
"SIHI",96
"ONLE",36
"SIHI",110
"PEFL",7
"PEFL",6
"CHHI",35
"MIOC",46
"ONLE",37
"CHHI",32
"SIHI",120
"SIHI",70
"SIHI",141
"PEMA",22
"ONLE",33
"PELE",25
"SIHI",58
"PEFL",6
"ONLE",30
"CHHI",19
"CHHI",44
"CHHI",32
"ONLE",37
"ONLE",40
"ONLE",39
"ONLE",35
"CHHI",53
"ONLE",39
"ONLE",23
"PEMA",19
"CHHI",51
"ONLE",38
"ONLE",30
"CHHI",62
"SIHI",55
"CHHI",35
"PEFL",7
"ONLE",26
"ONLE",38
"ONLE",36
"CHHI",33
"ONLE",35
"ONLE",35
"PEFL",6
"ONLE",36
"ONLE",30
"CHHI",50
"SIHI",101
"SIHI",95
"CHHI",47
"CHHI",50
"PEFL",6
"ONLE",39
"ONLE",29
"ONLE",40
"SIHI",120
"CHHI",26
"SIHI",155
"SIHI",135
"CHHI",27
"ONLE",30
"MIOC",4
"CHHI",56
"PEMA",19
"SIHI",140
"ONLE",39
"MIOC",40
"PEFL",6
"ONLE",55
"CHHI",46
"CHHI",45
"CHHI",60
"PEFL",6
"ONLE",42
"ONLE",37
"PEMA",22
"PELE",24
"CHHI",25
"PEMA",19
"SIHI",125
"PEMA",19
"PELE",14
"SIHI",105
"SIHI",35
"SIHI",29
"CHHI",40
"CHHI",39
"CHHI",41
"PEFL",6
"SIHI",35
"SIHI",110
"CHHI",47
"SIHI",120
"PEMA",20
"CHHI",40
"REMO",9
