"taxonID","weight"
"PEPA",24
"PEPA",17
"PEMA",19
"PEMA",15
"PEMA",20
"PEMA",16
"PEMA",14
"PEPA",20
"PEPA",20
"PEPA",17
"PEMA",16
"PEMA",13
"PEMA",13
"PEPA",24
"PEPA",21
"PEMA",21
"PEPA",18
"PEPA",22
"PEPA",25
"PETR",27
"PEPA",22
"PEMA",10
"PEMA",14
"PETR",29
"PEMA",18
"PETR",28
"PEPA",18
"PEMA",15
"PEMA",22
"PEMA",15
"PEMA",18
"PEMA",25
"PEMA",18
"PEMA",28
"PEPA",21
"PEMA",17
"PEPA",26
"PEMA",28
"PEPA",25
"PEMA",12
"PEPA",19
"PEPA",28
"PEMA",10
"PEMA",20
"PEMA",17
"PEMA",14
"PEMA",21
"PEPA",16
"PEMA",18
"PEMA",12
"PEPA",22
"PEPA",37
"PEPA",24
"PEMA",17
"PEPA",20
"PEPA",22
"PEMA",20
"PEMA",19
"PEMA",12
"PEMA",12
"PEMA",13
"PEMA",15
"PEMA",13
"PEMA",22
"PEPA",23
"PEPA",18
"PEMA",22
"PEPA",15
"PEMA",15
"PEMA",20
"PEPA",23
"PEMA",14
"PEMA",15
"PEPA",25
"PEMA",16
"PEPA",19
"PEMA",15
"PEPA",11
"PEPA",27
"PEPA",17
"PEPA",18
"PEMA",23
"PEMA",23
"PEMA",14
"PEPA",20
"PEMA",18
"PEMA",18
"PEPA",20
"PEMA",14
"PEPA",27
"PEPA",37
"PEPA",26
"PEPA",20
"PEMA",17
"PEPA",22
"PEPA",23
"PEPA",18
"PEMA",15
"PEPA",22
"PEPA",21
"PEPA",19
"PEMA",22
"PEMA",16
"PETR",24
"PEPA",21
"PEMA",14
"PEMA",21
"PEMA",18
"PEPA",22
"PEMA",24
"PEMA",16
"PEMA",12
"PEMA",18
"PEPA",16
"PEMA",10
"PEMA",13
"PEMA",15
"PEMA",13
"PEPA",22
"PEMA",17
"PEMA",8
"PEPA",21
"PEPA",20
"PEPA",17
"PEPA",17
"ONLE",27
"PEMA",34
"PEPA",21
"PEMA",13
"PEMA",17
"PEMA",20
"PEPA",23
"PEPA",19
"PEMA",13
"PEMA",17
"PEMA",12
"PEMA",13
"PEPA",17
"PEMA",16
"PEMA",15
"PEMA",14
"PEPA",21
"PEMA",23
"PEMA",25
"PEMA",20
"PEMA",18
"PEMA",22
"PEMA",32
"PEMA",26
"PEMA",23
"PEPA",22
"PEMA",17
"PEMA",25
"PEPA",23
"PEMA",17
"PEMA",16
"PEMA",14
"PEMA",19
"PEMA",29
"PEMA",17
"PEMA",23
"PEMA",18
"PEMA",15
"PEMA",18
"PEMA",16
"PEMA",25
"PEMA",17
"PEMA",18
"PEMA",28
"PEMA",17
"PEMA",15
"PEPA",25
