"taxonID","weight"
"PEMA",11
"PELE",18
"SIHI",135
"SIHI",34
"PELE",18
"PEMA",22
"PELE",24
"SIHI",24
"SIHI",191
"SIHI",111
"SIHI",59
"SIHI",164
"SIHI",111
"SIHI",186
"SIHI",101
"SIHI",110
"SIHI",101
"SIHI",65
"SIHI",66
"SIHI",125
"SIHI",47
"SIHI",140
"SIHI",130
"SIHI",120
"SIHI",50
"SIHI",190
"SIHI",50
"PELE",25
"PEMA",23
"PELE",28
"PEMA",14
"PEMA",27
"PELE",24
"PELE",19
"PELE",22
"PEMA",25
"PEMA",20
"PEMA",21
"PEMA",23
"PELE",23
"PEMA",21
"PELE",25
"PEMA",26
"PELE",22
"PELE",25
"PEMA",20
"PELE",22
"PELE",23
"PELE",23
"PELE",23
"PEMA",24
"PELE",22
"PELE",22
"PELE",25
"PEMA",19
"PELE",16
"SIHI",131
"SIHI",101
"PEMA",22
"PELE",16
"PEMA",25
"PELE",14
"PELE",16
"PELE",19
"PELE",21
"PELE",22
"PEMA",36
"PELE",18
"PELE",23
"PELE",13
"PELE",23
"PELE",18
"PELE",20
"PELE",15
"PELE",16
"PEMA",16
"PEMA",21
"PELE",11
"PEMA",20
"PEMA",18
"PELE",23
"PEMA",22
"PELE",21
"PEMA",14
"PEMA",20
"PELE",17
"PELE",13
"PELE",20
"PELE",17
"PELE",21
"PELE",21
"PELE",21
"PELE",19
"PELE",17
"PEMA",18
"PELE",15
"PELE",16
"PELE",15
"PELE",17
"PELE",15
"PELE",14
"PELE",20
"PELE",13
"PELE",15
"PELE",19
"PELE",18
"PELE",14
"PELE",21
"PELE",18
"PEMA",17
"PEMA",21
"PEMA",19
"PEMA",16
"PEMA",15
"PELE",15
"PELE",20
"PELE",19
"PELE",10
"PELE",14
"PELE",17
"PELE",14
"PELE",18
"PELE",18
"PELE",15
"PEMA",17
"PELE",15
"PELE",12
"PEMA",18
"PELE",20
"PELE",13
"PELE",14
"PELE",20
"PELE",18
"PEMA",17
"PELE",14
"PELE",17
"PELE",21
"PELE",21
"PELE",22
"PELE",20
"PEMA",17
"PELE",14
"PEMA",17
"PELE",19
"PELE",12
"PELE",12
"PELE",12
"PEMA",19
"PELE",20
"SIHI",210
"REHU",13
"SIHI",190
"PELE",18
"PEMA",19
"PELE",24
"PEMA",23
"PELE",25
"PELE",18
"PELE",17
"PELE",20
"PEMA",23
"OCNU",21
"PELE",21
"PEMA",20
"PELE",23
"PEMA",18
"PELE",18
"PELE",17
"PEMA",22
"PELE",14
"PELE",17
"PELE",17
"PELE",12
"PELE",15
"PELE",16
"PELE",17
"PELE",17
"PELE",20
"PELE",23
"PELE",18
"PELE",21
"PELE",16
"PELE",16
"PELE",17
"PELE",17
"PELE",23
"PELE",20
"PELE",14
"PELE",19
"PELE",12
"PELE",15
"PELE",14
"PELE",19
"PELE",19
"PELE",15
"PELE",15
"PELE",15
"PELE",27
"PELE",18
"PELE",14
"PELE",16
"PELE",19
"PELE",17
"PELE",19
"PELE",14
"PELE",17
"PELE",20
"PELE",16
"PELE",16
"PELE",18
"PEMA",16
"PELE",14
"PEMA",18
"PELE",18
"PELE",18
"PELE",18
"PELE",18
"PELE",18
"PELE",17
"PEMA",17
"PELE",20
"PELE",12
"PEMA",16
"PEMA",19
"PELE",16
"PELE",16
"PELE",19
"PELE",20
"PELE",17
"PELE",18
"PELE",15
"PELE",21
"PELE",23
"PEMA",19
"PELE",14
"PELE",22
"PELE",18
"PEMA",18
"PELE",18
"PELE",17
"PELE",23
"PELE",17
"PELE",25
"PELE",20
"PELE",16
"PELE",21
"PELE",15
"PELE",17
"PELE",16
"PELE",17
"PELE",20
"PELE",18
"PEMA",19
"PELE",16
"PEMA",16
"PELE",14
"PELE",23
"PEMA",18
"PELE",15
"PELE",20
"PELE",17
"PELE",16
"PELE",17
"PELE",18
"PELE",17
"PELE",18
"PELE",16
"PELE",23
"PELE",18
"PELE",18
"PELE",21
"PEMA",23
"PELE",18
"PELE",20
"PELE",16
"SIHI",121
"SIHI",45
"SIHI",108
"SIHI",29
"PEMA",14
"SIHI",36
"SIHI",131
"SIHI",62
"PELE",20
"PELE",18
"PELE",16
"PELE",19
"PELE",22
"PELE",18
"PELE",22
"PEMA",21
"PELE",20
"PEMA",21
"PELE",25
"PELE",18
"PELE",16
"PELE",17
"PEMA",23
"PELE",22
"PELE",22
"PELE",18
"PEMA",15
"PELE",17
"PELE",17
"PELE",17
"PELE",24
"PELE",17
"PELE",18
"PELE",21
"PELE",21
"PELE",14
"PELE",16
"PELE",19
"PELE",17
"PELE",12
"PELE",15
"PELE",20
"PELE",18
"PELE",19
"PELE",21
"PEMA",17
"PELE",15
"PEMA",20
"PELE",17
"PELE",16
"PELE",16
"PELE",19
"PELE",17
"PELE",16
"PELE",17
"PELE",21
"PELE",19
"PELE",19
"PELE",20
"PEMA",21
"PELE",18
"PELE",13
"PELE",17
"PELE",19
"PELE",17
"PELE",12
"PELE",19
"PELE",15
"PELE",18
"PELE",15
"PELE",14
"PELE",20
"PELE",17
"PELE",18
"PELE",20
"PELE",18
"PELE",18
"PELE",26
"PELE",20
"PELE",21
"PELE",25
"PELE",17
"PELE",18
"PELE",20
"PELE",19
"PELE",18
"PELE",18
"PELE",18
"PELE",19
"PELE",21
"PELE",20
"PELE",17
"PELE",27
"PELE",22
"PELE",16
"PELE",13
"PELE",18
"PELE",13
"PELE",17
"PELE",20
"PELE",27
"PELE",17
"PELE",21
"PELE",15
"PELE",13
"PELE",15
"PELE",18
"PEMA",22
"PELE",18
"PELE",17
"PELE",14
"PELE",16
"PELE",24
"PELE",14
"PELE",18
"PELE",23
"PELE",19
"PEMA",20
"OCNU",20
"PELE",21
"PELE",17
"PELE",17
"PELE",17
"PELE",18
"PELE",19
"PELE",17
"PELE",22
"PELE",20
"SIHI",54
"SIHI",60
"PELE",22
"PEMA",20
"PELE",21
"PELE",18
"PEMA",18
"PELE",17
"PELE",19
"PELE",19
"SIHI",75
"SIHI",140
"SIHI",120
"SIHI",125
"PEMA",18
"PELE",16
"PELE",20
"SIHI",105
"SIHI",125
"SIHI",120
"SIHI",59
"SIHI",135
"SIHI",95
"SIHI",110
"PELE",17
"PEMA",24
"PELE",18
"PELE",20
"PELE",17
"PELE",19
"PELE",17
"PELE",15
"PELE",15
"PELE",16
"PELE",16
"PELE",21
"PEMA",19
"PELE",18
"PELE",18
"PELE",25
"PELE",17
"PELE",19
"PELE",17
"PELE",15
"PELE",17
"PELE",20
"PELE",20
"PELE",23
"PELE",18
"PELE",15
"PELE",17
"PELE",17
"PELE",17
"PELE",18
"PEMA",19
"PELE",19
"PELE",23
"PELE",14
"PELE",14
"PELE",19
"PELE",19
"PELE",19
"PELE",15
"PELE",19
"PELE",16
"PELE",19
"PELE",18
"PELE",19
"PELE",20
"PELE",20
"PELE",17
"PELE",16
"PELE",18
"PELE",16
"PELE",17
"PELE",24
"PELE",18
"PELE",16
"PELE",20
"PELE",20
"PELE",18
"PELE",17
"PELE",17
"PELE",21
"PELE",20
"PELE",16
"PELE",19
"PELE",18
"PELE",20
"PELE",20
"PELE",16
"PELE",16
"PELE",22
"PELE",18
"PELE",17
"PELE",17
"PELE",17
"PELE",22
"PELE",18
"PELE",17
"PELE",24
"PELE",14
"PELE",18
"PELE",19
"PELE",18
"PELE",14
"PELE",15
"PELE",16
"PELE",22
"PELE",18
"PELE",15
"PELE",20
"PELE",15
"PELE",19
"PELE",17
"PELE",18
"PELE",17
"PELE",19
"PELE",21
"PELE",23
"PELE",20
"PELE",20
"PELE",25
"PELE",19
"PELE",15
"PELE",17
"PELE",15
"PELE",17
"PELE",19
"PELE",18
"PEMA",23
"PELE",16
"SIHI",145
"SIHI",140
"SIHI",85
"SIHI",125
"SIHI",145
"SIHI",85
"SIHI",90
"SIHI",50
"PELE",26
"PELE",26
