"taxonID","weight"
"SIHI",90
"PEGO",21
"PEGO",21
"SIHI",128
"PEGO",25
"PEGO",21
"SIHI",128
"PEGO",17
"PEGO",28
"SIHI",173
"SIHI",153
"PEGO",28
"PEGO",25
"PEGO",26
"PEGO",23
"PEGO",26
"PEGO",28
"PEGO",26
"PEGO",26
"PEGO",25
"PEGO",25
"PEGO",24
"PEGO",19
"SIHI",85
"SIHI",172
"SIHI",60
"OCNU",17
"SIHI",152
"PEGO",21
"OCNU",16
"SIHI",202
"SIHI",142
"PEGO",29
"PEGO",22
"PEGO",23
"PEGO",19
"PEGO",28
"PEGO",25
"PEGO",32
"PEGO",23
"SIHI",142
"SIHI",94
"PEGO",22
"SIHI",200
"SIHI",142
"PEGO",26
"PEGO",30
"PEGO",27
"PEGO",27
"PEGO",18
"SIHI",105
"PEGO",27
"PEGO",23
"PEGO",24
"PEGO",23
"PEGO",27
"PEGO",20
"PEGO",26
"NEFL",73
"SIHI",131
"SIHI",71
"OCNU",13
"OCNU",22
"SIHI",135
"OCNU",17
"SIHI",130
"SIHI",71
"ORPA",24
"PEGO",19
"SIHI",131
"SIHI",160
"PEGO",18
"SIHI",83
"SIHI",166
"PEGO",35
"PEGO",27
"OCNU",21
"OCNU",23
"OCNU",23
"OCNU",21
"SIHI",199
"SIHI",219
"PEGO",26
"PEGO",19
"PEGO",25
"PEGO",21
"PEGO",38
"PEGO",34
"PEGO",29
"PEGO",30
"PEGO",22
"PEGO",29
"PEGO",23
"PEGO",26
"PEGO",28
"PEGO",33
"PEGO",36
"PEGO",37
"OCNU",35
"PEGO",28
"OCNU",29
"PEGO",29
"PEGO",30
"PEGO",31
"PEGO",22
"PEGO",30
"PEGO",24
"PEGO",23
"PEGO",34
"PEGO",21
"PEGO",22
"PEGO",26
"SIHI",152
"PEGO",27
"PEGO",26
"PEGO",33
"OCNU",23
"OCNU",22
"PEGO",29
"SIHI",98
"PEGO",31
"SIHI",120
"SIHI",168
"OCNU",26
"PEGO",26
"PEGO",28
"SIHI",132
"SIHI",90
"SIHI",192
"PEGO",20
"SIHI",133
"SIHI",133
"SIHI",173
"MUMU",16
"PEGO",20
"PEGO",21
"PEGO",24
"SIHI",173
"SIHI",173
"SIHI",108
"OCNU",21
"PEGO",21
"PEGO",23
"SIHI",159
"SIHI",191
"PEGO",29
"SIHI",118
"PEGO",25
"SIHI",151
"SIHI",244
"SIHI",186
"PEGO",28
"PEGO",28
"SIHI",191
"OCNU",19
"PEGO",15
"OCNU",20
"OCNU",3
"PEGO",21
"SIHI",50
"SIHI",48
"PEGO",17
"PEGO",26
"PEPO",10
"SIHI",113
"SIHI",51
"PEGO",20
"PEGO",18
"SIHI",47
"OCNU",18
"OCNU",14
"OCNU",15
"SIHI",93
"PEGO",20
"PEPO",10
"SIHI",120
"PEGO",18
"PEGO",30
"SIHI",151
"SIHI",192
"PEGO",27
"SIHI",182
"SIHI",192
"SIHI",122
"SIHI",119
"OCNU",12
"OCNU",16
"OCNU",22
"PEGO",13
"SIHI",181
"SIHI",105
"PEGO",28
"PEGO",23
"SIHI",71
"SIHI",131
"SIHI",211
"SIHI",134
"SIHI",211
"SIHI",45
"SIHI",151
"SIHI",131
"SIHI",61
"SIHI",211
"SIHI",221
"SIHI",101
"PEGO",26
"PEGO",20
"PEGO",34
"SIHI",26
"SIHI",101
"OCNU",16
"OCNU",15
"PEGO",20
"PEGO",26
"OCNU",19
"SIHI",89
"SIHI",51
"SIHI",49
"SIHI",61
"SIHI",31
"SIHI",136
"SIHI",44
"SIHI",124
"PEGO",20
"PEGO",29
"SIHI",131
"SIHI",110
"SIHI",186
"SIHI",131
"SIHI",92
"PEGO",23
"SIHI",232
"PEGO",26
"SIHI",136
"SIHI",121
"SIHI",204
"PEGO",23
"NEFL",152
"SIHI",71
"SIHI",146
"SIHI",111
"SIHI",211
"SIHI",131
"PEGO",35
"SIHI",94
"SIHI",99
"OCNU",18
"PEGO",22
"OCNU",17
"OCNU",20
"SIHI",64
"SIHI",44
"SIHI",69
"SIHI",184
"SIHI",129
"SIHI",119
"SIHI",191
"SIHI",211
"SIHI",221
"SIHI",191
"SIHI",121
"SIHI",191
"SIHI",182
"PEGO",23
"SIHI",151
"SIHI",251
"SIHI",221
"PEGO",24
"SIHI",221
"SIHI",191
"SIHI",211
"PEGO",22
"SIHI",191
"SIHI",116
"SIHI",186
"SIHI",106
"OCNU",23
"SIHI",121
"OCNU",19
"PEGO",27
"OCNU",21
"PEGO",23
"PEGO",25
"SIHI",102
"SIHI",142
"OCNU",17
"PEGO",27
"PEGO",19
"SIHI",134
"PEGO",20
"OCNU",20
"PEGO",24
"PEGO",26
"PEGO",26
"PEGO",19
"SIHI",141
"PEGO",24
"PEGO",26
"SIHI",58
"OCNU",21
"PEGO",28
"PEGO",24
"PEGO",25
"PEGO",26
"PEGO",27
"SIHI",66
"PEGO",23
"OCNU",20
"PEGO",20
"OCNU",19
"PEGO",24
"PEGO",23
"PEGO",22
"SIHI",86
"PEGO",24
"PEGO",27
"PEGO",24
"PEGO",26
"SIHI",164
"PEGO",26
"PEGO",26
"PEGO",24
"PEGO",26
"PEGO",20
"PEGO",19
"PEGO",25
