"taxonID","weight"
"PEMA",19
"PEMA",18
"PEMA",20
"PEMA",19
"PEMA",19
"PEMA",18
"PEMA",28
"PEMA",12
"PEMA",19
"PEMA",17
"PEMA",16
"PEMA",16
"PEMA",17
"PEMA",14
"PEMA",13
"PEMA",15
"PEMA",18
"PEMA",18
"PEMA",21
"PEMA",20
"PEMA",19
"PEMA",18
"PEMA",20
"PEMA",17
"PEMA",16
"PEMA",17
"PEMA",15
"PEMA",14
"PEMA",23
"MYGA",11
"PEMA",19
"PEMA",17
"PEMA",14
"PEMA",16
"PEMA",18
"PEMA",12
"PEMA",13
"PEMA",17
"PEMA",23
"PEMA",15
"PEMA",20
"PEMA",14
"PEMA",15
"PEMA",22
"PEMA",20
"PEMA",16
"PEMA",19
"PEMA",16
"PEMA",8
"PEMA",19
"PEMA",18
"PEMA",17
"PEMA",13
"PEMA",19
"PEMA",21
"PEMA",17
"PEMA",11
"PEMA",11
"PEMA",15
"PEMA",19
"PEMA",13
"PEMA",16
"PEMA",22
"PEMA",19
"PEMA",17
"PEMA",20
"PEMA",19
"MYGA",22
"PEMA",11
"PEMA",11
"MYGA",35
"PEMA",15
"PEMA",19
"PEMA",17
"PEMA",12
"PEMA",21
"PEMA",19
"PEMA",13
"PEMA",15
"PEMA",13
"PEMA",13
"PEMA",13
"PEMA",14
"PEMA",13
"PEMA",13
"PEMA",19
"PEMA",14
"PEMA",14
"PEMA",19
"PEMA",21
"PEMA",18
"PEMA",17
"PEMA",25
"PEMA",20
"PEMA",17
"PEMA",10
"PEMA",14
"PEMA",19
"PEMA",18
"PEMA",12
"PEMA",14
"PEMA",17
"PEMA",20
"PEMA",19
"PEMA",13
"PEMA",17
"MYGA",25
"PEMA",17
"PEMA",18
"PEMA",15
"PEMA",16
"PEMA",15
"PEMA",19
"PEMA",17
"PEMA",20
"PEMA",16
"PEMA",17
"PEMA",18
"PEMA",13
"PEMA",13
"PEMA",16
"PEMA",19
"PEMA",16
"MYGA",23
"PEMA",10
"PEMA",14
"PEMA",16
"PEMA",18
"PEMA",13
"PEMA",16
"PEMA",18
"PEMA",17
"PEMA",18
"PEMA",12
"PEMA",13
"PEMA",16
"PEMA",13
"PEMA",18
"PEMA",19
"PEMA",15
"PEMA",15
"PEMA",18
"PEMA",12
"PEMA",16
"PEMA",14
"MYGA",15
"PEMA",15
"PEMA",17
"PEMA",14
"PEMA",18
"MYGA",25
"PEMA",14
"PEMA",17
"PEMA",19
"PEMA",15
"PEMA",14
"PEMA",18
"PEMA",14
"MYGA",14
"PEMA",14
"PEMA",14
"PEMA",15
"PEMA",14
"PEMA",18
"PEMA",16
"PEMA",11
"PEMA",13
"PEMA",18
"PEMA",14
"PEMA",15
"PEMA",13
"PEMA",15
"PEMA",18
"PEMA",16
"PEMA",13
"PEMA",17
"PEMA",17
"PEMA",15
"PEMA",15
"PEMA",14
"PEMA",20
"PEMA",14
"PEMA",17
"PEMA",15
"PEMA",15
"PEMA",16
"PEMA",15
"PEMA",15
"PEMA",14
"PEMA",14
"PEMA",17
"PEMA",16
"PEMA",13
"PEMA",13
"PEMA",20
"PEMA",17
"PEMA",14
"PEMA",15
"PEMA",14
"PEMA",17
"PEMA",15
"PEMA",16
"PEMA",15
"PEMA",15
"PEMA",24
"PEMA",15
"PEMA",15
"PEMA",13
"PEMA",17
"PEMA",24
"PEMA",14
"PEMA",18
"PEMA",13
"PEMA",13
"PEMA",14
"PEMA",16
"PEMA",14
