"taxonID","weight"
"PELE",22
"PELE",13
"PELE",16
"PELE",20
"PELE",22
"PELE",25
"PELE",21
"PELE",15
"PELE",13
"PELE",17
"PELE",21
"PELE",25
"MIPE",26
"PELE",17
"MIPE",43
"PELE",25
"ZAHU",20
"PELE",13
"ZAHU",30
"MIPE",10
"PELE",20
"PELE",17
"MIPE",12
"ZAHU",19
"PELE",13
"PELE",25
"MIPE",30
"MIPE",27
"ZAHU",20
"ZAHU",16
"PELE",23
"PELE",15
"PELE",22
"PELE",23
"PELE",15
"PELE",24
"PELE",27
"PELE",22
"PELE",15
"PELE",22
"PELE",24
"PELE",16
"PELE",22
"PELE",16
"PELE",15
"PELE",20
"PELE",15
"PELE",23
"PELE",16
"PELE",17
"PELE",22
"PELE",25
"PELE",14
"PELE",17
"PELE",23
"PELE",25
"PELE",25
"MIPE",32
"MUMU",20
"MUMU",13
"PELE",13
"PELE",22
"PELE",25
"MIPE",39
"PELE",18
"PELE",21
"PELE",21
"PELE",23
"PELE",24
"MUMU",12
"PELE",20
"PELE",17
"PELE",22
"PELE",18
"MUMU",19
"PELE",22
"PELE",17
"PELE",26
"PELE",21
"MUMU",16
"MIPE",30
"MIPE",33
"PELE",19
"PELE",19
"PELE",16
"PELE",24
"PELE",23
"PELE",27
"PELE",20
"PELE",24
"PELE",23
"PELE",25
"PELE",25
"PELE",20
"PELE",22
"PELE",27
"PELE",23
"PELE",17
"PELE",18
"PELE",24
"PELE",25
"PELE",20
"PELE",29
"PELE",24
"PELE",20
"PELE",27
"PELE",24
"PELE",18
"PELE",30
"PELE",24
"PELE",23
"PELE",20
"PELE",18
"PELE",24
"PELE",16
"PELE",22
"MUMU",24
"MUMU",15
"MUMU",21
"PELE",25
"PELE",27
"PELE",26
"PELE",26
"PELE",23
"PELE",22
"PELE",18
"PELE",20
"PELE",20
"MIPE",25
"MIPE",25
"MIPE",31
"MUMU",17
"MIPE",37
"MIPE",25
"MIPE",32
"MIPE",34
"PELE",20
"PELE",25
"PELE",23
"PELE",22
"PELE",20
"PELE",21
"PELE",21
"PELE",18
"PELE",23
"PELE",26
"PELE",24
"PELE",26
"PELE",30
"PELE",27
"PELE",23
"PELE",24
"PELE",8
"PELE",10
"PELE",23
"MIPE",44
"PELE",27
"PELE",32
"PELE",27
"PELE",28
"MIPE",35
"PELE",29
"PELE",27
