"taxonID","weight"
"CHCA",21
"PEBO",20
"PEMA",26
"CHCA",23
"CHCA",23
"PEBO",20
"PEIN",10
"PEIN",8
"PEMA",16
"CHCA",28
"CHCA",27
"PEMA",8
"CHCA",27
"CHCA",27
"PEBO",21
"PEBO",22
"PEBO",21
"PEBO",19
"REME",9
"REME",7
"REME",10
"REME",8
"REME",7
"PEBO",12
"PEBO",26
"PEMA",18
"PEBO",22
"PEBO",24
"PEBO",24
"PEBO",22
"PEMA",19
"PEBO",22
"PEBO",11
"PEBO",12
"PETR",25
"PEBO",22
"PEBO",21
"PEBO",23
"REME",14
"PETR",24
"REME",9
"PEMA",8
"PETR",25
"REME",9
"REME",9
"REME",10
"PEBO",22
"PEBO",22
"PEBO",21
"PEBO",27
"PEBO",22
"PEBO",18
"PEMA",17
"REME",11
"PEBO",18
"PEBO",23
"REME",13
"PETR",26
"PEMA",9
"PEBO",18
"REME",9
"REME",12
"PEBO",12
"PEBO",28
"PETR",24
"REME",10
"REME",12
"REME",9
"PEBO",13
"REME",11
"REME",12
"REME",8
"PEMA",17
"PEBO",13
"PEMA",14
"REME",10
"REME",12
"PEBO",25
"PEBO",24
"REME",13
"PEBO",25
"REME",11
"REME",8
"REME",12
"REME",12
"PETR",28
"REME",11
"REME",12
"CHCA",25
"REME",10
"REME",12
"CHCA",32
"REME",9
"REME",12
"PEBO",23
"CHCA",28
"PEBO",29
"REME",8
"REME",9
"PEMA",12
"REME",11
"REME",9
"REME",8
"CHCA",26
"REME",12
"REME",10
"REME",9
"REME",10
"PEMA",13
"REME",8
"REME",9
"PETR",30
"REME",11
"PEBO",23
"PEMA",14
"PEMA",19
"PEMA",20
"PEBO",30
"PEMA",19
"PEBO",23
"PEBO",20
"PEBO",26
"PEBO",19
"PEBO",28
"PEMA",16
"PEMA",17
"PEBO",19
"PEBO",29
"REME",13
"PEBO",25
"PEBO",24
"PEMA",17
"PEMA",20
"REME",12
"PEMA",18
"PETR",26
"PEMA",23
"PEBO",26
"PEMA",21
"PEBO",25
"PEMA",21
"PEMA",15
"PEBO",30
"REME",9
"PEMA",11
"PEBO",27
"PEBO",25
"PEBO",24
"PEMA",19
"PEMA",16
"PEMA",16
"PEMA",16
"PEBO",25
"PEBO",31
"PEMA",20
"PEBO",23
"PEBO",28
"PEBO",26
"PETR",26
"PEBO",28
