"taxonID","weight"
"PEMA",24
"PEBO",37
"PEBO",21
"PEBO",14
"PEMA",25
"PEBO",23
"PEBO",19
"PEBO",24
"PEMA",16
"PEMA",17
"PEBO",25
"REME",10
"PEBO",27
"PEBO",23
"PEBO",26
"PEBO",38
"PEBO",23
"PEBO",24
"PEBO",14
"PEBO",23
"PEBO",28
"PEBO",39
"PEBO",26
"PEBO",23
"PEBO",19
"PEBO",22
"REME",12
"PEBO",22
"PEBO",25
"PEBO",25
"PEBO",2
"REME",17
"PEBO",28
"PEBO",25
"PEBO",25
"PEBO",24
"PEBO",22
"PEBO",15
"PEBO",13
"PEBO",27
"PEBO",24
"PEBO",20
"PEBO",28
"REME",9
"PEBO",24
"PEBO",27
"PEBO",22
"REME",11
"PEBO",13
"PEBO",22
"PEBO",26
"PEMA",23
"PEBO",23
"PEBO",14
"PEBO",25
"PEBO",22
"PEBO",24
"PEBO",23
"PEBO",17
"PEBO",22
"REME",14
"PEBO",25
"REME",9
"PEBO",20
"PEBO",12
"PEBO",20
"PEBO",22
"PEBO",23
"REME",12
"PEBO",26
"PEBO",35
"PEBO",20
"PEBO",20
"PEBO",30
"REME",11
"PEBO",26
"PEBO",20
"PEMA",24
"PEBO",23
"PEBO",21
"PEMA",21
"PEBO",15
"PEBO",25
"PEBO",19
"PEBO",23
"PEMA",16
"REME",11
"PEBO",23
"PEBO",21
"PEBO",16
"REME",11
"PEBO",19
"REME",11
"PEBO",18
"PEBO",10
"PEBO",22
"PEBO",23
"REME",11
"PEBO",21
"PEBO",29
"PEBO",22
"PEBO",26
"PEBO",21
"PEBO",24
"PEBO",14
"PEBO",17
"PEBO",20
"PEBO",29
"REME",9
"PEBO",24
"REME",11
"PEBO",34
"REME",10
"PEBO",26
"REME",11
"PEBO",27
"PEBO",15
"PEMA",26
"REME",8
"PEMA",15
"PEBO",22
"PEBO",25
"PEBO",22
"PEBO",24
"PEBO",22
"PEBO",26
"REME",12
"PEBO",20
"PEBO",23
"PEBO",14
"PEMA",12
"PEBO",21
"REME",13
"PEBO",17
"PEBO",22
"PEBO",23
"PEBO",22
"PEBO",17
"PEBO",21
"REME",10
"PEBO",25
"PEBO",21
"PEBO",13
"REME",10
"PEBO",22
"PEBO",27
"REME",12
"PEBO",13
"PEBO",18
"PEBO",24
"PEBO",21
"PEBO",21
"PEBO",22
"PEBO",16
"PEBO",21
"PEBO",21
"PEBO",14
"PEBO",16
"PEBO",26
"PEBO",26
"PEBO",21
"REME",8
"PEBO",24
"PEBO",11
"PEBO",21
"PEBO",25
"REME",11
"PEBO",23
"PEBO",33
"PEBO",26
"PEBO",26
"REME",10
"PEBO",26
"REME",13
"PEBO",24
"PEBO",10
"PEBO",23
"PEBO",23
"PEBO",19
"REME",15
"REME",12
"PEBO",22
"PEBO",23
"REME",13
"PEBO",23
"PEBO",22
"PEBO",33
"PEBO",25
"PEMA",18
"PEBO",21
"PEBO",22
"PEBO",25
"PEBO",22
"PEBO",24
"REME",10
"PEBO",28
"PEBO",19
"PEBO",26
"PEBO",33
"PEBO",23
"PEBO",18
"PEBO",18
"REME",12
"REME",10
"PEMA",19
"PEBO",14
"PEBO",14
"PEMA",14
"PEBO",17
"PEBO",19
"REME",10
"PEBO",23
"PEBO",22
"PEBO",29
"PEBO",19
"REME",9
"PEBO",26
"REME",7
"PEBO",24
"REME",9
"PEBO",21
"PEBO",25
"PEBO",20
"PEBO",25
"PEBO",28
"PEBO",18
"PEBO",13
"PEBO",10
"PEBO",21
"PEBO",17
"PEMA",14
"PEBO",30
"PEBO",21
"PEBO",13
"PEBO",15
"PEBO",25
"PEBO",21
"PEBO",19
"PEBO",24
"REME",10
"PEBO",16
"PEBO",21
"PEBO",19
"PEBO",25
"PEBO",18
"REME",12
"PEBO",21
"PEBO",23
"PEBO",23
"PEBO",33
"PEBO",24
"PEBO",23
"PEBO",28
"PEBO",22
"PEBO",24
"PEBO",13
"PEBO",15
"PEBO",25
"PEBO",18
"REME",8
"PEBO",24
"PEBO",22
"PEBO",20
"PEBO",12
"PEBO",17
"PEBO",23
"PEBO",25
"PEMA",13
"PEBO",16
"PEBO",21
"PEBO",15
"PEBO",23
"PEBO",13
"PEBO",25
"PEBO",27
"REME",10
"PEBO",20
"PEMA",13
"PEBO",22
"PEBO",17
"PEBO",25
"REME",10
"PEBO",16
"PEBO",27
"PEBO",18
"REME",10
"PEBO",18
"REME",10
"PEBO",31
"PEBO",22
"PEBO",27
"PEBO",26
"PEBO",20
"PEBO",26
"REME",11
"REME",7
"PEBO",13
"REME",10
"PEBO",16
"PEBO",25
"PEBO",29
"PEBO",25
"PEBO",27
"REME",8
"REME",9
"PEBO",27
"PEBO",24
"PEBO",300
"PEBO",30
"PEBO",26
"REME",10
"PEBO",26
"PEBO",25
"PEBO",28
"PEBO",21
"REME",9
"PEBO",26
"PEBO",17
"PEBO",23
"PEBO",19
"PEBO",12
"REME",9
"PEBO",26
"PEBO",29
"REME",9
"PEBO",20
"REME",11
"PEBO",19
"PEBO",12
"PEBO",23
"PEBO",25
"REME",8
"PEBO",16
"PEMA",7
"REME",8
"PEBO",26
"PEBO",24
"REME",8
"PEBO",22
"REME",8
"REME",10
"PEBO",26
"PEBO",32
"PEBO",13
"PEBO",17
"REME",16
"PEBO",27
"PEBO",28
"PEBO",29
"REME",13
"REME",9
"PEBO",30
"PEBO",25
"REME",8
"PEBO",29
"PEBO",11
"PEBO",11
"PEBO",23
"PEBO",18
"PEBO",26
"PEBO",21
"PEBO",25
"PEBO",32
"PEBO",25
"PEBO",27
"PEBO",16
"PEBO",24
"REME",13
"PEBO",25
"PEBO",26
"PEBO",17
"REME",10
"PEBO",29
"PEBO",26
"REME",16
"REME",8
"REME",25
"PEBO",30
"PEBO",21
"PEBO",26
"REME",7
"PEBO",17
"PEBO",33
"PEBO",25
"PEBO",24
"PEBO",30
"PEBO",25
"PEBO",34
"PEBO",23
"PEBO",28
"REME",8
"PEMA",24
"REME",9
"PEBO",30
"REME",15
"REME",10
"PEMA",16
"PEBO",27
"PEBO",15
"REME",8
"PEBO",24
"PEBO",27
"PEBO",24
"PEBO",9
"PEBO",27
"REME",8
"REME",7
"PEBO",33
"PEBO",14
"PEBO",23
"REME",12
"PEBO",20
"PEBO",25
"PEBO",9
"PEBO",25
"PEBO",25
"REME",10
"REME",11
"PEBO",26
"PEBO",23
