"taxonID","weight"
"PELE",20
"PEMA",17
"PELE",15
"MYGA",15
"PELE",22
"PEMA",15
"PEMA",20
"MYGA",22
"PELE",17
"PEMA",18
"PELE",24
"PELE",17
"PELE",15
"PEMA",17
"PEMA",17
"MYGA",21
"NAIN",19
"PEMA",19
"PEMA",18
"MYGA",22
"MYGA",19
"PELE",23
"PEMA",21
"PELE",15
"PELE",15
"PELE",14
"MYGA",27
"PELE",16
"PELE",20
"PELE",22
"ZAHU",22
"PEMA",17
"PELE",18
"PEMA",17
"ZAHU",24
"PEMA",14
"PELE",18
"PEMA",20
"PELE",19
"PEMA",16
"PEMA",16
"PEMA",34
"PEMA",14
"PEMA",18
"PEMA",18
"PEMA",17
"MYGA",27
"PEMA",15
"MYGA",13
"MYGA",16
"PEMA",21
"PEMA",16
"ZAHU",15
"PEMA",17
"PEMA",21
"PEMA",18
"PEMA",14
"NAIN",20
"MYGA",20
"NAIN",20
"MIPE",25
"ZAHU",29
"PEMA",16
"MYGA",16
"MYGA",20
"NAIN",20
"MYGA",22
"PEMA",22
"PEMA",16
"PEMA",15
"PEMA",17
"PEMA",18
"NAIN",19
"PEMA",14
"MYGA",13
"PELE",20
"PEMA",28
"PEMA",20
"PEMA",15
"PEMA",15
"PELE",19
"MYGA",17
"PEMA",17
"PEMA",16
"PEMA",17
"NAIN",17
"PEMA",17
"PEMA",17
"PEMA",15
"PEMA",16
"PELE",18
"PELE",14
"PEMA",33
"PEMA",16
"MYGA",25
"MYGA",20
"PEMA",20
"PEMA",22
"PELE",18
"PEMA",17
"PELE",21
"PELE",21
"PEMA",16
"PEMA",18
"PELE",30
"PEMA",16
"MYGA",16
"PELE",17
"PELE",17
"PEMA",16
"MYGA",22
"PEMA",16
"PEMA",19
"PEMA",21
"MYGA",17
"PEMA",15
"PEMA",19
"PELE",21
"NAIN",18
"PELE",14
"PEMA",15
"PEMA",20
"NAIN",21
"PEMA",15
"PEMA",19
"MYGA",23
"ZAHU",35
"PEMA",15
"MYGA",17
"NAIN",20
"MYGA",20
"PEMA",24
"PEMA",17
"PEMA",17
"PEMA",16
"MYGA",27
"MYGA",24
"ZAHU",18
"PELE",19
"PEMA",18
"PEMA",17
"PEMA",16
"NAIN",24
"PEMA",17
"PEMA",15
"PEMA",17
"PEMA",18
"PEMA",16
"PEMA",17
"PEMA",19
"PELE",33
"PEMA",20
"PEMA",21
"PEMA",17
"PELE",21
"PEMA",19
"PEMA",16
"PELE",18
"PEMA",17
"PELE",18
"PEMA",19
"NAIN",21
"ZAHU",16
"PEMA",17
"PEMA",15
"NAIN",22
"PEMA",13
"MYGA",17
"PEMA",21
"PEMA",20
"ZAHU",16
"PEMA",15
"NAIN",21
"ZAHU",18
"PEMA",16
"ZAHU",23
"PEMA",15
"MYGA",13
"PEMA",20
"PELE",16
"PEMA",25
"PELE",17
"MYGA",20
"PEMA",18
"PELE",20
"PEMA",16
"ZAHU",20
"MYGA",21
"NAIN",22
"MYGA",14
"ZAHU",15
"MYGA",15
"MYGA",13
"PEMA",21
"PELE",14
"NAIN",28
"PEMA",19
"PEMA",22
"PEMA",16
"MYGA",12
"PEMA",17
"PEMA",18
"PEMA",17
"PEMA",18
"PEMA",13
"MYGA",13
"PEMA",19
"PEMA",16
"PEMA",16
"MYGA",18
"PEMA",19
"PEMA",15
"PELE",20
"PEMA",23
"PELE",17
"PELE",20
"PELE",29
"PEMA",17
"PEMA",17
"PEMA",17
"PEMA",16
"PEMA",21
"PEMA",21
"PEMA",17
"PEMA",14
"PEMA",16
"PEMA",15
"PEMA",17
"PEMA",23
"PEMA",17
"PEMA",16
"PEMA",23
"PEMA",19
"PEMA",17
"PEMA",16
"PEMA",20
"PEMA",17
"PEMA",21
"PELE",19
"PEMA",22
"PEMA",20
"PEMA",17
"PEMA",21
"PEMA",19
"PEMA",23
"PEMA",20
"PEMA",23
"PELE",20
"PEMA",27
"PEMA",25
"PEMA",19
"PEMA",22
"PEMA",19
"PEMA",21
"ZAHU",32
"PEMA",17
"PEMA",16
"PELE",17
"PEMA",18
"PEMA",18
"PEMA",16
"PEMA",19
"PEMA",20
"PEMA",16
"PEMA",21
"PEMA",14
"PEMA",15
"MYGA",15
"PEMA",15
"PEMA",21
"PEMA",19
"PEMA",16
"PEMA",18
"PEMA",18
"PEMA",17
"PEMA",23
"PEMA",21
"PEMA",17
"PELE",17
"PELE",17
"PEMA",18
"PEMA",20
"PEMA",11
"PELE",20
"PEMA",18
"PEMA",17
"PEMA",17
"PEMA",21
"PELE",17
"PEMA",22
"PEMA",23
"PEMA",23
"NAIN",35
"MYGA",24
"PEMA",19
"PEMA",25
"PELE",26
"PEMA",21
"PEMA",20
"PEMA",17
"PEMA",21
"PEMA",19
"PEMA",20
"PEMA",19
"PELE",25
"PEMA",20
"PEMA",14
"PELE",23
"PEMA",21
"MYGA",19
"PELE",26
"PEMA",22
"PEMA",15
"PEMA",19
"PEMA",18
"PEMA",19
"PEMA",19
"PEMA",20
"MYGA",17
"PEMA",19
"PEMA",19
"PEMA",19
"MYGA",18
"MYGA",15
"PEMA",19
"PEMA",17
"PEMA",18
"PEMA",17
"PEMA",16
"MYGA",16
"PEMA",15
"MYGA",17
"PEMA",22
"PEMA",18
"PEMA",19
"PEMA",21
"MYGA",16
"MYGA",25
"PEMA",21
"PEMA",14
"MYGA",15
"MYGA",15
"PEMA",22
"PEMA",19
"PEMA",21
"PEMA",21
"PEMA",17
"MYGA",14
"PELE",25
"PEMA",20
"PELE",26
"PEMA",20
"PEMA",22
"PELE",30
"PELE",33
"PELE",26
"MYGA",11
"PEMA",19
"PEMA",18
"PELE",25
"PELE",20
"PELE",11
"PEMA",17
"PEMA",21
"PELE",16
"PELE",16
"PEMA",21
"MYGA",26
"PELE",32
"PEMA",25
"PELE",11
"PEMA",17
"PEMA",20
"MYGA",18
"PEMA",19
"PEMA",22
"PEMA",20
"PEMA",20
"PEMA",21
"MYGA",14
"PEMA",21
"PEMA",21
"PELE",26
"PELE",25
"PEMA",17
"PEMA",21
"MYGA",18
"MYGA",17
"MYGA",17
"PEMA",20
"MYGA",17
"MYGA",18
"PEMA",25
"PEMA",23
"PEMA",21
"PEMA",23
"PEMA",18
"MIPE",26
"PEMA",17
"PEMA",22
"PEMA",21
"MYGA",15
"PEMA",25
"PEMA",19
"MYGA",16
"PEMA",19
"PEMA",24
"PEMA",19
"MYGA",20
"PEMA",26
"MYGA",13
"PEMA",26
"PEMA",26
"MYGA",14
"PELE",20
"PEMA",22
"PEMA",20
"PELE",18
"PEMA",27
"PEMA",22
"PEMA",24
"PEMA",16
"PEMA",15
"PEMA",16
"MYGA",18
"PEMA",20
"PEMA",17
"PEMA",20
"MYGA",14
"MYGA",22
"PEMA",24
"PEMA",16
"PEMA",20
"PEMA",20
"PEMA",18
"PEMA",24
"PEMA",16
"PEMA",21
"PEMA",20
"PELE",17
"PEMA",15
"PEMA",19
"PELE",17
"PEMA",17
"PEMA",18
"PEMA",20
"PEMA",20
"PEMA",15
"PEMA",15
"PEMA",18
"PEMA",16
"PEMA",15
"PEMA",17
"PEMA",17
"PELE",15
"PEMA",19
"PEMA",17
"PEMA",19
"PEMA",19
"PEMA",14
"PELE",15
"PELE",28
"PELE",15
"PELE",17
"MYGA",12
"PEMA",14
"PEMA",19
"PEMA",16
"PELE",13
"PEMA",17
"PEMA",18
"PEMA",16
"PEMA",21
"PEMA",21
"PEMA",17
"PEMA",15
"PEMA",17
"PEMA",20
"PEMA",19
"PEMA",15
"PEMA",17
"MYGA",13
"PEMA",19
"PEMA",26
"PEMA",23
"PEMA",27
"PEMA",25
"PEMA",26
"PEMA",25
"PEMA",25
"PELE",21
"PELE",30
"PEMA",23
"PELE",34
"PEMA",27
"PEMA",25
"PEMA",25
"PEMA",28
"PEMA",25
"PEMA",26
"PELE",13
"ZAHU",13
"PEMA",15
"PELE",37
"PEMA",16
"PEMA",22
"PELE",14
"PELE",16
"ZAHU",24
"PELE",15
"PEMA",25
"MYGA",27
"PEMA",25
"PEMA",17
"ZAHU",19
"MYGA",26
"NAIN",22
"NAIN",32
"NAIN",27
"PEMA",24
"PEMA",24
"PEMA",25
"PELE",24
"NAIN",23
"NAIN",25
"MYGA",24
"PELE",25
"PEMA",17
"PELE",10
"MIPE",23
"PEMA",18
"PEMA",38
"PEMA",24
"PEMA",28
"PEMA",27
"PEMA",25
"PELE",17
"PELE",24
"PELE",17
"NAIN",26
"MYGA",29
"PELE",24
"PELE",30
"MYGA",29
"PELE",19
"PELE",16
"PELE",28
"PEMA",31
"PEMA",32
"PELE",34
"MYGA",24
"MYGA",31
"PELE",10
"PEMA",24
"PELE",24
"PELE",29
"PELE",36
"PEMA",27
"PELE",35
"ZAHU",24
"PEMA",26
"PELE",20
"PEMA",23
"PELE",13
"ZAHU",25
"NAIN",28
"PELE",14
"NAIN",24
"PELE",18
"PEMA",29
"PEMA",20
"MYGA",28
"PELE",36
"PELE",26
"PEMA",23
"PELE",15
"PEMA",14
"PELE",25
"PELE",28
"PEMA",18
"PEMA",15
"PELE",27
"PELE",29
"PELE",21
"PELE",16
"PEMA",13
"PEMA",19
"PEMA",14
"PEMA",25
"PEMA",15
"PEMA",25
"PEMA",16
"PEMA",25
"PEMA",26
"PEMA",17
"PEMA",14
"PELE",26
"PEMA",15
"MYGA",20
"PELE",24
"PEMA",25
"PELE",29
"PELE",14
"PEMA",20
"MYGA",23
"PEMA",26
"PEMA",15
"PELE",17
"PEMA",30
"PEMA",21
"MYGA",14
"PEMA",15
"PEMA",19
"NAIN",23
"MYGA",28
"PEMA",17
"PELE",16
"PELE",15
"PELE",28
"PELE",27
"NAIN",16
"PELE",14
"ZAHU",13
"ZAHU",16
"ZAHU",13
"ZAHU",23
"MYGA",20
"NAIN",30
"PEMA",19
"NAIN",18
"NAIN",30
"ZAHU",15
"ZAHU",22
"NAIN",15
"NAIN",32
"PELE",20
"PEMA",18
"NAIN",30
"PEMA",19
"MYGA",20
"PEMA",18
"PEMA",14
"PELE",15
"PELE",12
"PEMA",21
"PEMA",23
"MYGA",26
"PEMA",20
"PEMA",20
"PEMA",16
"ZAHU",26
"ZAHU",18
"PEMA",16
"MYGA",22
"MYGA",24
"PELE",20
"ZAHU",14
"PEMA",17
"MYGA",21
"NAIN",27
"PEMA",19
"MYGA",21
"PEMA",17
"MYGA",23
"PEMA",14
"PEMA",15
"MYGA",14
"PEMA",20
"MYGA",24
"PEMA",20
"PEMA",15
"PEMA",15
"MYGA",17
"MYGA",12
"MYGA",11
"MYGA",26
"PEMA",15
"MYGA",22
"ZAHU",11
"MYGA",17
"ZAHU",21
"PEMA",16
"ZAHU",19
"PELE",16
"MYGA",15
"ZAHU",20
"PELE",24
"NAIN",22
"NAIN",20
"NAIN",23
"PEMA",16
"MYGA",12
"MYGA",21
"MIPE",18
"PEMA",17
"MYGA",19
"ZAHU",19
"NAIN",27
"PELE",17
"PEMA",17
"PEMA",17
"MYGA",15
"MIPE",33
"MYGA",13
"MYGA",18
"MYGA",10
"PEMA",15
"PEMA",16
"MYGA",15
"NAIN",21
"ZAHU",21
"PEMA",17
"PEMA",15
"NAIN",21
"MIPE",21
"MYGA",10
"MYGA",17
"NAIN",22
"ZAHU",26
"NAIN",24
"PEMA",14
"NAIN",24
"PELE",15
"NAIN",25
"PEMA",15
"PEMA",15
"NAIN",23
"MYGA",20
"NAIN",20
"MYGA",32
"PEMA",19
"NAIN",24
"PELE",21
"PELE",19
"PELE",11
"PELE",11
"PELE",11
"PELE",11
"PELE",14
"PELE",14
"ZAHU",10
"PELE",9
"PEMA",17
"PELE",24
"MYGA",18
"PEMA",16
"MYGA",23
"PEMA",13
"MYGA",23
"ZAHU",22
"ZAHU",26
"PEMA",15
"MYGA",34
"MYGA",16
"PEMA",16
"MYGA",15
"ZAHU",29
"MYGA",16
"PEMA",28
"ZAHU",17
"PEMA",21
"PELE",21
"PEMA",32
"PEMA",22
"MYGA",24
"ZAHU",13
"PEMA",25
"MYGA",28
"PEMA",25
"PEMA",22
"PELE",25
"PEMA",25
"PELE",25
"PEMA",21
"ZAHU",16
"MYGA",16
"PEMA",25
"PELE",18
"PEMA",25
"PELE",29
"PELE",13
"PEMA",25
"PELE",26
"ZAHU",18
"MIPE",35
"MYGA",22
"PEMA",24
"PEMA",26
"PEMA",16
"PEMA",24
"NAIN",25
"PEMA",22
"PEMA",26
"PEMA",24
"PEMA",22
"PEMA",30
"ZAHU",22
"PEMA",22
"NAIN",23
"NAIN",25
"NAIN",25
"PEMA",25
"PEMA",19
"PELE",13
"PELE",17
"PELE",28
"PELE",11
"PEMA",26
"PELE",15
"NAIN",23
"PEMA",16
"PELE",21
"PELE",18
"PEMA",24
"PEMA",28
"PEMA",24
"PELE",25
"PELE",14
"PEMA",21
"PELE",24
"PELE",25
"PELE",17
"PELE",29
"PEMA",27
"PELE",20
"NAIN",31
"PELE",29
"PEMA",24
"PEMA",26
"PELE",17
"PELE",25
"PELE",29
"PELE",15
"PELE",24
"PELE",26
"PELE",15
"PELE",12
"PELE",16
"PELE",25
"PELE",28
"PELE",30
"PEMA",31
"PEMA",26
"PELE",16
"PELE",32
"PELE",25
"NAIN",24
"PEMA",25
"PEMA",26
"PELE",16
"PEMA",24
"PEMA",18
