"taxonID","weight"
"REMO",15
"ONLE",41
"PEMA",22
"REME",12
"ONLE",44
"ONLE",25
"REMO",17
"CHHI",15
"REME",16
"REME",19
"MIOC",38
"ONLE",29
"ONLE",30
"CHHI",54
"ONLE",26
"ONLE",35
"ONLE",54
"ONLE",19
"ONLE",30
"PEMA",25
"PEMA",24
"ONLE",50
"ONLE",31
"PEMA",19
"ONLE",41
"ONLE",44
"ONLE",28
"ONLE",51
"ONLE",31
"CHHI",66
"ONLE",27
"PEMA",17
"PEMA",20
"MIOC",40
"REMO",14
"ONLE",51
"PEMA",24
"PEMA",17
"ONLE",28
"ONLE",22
"ONLE",30
"ONLE",27
"ONLE",44
"PEMA",19
"ONLE",24
"ONLE",47
"PEMA",20
"ONLE",13
"ONLE",22
"ONLE",30
"ONLE",23
"PEMA",17
"ONLE",21
"ONLE",50
"MIOC",40
"ONLE",30
"ONLE",20
"ONLE",32
"ONLE",22
"PEMA",17
"CHHI",66
"ONLE",48
"PEMA",19
"PEMA",24
"ONLE",27
"CHHI",44
"PEMA",20
"ONLE",31
"ONLE",44
"PEMA",26
"ONLE",44
"ONLE",41
"MIOC",38
"PEMA",19
"CHHI",50
"ONLE",35
"REMO",15
"ONLE",40
"ONLE",42
"ONLE",53
"CHHI",30
"ONLE",22
"ONLE",34
"CHHI",56
"CHHI",23
"ONLE",35
"CHHI",18
"ONLE",20
"ONLE",18
"ONLE",16
"ONLE",19
"ONLE",36
"ONLE",34
"CHHI",48
"ONLE",28
"CHHI",54
"PEMA",29
"ONLE",18
"ONLE",38
"ONLE",42
"ONLE",18
"PEMA",35
"CHHI",20
"ONLE",36
"ONLE",35
"ONLE",17
"ONLE",21
"ONLE",43
"CHHI",15
"ONLE",21
"CHHI",23
"CHHI",56
"ONLE",16
"ONLE",14
"CHHI",40
"ONLE",23
"ONLE",30
"ONLE",47
"ONLE",46
"ONLE",21
"ONLE",30
"ONLE",42
"ONLE",19
"ONLE",34
"ONLE",17
"ONLE",36
"ONLE",21
"ONLE",40
"REME",11
"ONLE",19
"ONLE",22
"ONLE",17
"ONLE",33
"ONLE",41
"ONLE",35
"ONLE",18
"ONLE",29
"ONLE",31
"REMO",14
"ONLE",39
"PEMA",24
"ONLE",44
"ONLE",16
"ONLE",29
"ONLE",38
"CHHI",45
"ONLE",18
"CHHI",30
"CHHI",20
"ONLE",30
"ONLE",28
"CHHI",70
"ONLE",43
"PEMA",19
"CHHI",42
"PEMA",21
"PEMA",18
"REMO",10
"MIOC",30
"REMO",14
"CHHI",36
"ONLE",37
"ONLE",36
"ONLE",19
"ONLE",21
"CHHI",36
"CHHI",36
"CHHI",36
"ONLE",37
"ONLE",36
"ONLE",19
"ONLE",21
"ONLE",21
"PEMA",20
"ONLE",35
"ONLE",26
"PEMA",18
"MIOC",28
"PEMA",21
"ONLE",19
"PEMA",21
"PEMA",15
"REMO",9
"PEMA",17
"CHHI",41
"ONLE",30
"ONLE",32
"CHHI",46
"ONLE",39
"ONLE",40
"ONLE",29
"ONLE",32
"ONLE",30
"ONLE",26
"CHHI",52
"ONLE",35
"ONLE",34
"CHHI",41
"ONLE",30
"ONLE",32
"CHHI",46
"ONLE",39
"ONLE",40
"ONLE",29
"ONLE",32
"ONLE",30
"ONLE",26
"CHHI",52
"ONLE",35
"ONLE",34
"CHHI",41
"ONLE",34
"ONLE",43
"ONLE",19
"ONLE",18
"ONLE",26
"PEMA",20
"ONLE",34
"REMO",13
"REMO",11
"MIOC",47
"CHHI",44
"REMO",11
"PEMA",22
"PEMA",24
"ONLE",54
"MIOC",30
"PEMA",18
"CHHI",30
"PEMA",18
"MIOC",30
"PEMA",18
"CHHI",30
"PEMA",18
"ONLE",26
"PEMA",20
"PEMA",16
"ONLE",25
"PEMA",16
"ONLE",24
"REMO",11
"MIOC",47
"CHHI",44
"REMO",11
"PEMA",22
"PEMA",24
"ONLE",54
"CHHI",30
"ONLE",33
"CHHI",30
"ONLE",25
"ONLE",35
"ONLE",27
"PEMA",15
"ONLE",28
"ONLE",18
"ONLE",22
"ONLE",40
"ONLE",19
"CHHI",48
"ONLE",34
"ONLE",37
"ONLE",33
"CHHI",62
"CHHI",53
"ONLE",40
"ONLE",43
"ONLE",36
"ONLE",30
"ONLE",34
"PEMA",22
"CHHI",44
"ONLE",42
"ONLE",33
"REMO",19
"CHHI",26
"CHHI",40
"ONLE",40
"ONLE",28
"ONLE",28
"CHHI",52
"ONLE",29
"ONLE",36
"CHHI",23
"ONLE",34
"ONLE",28
"ONLE",28
"CHHI",52
"ONLE",37
"ONLE",29
"ONLE",36
"CHHI",23
"CHHI",45
"ONLE",33
"ONLE",34
"ONLE",36
"ONLE",36
"ONLE",42
"MUMU",16
"ONLE",44
"ONLE",34
"PEMA",22
"ONLE",35
"ONLE",37
"CHHI",45
"ONLE",40
"ONLE",38
"ONLE",39
"PEMA",20
"ONLE",37
"PEMA",17
"PEMA",21
"REME",13
"REME",12
"REME",19
"REME",14
"REME",12
"REME",13
"CHHI",23
"REME",11
"REME",14
"PEMA",20
"MIOC",43
"REME",13
"PEMA",20
"REME",17
"PEMA",20
"PEMA",19
"REME",13
"REME",20
"MIOC",31
"REME",13
"MIOC",39
"REME",19
"PEMA",25
"PEMA",21
"ONLE",21
"REMO",14
"PEMA",21
"ONLE",40
"ONLE",38
"REMO",11
"ONLE",38
"ONLE",27
"ONLE",33
"ONLE",34
"ONLE",38
"DIOR",60
"PEMA",17
"PEMA",21
"ONLE",32
"PEMA",15
"ONLE",35
"PEMA",16
"ONLE",37
"PEMA",25
"PEMA",13
"REMO",12
"REMO",10
"PEMA",20
"ONLE",34
"PEMA",17
"ONLE",39
"ONLE",25
"ONLE",36
"REMO",12
"REME",11
"MIOC",40
"REMO",14
"REME",13
"REMO",9
"REME",13
"REME",11
"PEMA",19
"REME",10
"REME",18
"MIOC",22
"REME",11
"PEMA",18
"REME",8
"REME",10
"PEMA",16
