"taxonID","weight"
"PEGO",23
"PELE",24
"PELE",26
"PEGO",27
"PELE",20
"PELE",15
"PELE",16
"PELE",15
"PELE",25
"PEPO",15
"PELE",25
"PELE",20
"PELE",25
"PELE",24
"PELE",25
"PEGO",27
"PEGO",31
"PEGO",25
"PEGO",24
"PELE",24
"PELE",23
"PELE",26
"PELE",22
"PELE",22
"PELE",22
"PEGO",26
"PEGO",26
"PELE",16
"PELE",24
"PELE",25
"PEGO",24
"PEGO",25
"PELE",22
"PELE",23
"PELE",25
"PELE",26
"PELE",22
"PELE",24
"PELE",16
"PEGO",26
"PEGO",24
"PELE",24
"PEGO",25
"PELE",25
"PEGO",28
"PELE",23
"PEGO",34
"PELE",26
"OCNU",16
"PELE",22
"PEGO",32
"PELE",27
"PELE",26
"PELE",24
"PEGO",31
"PEGO",31
"PELE",29
"PELE",23
"PELE",25
"PEGO",27
"PEGO",30
"PEGO",31
"PEGO",28
"PEGO",30
"PEGO",25
"PELE",23
"PEGO",25
"PELE",18
"OCNU",16
"PELE",15
"PELE",27
"PELE",23
"PEGO",31
"PELE",29
"PELE",23
"PELE",24
"PELE",25
"PEGO",30
"PEGO",32
"PELE",13
"PELE",16
"PEGO",24
"PEGO",27
"PELE",25
"PEGO",25
"PELE",25
"PEGO",30
"PEGO",29
"PELE",18
"PEGO",36
"PELE",30
"PELE",25
"PEGO",30
"PEGO",26
"PELE",25
"PELE",29
"PEGO",32
"MIPI",18
"PELE",17
"PEGO",27
"PELE",28
"PEGO",32
"PELE",31
"PEGO",36
"PEGO",33
"PEGO",33
"PELE",29
"PELE",31
"PELE",26
"PEGO",33
"PELE",28
"PEGO",32
"PEGO",26
"PEGO",34
"PEGO",31
"PELE",30
"PEGO",31
"PEGO",27
"PEGO",29
"PEGO",34
"PELE",31
"PEGO",35
"PELE",24
"PEGO",34
"PELE",32
"PELE",25
"PELE",38
"PEGO",31
"PEGO",30
"PELE",33
"PELE",24
"PEGO",34
"PELE",33
"PELE",20
"PELE",21
"PEGO",26
"PEGO",30
"PEGO",31
"PELE",22
"PEGO",26
"PELE",18
"PEGO",25
"PELE",18
"PELE",18
"PELE",22
"PEGO",20
"PELE",15
"PEGO",31
"PEGO",11
"PEGO",26
"PELE",25
"PEGO",27
"PEGO",20
"PEGO",21
"PELE",15
"PELE",21
"PEGO",20
"PEGO",18
"PEGO",30
"PEGO",21
"PEGO",26
"PEGO",36
"PEGO",11
"PEGO",22
"PEGO",12
"PEGO",30
"PEGO",30
"PEGO",17
"PELE",23
"PELE",24
"PELE",17
"PEGO",25
"PEGO",16
"PELE",14
"PEGO",11
"PEGO",31
"PELE",17
"PEGO",20
"PELE",15
"PEGO",24
"PEGO",20
"PEGO",26
"PEGO",17
"PEGO",21
"PEGO",25
"PEGO",23
"PEGO",11
"PEGO",32
"PEGO",22
"PELE",18
"PEGO",19
"PEGO",21
"PEGO",15
"PEGO",21
"PEGO",25
"PEGO",27
"PEGO",19
"PEGO",24
"PELE",13
"PELE",10
"PELE",14
"PEGO",23
"PEGO",26
"PEGO",20
"PEGO",20
"PELE",12
"PEGO",28
"PELE",11
"PEGO",22
"PEGO",24
"PEGO",22
"PEGO",17
"PEGO",22
"PEGO",23
"PEGO",24
"PEGO",16
"PEGO",24
"PEGO",17
"PEGO",32
"PEGO",24
"PEGO",10
"PEGO",22
"PELE",17
"PEGO",18
"PEGO",22
"PELE",19
"PEGO",18
"PEGO",19
"PEGO",20
"PEGO",22
"PEGO",22
"PELE",16
"PELE",10
"PEGO",11
"PEGO",22
"PEGO",18
"PEGO",22
"PEGO",32
"PEGO",23
"PEGO",21
"PEGO",22
"PEGO",21
"PEGO",25
"PELE",11
"PELE",19
"PEGO",20
"PEGO",18
"PEGO",25
"PELE",20
"PELE",17
"PEGO",23
"PELE",12
"PELE",15
"PEGO",21
"OCNU",14
"PEGO",25
"OCNU",17
"PELE",18
"PEGO",23
"PEGO",19
"PEGO",29
"PELE",15
"PELE",17
"PEGO",26
"PEGO",28
"OCNU",15
"PEGO",23
"PEGO",23
"PEGO",24
"PEGO",18
"PELE",17
"PEGO",22
"PEGO",20
"PEGO",23
"PEGO",25
"PEGO",21
"PEGO",30
"PEGO",24
"PEGO",31
"PEGO",22
"PEGO",20
"PEGO",25
"PEGO",28
"PEGO",27
"PELE",16
"PELE",19
"PEGO",18
"PEGO",15
"PEGO",19
"PELE",14
"PEGO",16
"PEGO",14
"PEGO",18
"PELE",17
"PEGO",14
"PELE",17
"PEGO",17
"PELE",17
"PEGO",20
"PEGO",29
"PEGO",22
"PEGO",21
"PELE",17
"PEGO",26
"PEGO",20
"PEGO",22
"PEGO",19
"PEGO",27
"PELE",15
"PEGO",21
"PEGO",23
"PEGO",29
"PEGO",20
"PEGO",21
"PEGO",23
"PEGO",20
"PEGO",21
"PEGO",21
"PELE",15
"PEGO",21
"PEGO",22
"PEGO",24
"PEGO",22
"PEGO",20
"PELE",15
"PELE",14
"PELE",15
"PEGO",22
"PEGO",20
"PEGO",16
"PEGO",21
"PEGO",20
"PEGO",24
"PEGO",26
"PELE",16
"PEGO",23
"PEGO",15
"PEGO",23
"PEGO",22
"PEGO",25
"OCNU",15
"PEGO",24
"PELE",10
"PEGO",25
"PELE",15
"PEGO",20
"OCNU",17
"PEGO",19
"PELE",15
"PEGO",17
"PEGO",25
"PELE",17
"PEGO",25
"PEGO",22
"PEGO",24
"PELE",19
"PEGO",24
"PEGO",24
"PEGO",23
"PELE",19
"PEGO",20
"PEGO",21
"PEGO",23
"PEGO",25
"PELE",16
"PELE",20
"PEGO",24
"PEGO",16
"PEGO",18
"PELE",16
"PEGO",33
"PEGO",15
"PEGO",19
"PEGO",17
"PEGO",24
"PELE",17
"PEGO",19
"PELE",19
"PEGO",25
"PEGO",23
"PELE",15
"PEGO",22
"PEGO",22
"PEGO",21
"PEGO",30
"PELE",20
"PEGO",20
"PEGO",22
"PEGO",26
"PEGO",17
"PEGO",17
"PEGO",19
"PEGO",17
"PEGO",24
"PELE",18
"PEGO",23
"PEGO",24
"PELE",14
"PELE",17
"PEGO",21
"PEGO",23
"PEGO",28
"PELE",21
"PELE",19
