"taxonID","weight"
"PELE",13
"PEMA",14
"PEMA",20
"PELE",26
"PELE",22
"PELE",21
"PELE",20
"PELE",20
"PELE",17
"ZAHU",18
"PELE",14
"PEMA",18
"MYGA",23
"PELE",16
"PELE",21
"PELE",14
"ZAHU",16
"PELE",13
"PELE",18
"PELE",25
"PELE",14
"PEMA",16
"PEMA",20
"PELE",19
"PELE",24
"PELE",23
"PELE",13
"PELE",16
"PELE",24
"MYGA",25
"PELE",17
"MYGA",23
"PEMA",18
"MYGA",21
"MYGA",16
"MYGA",20
"ZAHU",23
"MYGA",12
"PELE",22
"MYGA",19
"PEMA",18
"PEMA",22
"PELE",20
"MYGA",25
"MYGA",29
"PELE",18
"NAIN",26
"ZAHU",20
"ZAHU",20
"PELE",13
"PELE",16
"ZAHU",21
"MYGA",13
"ZAHU",21
"MYGA",22
"MYGA",11
"PELE",18
"PELE",22
"PELE",21
"PELE",17
"ZAHU",22
"PELE",18
"PELE",25
"MYGA",24
"ZAHU",25
"NAIN",23
"PELE",24
"MYGA",17
"PELE",23
"PELE",16
"ZAHU",22
"MYGA",11
"MYGA",23
"MYGA",13
"MYGA",17
"PELE",16
"PELE",19
"ZAHU",9
"PEMA",20
"PELE",18
"PEMA",23
"PELE",15
"PELE",22
"PEMA",27
"PELE",20
"PELE",29
"MYGA",19
"MYGA",14
"MYGA",25
"MYGA",23
"PELE",24
"PEMA",9
"PEMA",18
"PELE",22
"MYGA",20
"PEMA",9
"PEMA",21
"PELE",21
"PELE",12
"MYGA",17
"PELE",21
"MYGA",21
"PELE",20
"PEMA",19
"PELE",18
"MYGA",20
"PELE",22
"MYGA",20
"MYGA",26
"MYGA",12
"PEMA",21
"ZAHU",18
"ZAHU",17
"PEMA",21
"PELE",24
"MYGA",16
"PELE",14
"PELE",17
"PELE",18
"PELE",22
"PELE",20
"PELE",14
"PELE",9
"PELE",20
"PELE",16
"PELE",14
"PELE",14
"MYGA",21
"NAIN",30
"ZAHU",25
"PELE",24
"NAIN",31
"PEMA",22
"MYGA",25
"PEMA",20
"PELE",21
"PEMA",23
"MYGA",25
"PELE",23
"PELE",10
"PELE",21
"PEMA",24
"MYGA",20
"PELE",15
"MYGA",16
"MYGA",18
"PEMA",24
"PELE",15
"PELE",23
"ZAHU",17
"PEMA",18
"MYGA",16
"PEMA",17
"PELE",20
"PEMA",24
"MYGA",26
"PEMA",17
"PELE",22
"PEMA",14
"MYGA",24
"PELE",15
"PEMA",21
"PELE",24
"MYGA",21
"PEMA",15
"PELE",24
"MYGA",24
"PELE",21
"PEMA",19
"MYGA",13
"PELE",25
"PELE",26
"PELE",24
"PEMA",23
"MYGA",25
"PEMA",18
"PELE",17
"MYGA",29
"PEMA",19
"PELE",21
"PELE",25
"PELE",29
"PEMA",23
"PEMA",27
"PEMA",16
"PEMA",28
"PEMA",28
"PELE",20
"PELE",26
"PELE",22
"PELE",21
"PELE",11
"PELE",15
"PEMA",27
"PELE",26
"PEMA",23
"ZAHU",9
"PELE",22
"PELE",27
"PELE",23
"MYGA",30
"PELE",19
"PELE",20
"MYGA",21
"PELE",21
"PELE",16
"PELE",14
"PELE",20
"PELE",23
"PEMA",27
"MYGA",19
"PELE",20
"PEMA",20
"PELE",19
"NAIN",31
"ZAHU",17
"PEMA",23
"ZAHU",18
"PELE",12
"PELE",29
"ZAHU",16
"PELE",22
"PELE",27
"PELE",31
"PEMA",22
"MYGA",20
"PEMA",23
"PELE",21
"PEMA",15
"PEMA",16
"PELE",17
"ZAHU",17
"PELE",21
"MYGA",26
"PELE",17
"PELE",19
"PELE",26
"PELE",21
"PELE",28
"MYGA",22
"PEMA",24
"PELE",17
"PELE",21
"PEMA",16
"PEMA",15
"PEMA",15
"PEMA",24
"PEMA",22
"PEMA",16
"PELE",10
"PELE",20
"PEMA",21
"PELE",14
"PEMA",12
"PELE",17
"PEMA",17
"PELE",16
"PEMA",23
"PELE",29
"ZAHU",16
"PELE",21
"PELE",20
"PEMA",17
"PELE",18
"PELE",14
"MYGA",13
"PELE",15
"PEMA",20
"PELE",21
"PELE",31
"PEMA",20
"MYGA",24
"PELE",26
"MYGA",17
"MYGA",19
"NAIN",31
"PEMA",24
"PELE",20
"PEMA",16
"MYGA",29
"PELE",30
"PEMA",23
"PELE",24
"PELE",20
"PELE",15
"PEMA",17
"PEMA",14
"MYGA",18
"PEMA",18
"PEMA",15
"ZAHU",13
"PEMA",15
"PELE",20
"MYGA",20
"MYGA",16
"PELE",27
"PEMA",19
"PEMA",15
"PEMA",13
"MYGA",26
"PELE",17
"ZAHU",17
"PEMA",20
"PEMA",19
"PELE",15
"PEMA",17
"PEMA",16
"PEMA",17
"PELE",15
"PEMA",15
"PELE",17
"PEMA",15
"PELE",19
"PELE",17
"PELE",13
"PEMA",18
"PELE",11
"PELE",20
"PEMA",13
"PEMA",17
"PEMA",15
"PEMA",15
"PEMA",13
"PELE",24
"PELE",16
"PELE",13
"MYGA",15
"PEMA",20
"MYGA",25
"PELE",21
"PEMA",12
"PELE",13
"PELE",11
"PEMA",16
"PELE",11
"PELE",13
"PELE",15
"PELE",16
"PELE",26
"ZAHU",25
"PEMA",14
"PELE",18
"ZAHU",21
"PEMA",19
"PEMA",20
"ZAHU",24
"PEMA",19
"PEMA",25
"MYGA",19
"ZAHU",21
"ZAHU",22
"NAIN",26
"ZAHU",19
"PELE",21
"ZAHU",20
"ZAHU",22
"MYGA",13
"PEMA",24
"PELE",27
"MYGA",23
"PEMA",25
"MYGA",30
"PEMA",23
"PEMA",30
"PEMA",15
"PEMA",24
"PEMA",22
"PELE",22
"MYGA",26
"MYGA",23
"PELE",19
"PELE",25
"MYGA",26
"ZAHU",20
"PEMA",20
"MYGA",27
"MYGA",27
"ZAHU",21
"MYGA",13
"PEMA",24
"MYGA",23
"PELE",24
"PELE",20
"ZAHU",22
"ZAHU",16
"NAIN",27
"ZAHU",16
"MYGA",19
"MYGA",13
"MYGA",17
"ZAHU",20
"PELE",22
"PEMA",25
"PEMA",29
"PEMA",25
"PELE",26
"PEMA",27
"PEMA",23
"PEMA",16
"MYGA",22
"PEMA",16
"PEMA",15
"PEMA",15
"PELE",23
"PEMA",14
"ZAHU",23
"PELE",18
"PELE",19
"MYGA",29
"PELE",17
"PEMA",22
"MYGA",23
"PELE",19
"ZAHU",18
"ZAHU",18
"PEMA",16
"PELE",19
"PELE",22
"ZAHU",16
"PELE",21
"PELE",26
"PEMA",13
"MYGA",10
"PELE",20
"MYGA",9
"PELE",21
"MYGA",23
"PELE",16
"PELE",20
"PELE",25
"PEMA",20
"PELE",30
"PELE",21
"PELE",20
"PELE",23
"MYGA",30
"PELE",23
"PEMA",23
"ZAHU",19
