"taxonID","weight"
"PEMA",17
"PELE",16
"PEMA",14
"PEMA",22
"PEMA",26
"PELE",13
"PEMA",29
"MYGA",24
"MYGA",14
"PELE",24
"MYGA",24
"PELE",16
"PEMA",14
"PEMA",24
"PEMA",13
"PEMA",14
"PEMA",32
"PEMA",21
"PEMA",16
"MYGA",15
"PEMA",14
"PELE",19
"PEMA",13
"PEMA",15
"MYGA",14
"PEMA",22
"PEMA",20
"PELE",35
"PEMA",14
"PEMA",17
"PEMA",24
"PELE",22
"PEMA",19
"MYGA",21
"PEMA",29
"NAIN",35
"PELE",14
"MYGA",15
"MYGA",18
"MYGA",26
"NAIN",32
"PEMA",25
"PEMA",19
"PEMA",21
"PEMA",22
"MYGA",17
"PEMA",21
"PEMA",21
"PEMA",20
"NAIN",13
"PEMA",17
"PEMA",15
"MYGA",20
"PEMA",20
"PEMA",17
"NAIN",22
"PEMA",25
"PEMA",22
"PEMA",14
"PEMA",15
"PEMA",13
"PEMA",17
"PEMA",16
"PELE",28
"PELE",12
"PEMA",16
"PEMA",12
"PELE",14
"NAIN",13
"PELE",12
"PEMA",17
"PEMA",23
"PELE",15
"PEMA",16
"PEMA",14
"PELE",12
"PEMA",15
"PELE",20
"PEMA",22
"PEMA",18
"PELE",13
"NAIN",14
"PEMA",16
"PELE",12
"NAIN",28
"PEMA",16
"PEMA",20
"PEMA",14
"MYGA",24
"PEMA",14
"PEMA",20
"PELE",15
"PELE",15
"PELE",23
"PELE",30
"PEMA",16
"PEMA",16
"PELE",28
"MYGA",23
"PELE",23
"PELE",14
"PEMA",22
"PELE",14
"PELE",16
"PEMA",14
"PEMA",19
"PEMA",14
"PEMA",22
"PEMA",21
"PELE",15
"PEMA",13
"PEMA",16
"PEMA",16
"MYGA",24
"MYGA",14
"MYGA",13
"PEMA",18
"PEMA",17
"PEMA",17
"PEMA",20
"MYGA",17
"MYGA",18
"PEMA",25
"PEMA",21
"NAIN",12
"PEMA",16
"PEMA",18
"PEMA",20
"PEMA",13
"PELE",16
"PEMA",19
"PELE",12
"PEMA",19
"PEMA",23
"MYGA",19
"PEMA",17
"PEMA",17
"PEMA",18
"PEMA",22
"PEMA",85
"PEMA",16
"PEMA",20
"NAIN",18
"PEMA",17
"PEMA",16
"PEMA",12
"PELE",23
"PELE",20
"PEMA",21
"NAIN",14
"PELE",29
"PELE",21
"MYGA",32
"PELE",13
"PELE",19
"PEMA",17
"PEMA",15
"PELE",17
"PELE",17
"PELE",14
"PEMA",17
"MYGA",31
"MYGA",23
"PEMA",23
"PEMA",26
"PEMA",23
"PEMA",15
"MYGA",21
"PELE",26
"PELE",13
"PEMA",17
"PEMA",18
"PELE",23
"PEMA",15
"PEMA",14
"PEMA",29
"PEMA",22
"PEMA",17
"PEMA",14
"MYGA",26
"PEMA",16
"PELE",17
"PELE",19
"PEMA",15
"PELE",17
"PEMA",14
"PEMA",20
"PEMA",15
"PEMA",16
"PEMA",17
"MYGA",15
"PELE",23
"PEMA",20
"PEMA",17
"PEMA",16
"PEMA",21
"PELE",18
"PEMA",21
"PEMA",14
"PEMA",23
"PEMA",19
"PEMA",15
"PEMA",21
"PEMA",12
"PELE",14
"NAIN",21
"NAIN",19
"NAIN",13
"PEMA",19
"NAIN",24
"PEMA",18
"NAIN",14
"MYGA",32
"PEMA",13
"PEMA",18
"NAIN",31
"NAIN",33
"PEMA",16
"NAIN",17
"NAIN",30
"PEMA",18
"PEMA",21
"PEMA",16
"PEMA",10
"PELE",17
"NAIN",26
"PEMA",12
"PEMA",12
"PEMA",19
"MYGA",13
"PEMA",15
"PEMA",17
"PELE",29
"NAIN",26
"PEMA",15
"PEMA",17
"NAIN",23
"NAIN",28
"PEMA",15
"NAIN",23
"PEMA",20
"PEMA",23
"PELE",19
"PEMA",13
"PEMA",14
"PEMA",17
"PEMA",15
"MYGA",13
"NAIN",27
"NAIN",27
"PELE",15
"MYGA",18
"PEMA",24
"PEMA",17
"PEMA",13
"NAIN",29
"PEMA",17
"PEMA",12
"PELE",14
"NAIN",21
"PEMA",16
"MYGA",14
"PEMA",18
"PEMA",20
"PEMA",20
"PEMA",17
"PEMA",15
"NAIN",20
"PEMA",15
"PEMA",18
"PEMA",22
"MYGA",17
"PELE",12
"PEMA",16
"PEMA",12
"NAIN",22
"PEMA",16
"PELE",16
"PEMA",15
"PEMA",15
"PEMA",16
"NAIN",18
"PEMA",17
"PEMA",21
"MYGA",20
"PEMA",11
"PEMA",12
"PEMA",17
"PEMA",20
"PEMA",17
"PEMA",17
"PEMA",17
"PEMA",18
"NAIN",27
"NAIN",20
"NAIN",33
"PEMA",16
"PEMA",17
"PEMA",20
"MYGA",18
"PEMA",15
"NAIN",24
"PEMA",16
"NAIN",30
"MYGA",17
"NAIN",30
"PELE",18
"PELE",15
"PELE",13
"PEMA",16
"PEMA",15
"PEMA",22
"PEMA",22
"PEMA",13
"PEMA",11
"PEMA",12
"NAIN",26
"PELE",21
"PEMA",21
"PELE",20
"PEMA",12
"PEMA",16
"MYGA",17
"MYGA",15
"MYGA",26
"PEMA",15
"PEMA",20
"PEMA",15
"PELE",17
"PEMA",17
"PEMA",16
"NAIN",33
"PEMA",23
"MYGA",20
"PEMA",17
"PEMA",18
"PELE",26
"MYGA",19
"PEMA",15
"PEMA",21
"PELE",15
"PELE",16
"PEMA",15
"PELE",31
"PEMA",22
"PEMA",16
"NAIN",22
"PELE",12
"PELE",19
"NAIN",29
"PEMA",17
"PEMA",16
"PEMA",17
"PEMA",14
"MYGA",21
"PEMA",16
"NAIN",29
"PEMA",21
"PEMA",16
"PEMA",17
"PEMA",17
"PEMA",16
"NAIN",22
"PEMA",17
"PEMA",17
"PEMA",14
"NAIN",31
"MYGA",20
"PELE",16
"PEMA",13
"PEMA",15
"PEMA",14
"NAIN",23
"PEMA",17
"PELE",15
"PEMA",20
"PEMA",13
"PEMA",12
"PEMA",13
"NAIN",20
"PEMA",16
"MYGA",18
"PEMA",12
"PELE",13
"PEMA",14
"PEMA",20
"NAIN",28
"PELE",12
"PEMA",17
"PEMA",15
"PEMA",13
"NAIN",32
"PELE",17
"MYGA",18
"PEMA",19
"NAIN",29
"PEMA",20
"MYGA",20
"NAIN",22
"NAIN",22
"PEMA",23
"PELE",16
"NAIN",25
"PEMA",16
"PEMA",15
"PEMA",14
"PELE",13
"PEMA",16
"PELE",11
"PELE",13
"PEMA",18
"PEMA",14
"PEMA",15
"PELE",16
"NAIN",28
"NAIN",29
"NAIN",29
"PEMA",16
"PEMA",16
"PEMA",25
"PEMA",16
"PEMA",15
"PEMA",22
"PEMA",15
"PEMA",16
"PEMA",17
"PEMA",17
"PELE",20
"NAIN",21
"PEMA",15
"PEMA",18
"PEMA",15
"PEMA",12
"NAIN",17
"PEMA",17
"NAIN",32
"PEMA",19
"PEMA",15
"PEMA",20
"PEMA",15
"PELE",15
"PEMA",15
"PEMA",17
"PEMA",17
"PEMA",17
"NAIN",17
"PELE",15
"PEMA",20
"PEMA",16
"PEMA",14
"PEMA",15
"PEMA",15
"PEMA",19
"PEMA",16
"NAIN",25
"PEMA",16
"PEMA",14
"PEMA",17
"PELE",26
"PELE",25
"PELE",14
"PELE",18
"PELE",16
"PELE",23
"PEMA",18
"PEMA",14
"PEMA",14
"PEMA",17
"MYGA",15
"PELE",16
"PEMA",16
"PEMA",16
"PEMA",15
"PEMA",14
"PELE",24
"PEMA",16
"PEMA",14
"PEMA",12
"PEMA",17
"PEMA",15
"PEMA",21
"MYGA",12
"PEMA",16
"PEMA",25
"MYGA",22
"PEMA",15
"NAIN",20
"PEMA",16
"MYGA",24
"NAIN",28
"PELE",12
"MYGA",16
"PEMA",12
"PEMA",13
"MYGA",17
"NAIN",26
"PEMA",17
"MYGA",16
"PEMA",23
"PEMA",18
"PEMA",25
"PEMA",24
"PEMA",20
"PEMA",16
"PEMA",17
"PEMA",20
"MYGA",15
"PEMA",17
"PEMA",8
"PEMA",16
"MYGA",18
"PEMA",21
"PEMA",10
"PELE",13
"PELE",23
"NAIN",24
"MYGA",22
"NAIN",28
"MYGA",14
"PELE",29
"PEMA",18
"MYGA",15
"NAIN",17
"PEMA",20
"PELE",17
"PELE",15
"PELE",14
"PEMA",17
"PEMA",19
"PELE",15
"PEMA",16
"PEMA",17
"MYGA",16
"PELE",18
"PEMA",17
"PEMA",17
"PEMA",17
"MYGA",24
"PEMA",16
"PELE",17
"MYGA",17
"PELE",11
"PELE",11
"NAIN",21
"PELE",22
"PEMA",16
"PEMA",18
"PELE",22
"PEMA",27
"PEMA",19
"PELE",25
"MYGA",24
"PELE",18
"NAIN",27
"PELE",24
"MYGA",17
"PELE",20
"PEMA",26
"PEMA",12
"PELE",24
"PELE",22
