"taxonID","weight"
"PEKE",20
"PEMA",16
"PEMA",16
"PEMA",12
"PEKE",16
"PEKE",17
"PEKE",15
"PEKE",16
"PEKE",15
"PEMA",16
"PEMA",14
"PEKE",15
"PEMA",15
"PEMA",15
"PEKE",20
"PEMA",14
"PEKE",16
"PEMA",16
"PEKE",17
"PEMA",16
"PEKE",15
"PEKE",16
"PEKE",20
"PEMA",17
"PEKE",17
"PEMA",15
"PEMA",15
"PEKE",21
"PEKE",17
"PEKE",18
"PEMA",16
"PEMA",17
"PEMA",15
"PEMA",18
"PEMA",17
"PEKE",19
"PEMA",16
"PEMA",17
"PEKE",16
"PEMA",14
"PEKE",15
"PEKE",17
"PEKE",15
"PEMA",15
"MYGA",16
"PEMA",16
"PEKE",18
"PEMA",18
"PEMA",18
"PEMA",15
"PEMA",22
"PEMA",18
"PEKE",16
"PEMA",14
"PEMA",18
"PEMA",17
"MYGA",17
"MYGA",16
"PEMA",13
"PEMA",15
"PEMA",15
"PEMA",16
"PEMA",18
"MYGA",15
"PEMA",15
"PEKE",15
"PEKE",16
"PEMA",13
"PEMA",14
"PEMA",12
"PEMA",13
"PEMA",18
"PEKE",19
"PEMA",17
"PEKE",17
"PEKE",14
"PEMA",13
"PEMA",16
"PEKE",15
"PEMA",17
"PEKE",14
"PEMA",16
"PEKE",16
"PEKE",17
"PEKE",15
"PEMA",16
"PEMA",14
"PEKE",17
"PEKE",16
"PEKE",19
"PEMA",15
"PEKE",15
"PEKE",16
"PEKE",15
"PEMA",15
"PEMA",16
"PEKE",14
"PEKE",16
"MYGA",15
"PEMA",16
"PEMA",14
"PEMA",17
"PEKE",20
"PEMA",15
"PEMA",17
"PEMA",14
"PEKE",18
"PEKE",16
"PEMA",17
"PEMA",17
"PEKE",18
"PEMA",14
"PEMA",14
"PEMA",15
"PEMA",14
"PEMA",18
"PEKE",15
"PEMA",20
"PEMA",15
"PEKE",17
"PEMA",14
"PEMA",17
"PEMA",17
"PEKE",17
"PEMA",15
"PEMA",14
"PEMA",13
"PEMA",16
"PEMA",15
"PEMA",15
"PEMA",15
"PEMA",15
"PEMA",14
"PEKE",13
"PEMA",13
"PEKE",14
"PEMA",13
"PEMA",20
"PEMA",17
"PEMA",14
"PEKE",18
"PEMA",16
"PEKE",15
"PEMA",15
"PEKE",18
"PEMA",17
"PEMA",17
"PEMA",16
"PEMA",15
"PEMA",17
"PEKE",13
"PEMA",14
"PEKE",20
"PEKE",20
"PEKE",19
"PEMA",16
"PEMA",17
"PEMA",19
"PEMA",21
"PEKE",19
"PEMA",10
"PEKE",18
"PEKE",17
"PEMA",19
"PEKE",16
"PEKE",18
"PEKE",20
"PEKE",17
"PEMA",18
"PEKE",26
"PEKE",21
"PEMA",21
"PEMA",16
"PEKE",20
"PEKE",20
"PEMA",18
"PEKE",17
"PEKE",18
"PEKE",20
"PEMA",17
"PEMA",17
"PEKE",19
"PEKE",21
"PEKE",21
"PEKE",21
"PEMA",16
"PEKE",16
"PEKE",18
"PEMA",25
"PEKE",16
"PEKE",21
"PEMA",20
"PEKE",20
"MIOR",16
"PEKE",23
"PEKE",24
"PEKE",20
"PEKE",25
"PEKE",21
"PEKE",20
"PEKE",23
"PEKE",27
"PEMA",20
"PEKE",27
"MYGA",16
"PEKE",19
"PEMA",20
"PEKE",26
"MYGA",16
"PEMA",21
"PEKE",18
"PEKE",19
"PEKE",20
"PEMA",22
"PEKE",21
"PEKE",23
"PEKE",23
"PEKE",20
"PEMA",21
"PEMA",18
"PEMA",20
"PEKE",19
"MYGA",20
"PEKE",20
"MYGA",16
"PEKE",28
"PEMA",18
"PEKE",24
"PEKE",28
"PEKE",22
"PEKE",19
"PEKE",24
"PEKE",25
"PEKE",24
"PEKE",24
"PEKE",28
"MYGA",16
"PEKE",20
"PEMA",14
"PEKE",19
"MYGA",14
"PEMA",20
"PEKE",22
"MYGA",15
"MYGA",16
"PEKE",21
"PEMA",22
"PEKE",20
"PEKE",18
"PEMA",16
"PEKE",20
"PEKE",21
"PEMA",20
"PEKE",26
"PEKE",23
"PEKE",25
"PEMA",23
"PEMA",19
"PEMA",23
"PEKE",22
"MIOR",14
"PEKE",30
"PEKE",25
"PEKE",22
"PEKE",21
"PEKE",27
"PEMA",15
"PEMA",17
"PEKE",21
"MYGA",17
"MYGA",17
"PEKE",26
"PEKE",25
"PEMA",18
"MYGA",19
"MYGA",24
"PEMA",23
"PEKE",22
"MYGA",21
"PEKE",31
"PEMA",19
"MYGA",20
"MYGA",21
"PEKE",25
"MYGA",17
"MIOR",14
"MYGA",21
"PEMA",21
"PEMA",17
"PEMA",17
"PEMA",16
"PEKE",20
"PEMA",23
"MYGA",24
"MYGA",21
"MYGA",22
"MYGA",19
"PEKE",21
"MYGA",19
"PEKE",21
"MYGA",17
"PEKE",23
"MYGA",20
"MYGA",18
"PEMA",21
"MYGA",20
"MYGA",22
"PEKE",23
"MYGA",18
"PEMA",21
"MYGA",18
"MYGA",21
"PEMA",11
"MYGA",19
"MYGA",23
"MYGA",21
"PEMA",12
"PEKE",22
"PEMA",19
"PEKE",17
"MYGA",19
"PEKE",14
"PEKE",21
"PEMA",16
"PEMA",21
"PEMA",23
"PEKE",21
"PEMA",14
"PEKE",26
"PEKE",26
"MYGA",21
"PEKE",22
"PEKE",25
"PEKE",21
"MYGA",13
"PEMA",15
"PEKE",16
"PEMA",15
"PEKE",29
"PEMA",15
"PEKE",24
"PEKE",24
"PEKE",14
"PEMA",21
"PEMA",15
"MYGA",21
"MIOR",15
"PEMA",9
"MYGA",14
"PEMA",12
"PEMA",13
"PEMA",15
"PEKE",23
"PEKE",23
"PEKE",15
"PEMA",19
"PEMA",24
"MIOR",15
"PEMA",14
"PEMA",18
"PEMA",12
"PEKE",20
"PEKE",21
"MYGA",13
"PEKE",29
"PEKE",17
"PEKE",23
"MYGA",23
"MYGA",16
"PEMA",12
"PEMA",14
"MYGA",20
"MYGA",17
"MYGA",18
"PEKE",24
"MYGA",19
"PEKE",20
"MYGA",17
"PEMA",22
"PEKE",19
"MYGA",17
"PEKE",17
"PEKE",18
"MYGA",24
"PEKE",20
"PEKE",22
"MIOR",15
"PEKE",23
"PEMA",18
"MYGA",16
"MYGA",20
"PEKE",23
"MIOR",15
"PEKE",25
"MYGA",15
"MYGA",16
"PEMA",22
"PEKE",17
"PEMA",15
"PEKE",18
"PEMA",16
"PEKE",25
"PEMA",18
"PEMA",6
"MYGA",14
"PEKE",24
"MYGA",18
"PEMA",14
"PEMA",14
"PEKE",17
"PEKE",24
"PEMA",9
"PEMA",16
"MYGA",14
"PEKE",17
"PEKE",20
"PEMA",14
"MYGA",14
"MYGA",18
"MYGA",22
"PEMA",13
"PEKE",20
"MYGA",13
"PEKE",25
"MYGA",16
"PEMA",17
"MYGA",17
"MYGA",17
"MYGA",19
"MYGA",16
"PEKE",22
"MYGA",14
"MYGA",14
"PEKE",20
"PEKE",16
