"taxonID","weight"
"PEMA",20
"PEMA",20
"PEMA",18
"PEMA",18
"PEMA",20
"PEMA",17
"PEMA",24
"PEMA",20
"PEMA",27
"PEMA",21
"PEMA",25
"PEMA",24
"PEMA",23
"PEMA",19
"PEMA",19
"PEMA",22
"PEMA",20
"PEMA",20
"ZAPR",36
"PEMA",23
"PEMA",30
"PEMA",19
"ZAPR",20
"PEMA",26
"PEMA",14
"PEMA",23
"PEMA",22
"PEMA",20
"PEMA",23
"PEMA",18
"PEMA",14
"PEMA",19
"PEMA",13
"PEMA",23
"PEMA",19
"PEMA",18
"PEMA",25
"PEMA",21
"PEMA",15
"PEMA",23
"PEMA",21
"MIPE",26
"PEMA",22
"PEMA",16
"PEMA",25
"PEMA",20
"PEMA",21
"PEMA",27
"PEMA",30
"PEMA",18
"ZAPR",29
"PEMA",21
"PEMA",15
"PEMA",16
"PEMA",31
"PEMA",23
"PEMA",14
"PEMA",30
"PEMA",24
"PEMA",17
"PEMA",14
"PEMA",26
"PEMA",13
"PEMA",22
"PEMA",17
"PEMA",15
"PEMA",24
"PEMA",19
"PEMA",11
"PEMA",27
"MIPE",39
"PEMA",20
"PEMA",13
"PEMA",14
"PEMA",24
"PEMA",10
"PEMA",18
"PEMA",14
"PEMA",19
"PEMA",11
"PEMA",17
"PEMA",22
"PEMA",14
"PEMA",20
"PEMA",16
"PEMA",18
"PEMA",16
"PEMA",16
"PEMA",13
"PEMA",11
"ZAPR",14
"PEMA",26
"PEMA",24
"PEMA",27
"PEMA",22
"ZAPR",19
"ZAPR",19
"PEMA",18
"PEMA",10
"PEMA",24
"PEMA",29
"PEMA",25
"PEMA",28
"PEMA",16
"PEMA",13
"PEMA",16
"PEMA",21
"PEMA",16
"PEMA",23
"ZAPR",26
"PEMA",27
"PEMA",15
"PEMA",24
"PEMA",20
"MIPE",32
"ZAPR",18
"PEMA",17
"PEMA",14
"PEMA",27
"MIPE",29
"PEMA",11
"PEMA",11
"PEMA",15
"PEMA",16
"PEMA",11
"PEMA",21
"PEMA",17
"ZAPR",21
"PEMA",20
"PEMA",18
"PEMA",14
"PEMA",26
"PEMA",15
"PEMA",13
"PEMA",18
"PEMA",19
"PEMA",13
"PEMA",18
"PEMA",18
"PEMA",15
"PEMA",21
"MIPE",34
"PEMA",11
"PEMA",17
"PEMA",20
"PEMA",23
"ZAPR",27
"MIPE",30
"PEMA",27
"PEMA",13
"ZAPR",21
"PEMA",21
"ZAPR",22
"PEMA",21
"PEMA",16
"PEMA",15
"PEMA",14
"ZAPR",27
"PEMA",18
"PEMA",24
"PEMA",10
"PEMA",15
"PEMA",14
"PEMA",17
"PEMA",14
"PEMA",22
"PEMA",15
"PEMA",11
"PEMA",13
"ZAPR",23
"PEMA",18
"PEMA",22
"PEMA",22
"PEMA",25
"ZAPR",21
"PEMA",20
"PEMA",15
"PEMA",19
"PEMA",10
"PEMA",20
"PEMA",19
"PEMA",21
"PEMA",19
"PEMA",24
"PEMA",20
"PEMA",14
"PEMA",21
"PEMA",22
"PEMA",22
"PEMA",19
"PEMA",13
"PEMA",13
"PEMA",18
"PEMA",15
"PEMA",15
"PEMA",12
"PEMA",15
"PEMA",13
"PEMA",18
"PEMA",20
"MIPE",35
"PEMA",13
"PEMA",13
"PEMA",17
"PEMA",11
"PEMA",15
"PEMA",22
"PEMA",18
"PEMA",21
"PEMA",11
"PEMA",12
"PEMA",21
"PEMA",25
"PEMA",16
"PEMA",15
"PEMA",15
"PEMA",20
"PEMA",13
"PEMA",17
"PEMA",11
"PEMA",11
"PEMA",15
"PEMA",15
"PEMA",15
"PEMA",16
"PEMA",20
"MIPE",38
"PEMA",14
"PEMA",25
"PEMA",11
"PEMA",23
"ZAPR",28
"PEMA",13
"PEMA",22
"PEMA",15
"PEMA",15
"PEMA",13
"PEMA",14
"PEMA",16
"PEMA",13
"ZAPR",28
"PEMA",16
"PEMA",19
"PEMA",16
"PEMA",12
"PEMA",13
"PEMA",17
"PEMA",13
"PEMA",15
"PEMA",20
"PEMA",16
"PEMA",23
"PEMA",19
"PEMA",14
"PEMA",21
"PEMA",13
"PEMA",18
"PEMA",14
"PEMA",15
"PEMA",17
"PEMA",12
"PEMA",16
"PEMA",23
"PEMA",17
"MIPE",33
"PEMA",17
"PEMA",16
"PEMA",14
"PEMA",16
"PEMA",20
"PEMA",12
"PEMA",17
"PEMA",14
"PEMA",12
"PEMA",17
"PEMA",17
"PEMA",15
"PEMA",14
"PEMA",13
"PEMA",23
"PEMA",12
"PEMA",13
"PEMA",13
"PEMA",15
"PEMA",18
"PEMA",20
"PEMA",19
"PEMA",18
